,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalDensity_range10_max,Architecture_LocalDensity_range10_mean,Architecture_LocalDensity_range10_mean_biovolume,Architecture_LocalDensity_range10_median,Architecture_LocalDensity_range10_min,Architecture_LocalDensity_range10_p25,Architecture_LocalDensity_range10_p75,Architecture_LocalDensity_range10_std,Architecture_LocalDensity_range10_std_biovolume,Architecture_LocalNumberDensity_range10_max,Architecture_LocalNumberDensity_range10_mean,Architecture_LocalNumberDensity_range10_mean_biovolume,Architecture_LocalNumberDensity_range10_median,Architecture_LocalNumberDensity_range10_min,Architecture_LocalNumberDensity_range10_p25,Architecture_LocalNumberDensity_range10_p75,Architecture_LocalNumberDensity_range10_std,Architecture_LocalNumberDensity_range10_std_biovolume,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_MeanThickness,Biofilm_OuterSurface,Biofilm_OuterSurfaceIgnoreSubstratePerSubstrate,Biofilm_OuterSurfaceIgnoreSubstratePerVolume,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_OuterSurface_ignoreSubstrate,Biofilm_Roughness,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume,Surface_LocalRoughness_range10_max,Surface_LocalRoughness_range10_mean,Surface_LocalRoughness_range10_mean_biovolume,Surface_LocalRoughness_range10_median,Surface_LocalRoughness_range10_min,Surface_LocalRoughness_range10_p25,Surface_LocalRoughness_range10_p75,Surface_LocalRoughness_range10_std,Surface_LocalRoughness_range10_std_biovolume,Surface_PerSubstrateArea_max,Surface_PerSubstrateArea_mean,Surface_PerSubstrateArea_mean_biovolume,Surface_PerSubstrateArea_median,Surface_PerSubstrateArea_min,Surface_PerSubstrateArea_p25,Surface_PerSubstrateArea_p75,Surface_PerSubstrateArea_std,Surface_PerSubstrateArea_std_biovolume
0,1,Lalfilm,30812.0,05-Feb-2021 09:37:32,1,0.53401,0.74849,0.51727,0.015214,0.2648,0.8049,0.29555,0.23462,0.070981,0.020956,0.019965,0.02028,0,0.01521,0.025351,0.0085041,0.0082394,100,6.605,13.0428,0,0,0,0,23.3401,32.2895,0.23175,0.18335,0.79117,45239.4013,0.6116,49.4734,213.4752,31.7411,380347.9634,12.82,0.52382,14.3327,0.58564,340204.1093,0.21755,26537.0719,0.77634,649462.2744,24.4738,269.8234,288,78.6249,85.065,80,0,26,119,56.3141,60.2152,1,0.46233,0.75108,0.39,0.001,0.106,0.846,0.3647,0.27201,40559,17854.9503,12660.5091,16693.5,1,7895.5,27398.0,11375.342,9476.818,112.1937,9.8272,16.5089,4.3702,1.7213,2.5821,11.4253,12.4462,15.4138,47.0863,21.0782,35.1282,16.7627,0.047086,4.5203,39.1758,17.2092,13.0318,0.29521,0.09119,0.082433,0.092293,0,0.06956,0.11621,0.040034,0.046409,58.5455,10.2633,9.6279,9.4876,0.50413,7.2066,12.0331,5.4747,4.1078
1,1,Lalfilm,20599.0,05-Feb-2021 09:37:32,1,0.60612,0.79653,0.63039,0.011597,0.34888,0.88789,0.29481,0.20861,0.070981,0.020418,0.019066,0.02028,0,0.01521,0.025351,0.008685,0.0081899,100,10.2427,17.6589,0,0,0,0,28.4674,36.5001,0.18424,0.1131,0.61387,54692.0729,0.7894,38.0934,206.7554,20.0224,252206.2389,7.7704,0.42766,9.1671,0.50453,213781.651,0.30893,27512.1703,0.80486,499885.6128,18.1696,336.8043,294,78.0469,81.1546,82,0,22,120,58.288,61.8007,1,0.53456,0.79498,0.562,0.001,0.148,0.90075,0.3731,0.24756,32438,12040.596,8772.5402,10726.0,1,5195.25,17758.5,8219.0199,6385.325,121.9504,15.5475,23.9474,7.8432,2.1509,3.6918,20.2347,17.7821,20.2235,47.0863,24.2675,37.1505,24.3907,0.047086,6.1683,42.3777,17.682,11.957,0.26623,0.089043,0.07876,0.09036,0,0.065256,0.11669,0.043326,0.048366,50.7727,7.2326,6.564,6.1322,0.090909,4.405,8.4959,5.0844,3.6516
2,1,Lalfilm,20804.0,05-Feb-2021 09:37:32,1,0.61601,0.81719,0.669,0.014979,0.33353,0.91314,0.3112,0.20708,0.060841,0.019915,0.018384,0.02028,0,0.01521,0.025351,0.0087409,0.0083045,100,10.1672,16.7554,0,0,0,0,28.6303,36.1416,0.2073,0.1801,0.86876,46147.5398,0.49523,46.8361,225.9333,20.625,239478.0624,7.2668,0.38375,8.6827,0.45853,200424.5764,0.25761,27581.0192,0.80688,522278.4395,18.9362,260.0629,283,73.3166,73.9176,73,0,16,116,57.721,61.5294,1,0.54997,0.81416,0.6085,0.001,0.14,0.946,0.3818,0.24334,39915,12317.5858,8683.8694,10730.5,1,5271.5,17298.5,8851.2268,6312.244,118.7294,16.5448,25.6309,8.3214,2.1039,3.5734,22.386,18.7668,21.0035,47.0863,25.1047,38.0882,26.5802,0.047086,6.1212,43.9786,18.0544,11.7318,0.30554,0.082247,0.071301,0.085286,0,0.054361,0.1101,0.043882,0.04782,60.9091,6.7956,5.9562,5.7934,0.13223,4.062,8.0083,4.9746,3.4546
3,1,Lalfilm,21567.0,05-Feb-2021 09:37:32,1,0.41977,0.68894,0.33607,0.024402,0.16912,0.63735,0.29267,0.27531,0.070981,0.022663,0.021257,0.02028,0,0.01521,0.030421,0.009544,0.0099041,100,3.405,7.6284,0,0,0,0,15.9595,24.8064,0.40875,0.29493,0.72155,48183.3295,0.69237,85.9997,210.3952,31.2557,224893.5739,20.1339,0.55815,23.4858,0.65107,192796.9546,0.45031,9575.7322,0.28014,345420.5467,36.0725,291.589,286,66.2293,77.803,58,0,18,106,53.3358,59.5091,1,0.34472,0.69868,0.197,0.001,0.049,0.605,0.34812,0.30955,67600,20379.253,17961.6212,16436.0,1,7411.25,29452.75,16102.2069,13457.6426,158.337,10.627,20.994,4.8463,2.4012,3.436,9.7075,15.4548,22.416,47.0863,16.0162,32.8333,8.9464,0.047086,2.2131,28.1576,16.4122,14.6405,0.26989,0.0804,0.074201,0.080213,0,0.058468,0.10229,0.035815,0.044584,40.9545,7.0345,7.7587,6.4711,0.016529,4.2397,9.2066,3.8812,3.5555
4,1,Lalfilm,31111.0,05-Feb-2021 09:37:32,1,0.42087,0.67993,0.33728,0.018258,0.1714,0.63614,0.29122,0.27617,0.081122,0.022108,0.021327,0.02028,0,0.01521,0.030421,0.009027,0.0092447,100,3.3338,7.8866,0,0,0,0,16.1726,25.4264,0.35162,0.27154,0.77226,46032.3866,0.6353,74.8064,212.7501,41.5688,345267.1101,22.8044,0.62004,25.529,0.69411,308418.7444,0.28233,13524.5025,0.39566,497420.9751,36.7792,275.4888,303,70.5958,83.1053,65,0,21,109,54.6228,60.25,1,0.34971,0.69187,0.206,0.001,0.056,0.609,0.34594,0.31008,59446,24312.3011,20182.8898,22104.0,1,11491.25,35561.25,15457.3837,12779.7236,131.665,8.5987,16.9197,3.9015,2.1,2.9307,7.2005,12.6736,18.3232,47.0863,15.9886,32.3592,9.1818,0.047086,2.4485,27.4042,16.1787,14.734,0.27107,0.085195,0.080212,0.084561,0,0.062817,0.10824,0.036193,0.044485,64.9091,9.8822,9.6784,9.2645,0.07438,6.6116,12.1901,5.0982,4.367
5,1,Lalfilm,25418.0,05-Feb-2021 09:37:32,1,0.57456,0.77976,0.58927,0.012805,0.30418,0.86277,0.3018,0.21857,0.076052,0.020456,0.019269,0.02028,0,0.01521,0.025351,0.008405,0.0077904,100,8.4273,15.591,0,0,0,0,26.4023,35.0042,0.18103,0.16166,0.89301,47025.1482,0.45003,41.8602,231.2327,24.8115,315234.0015,9.859,0.46915,11.286,0.53706,275376.4961,0.23928,27931.5226,0.81713,586966.102,21.0145,258.9352,293,79.0031,83.5366,83,0,25,120,57.2803,60.5333,1,0.50623,0.77885,0.491,0.001,0.126,0.893,0.3714,0.257,35142,14322.3061,10252.139,13285.5,1,6482.0,21394.0,9204.3095,7382.2195,105.1846,12.3058,19.6935,5.6732,1.9003,2.9333,15.6673,14.6932,17.1899,47.0863,23.0925,36.4279,21.4713,0.047086,5.4149,41.6243,17.5488,12.3445,0.27003,0.089911,0.081059,0.091568,0,0.065958,0.11674,0.041518,0.046669,59.5909,8.6064,8.034,7.7851,0.07438,5.8595,10.0165,5.1888,3.7563
6,1,Lalfilm,22682.0,05-Feb-2021 09:37:32,1,0.56791,0.77452,0.56895,0.023372,0.29548,0.8577,0.30005,0.22577,0.065911,0.020618,0.01943,0.02028,0,0.01521,0.025351,0.0084187,0.0081533,100,9.3226,17.2129,0,0,0,0,27.3209,36.1288,0.16262,0.16782,1.032,44689.2485,0.24712,39.4068,242.3249,22.4912,278767.6948,8.687,0.4653,10.1102,0.54153,239527.2215,0.27233,27572.9347,0.80664,514778.0173,18.6697,234.8092,299,78.2067,82.9267,80,0,25,120,56.9584,60.7893,1,0.49636,0.77358,0.467,0.001,0.119,0.886,0.37166,0.26144,32447,13282.0726,9376.4443,11908.5,1,5710.0,20120.0,8924.5321,7216.4929,117.1873,12.8671,20.6887,6.2329,1.9013,3.05,16.413,15.2117,17.8466,47.0863,22.6954,36.2002,20.3884,0.047086,5.1795,41.2947,17.5074,12.5151,0.26435,0.088791,0.079612,0.090602,0,0.0662,0.11476,0.041341,0.0472,44.4545,7.6364,7.0641,6.876,1.0661,5.0165,9.1322,4.4605,3.4555
0,1,Lalfilm,23257.0,05-Feb-2021 11:53:16,1,0.39052,0.59276,0.33665,0.01353,0.20126,0.5317,0.24191,0.2549,0.065911,0.022072,0.021535,0.02028,0,0.01521,0.025351,0.0089484,0.0089544,100,4.9365,10.6797,0,0,0,0,18.2233,27.5104,0.23446,0.22835,0.97394,47199.5959,0.22682,56.7236,241.9299,24.2742,299319.9993,17.4454,0.76582,19.994,0.8777,261165.8519,0.33275,14970.4595,0.43796,341027.2547,22.78,248.4041,298,81.8552,107.1888,79,0,29,126,58.2269,59.5007,1,0.31745,0.60733,0.214,0.001,0.06,0.512,0.30304,0.29328,45929,15109.0634,11825.3558,13020.0,1,6228.75,22149.25,10831.5588,8890.6019,134.344,6.5896,11.7036,3.9717,1.9535,2.8733,6.412,9.1347,14.5358,47.0863,14.6634,28.4874,9.5585,0.047086,2.6839,23.6844,14.2378,13.8789,0.26957,0.098319,0.10303,0.098513,0,0.073448,0.12394,0.037674,0.045864,31.3636,8.1429,8.3828,7.6281,0.21488,5.595,10.3388,3.5706,3.5758
1,1,Lalfilm,37613.0,05-Feb-2021 11:53:16,1,0.55002,0.7627,0.54675,0.010389,0.28727,0.81862,0.29861,0.22619,0.070981,0.020677,0.019787,0.02028,0,0.01521,0.025351,0.0086045,0.0085204,100,4.2823,7.912,0,0,0,0,18.7787,25.7701,0.39843,0.34514,0.86625,42701.91,0.49962,86.4672,217.0199,44.78,443396.0676,19.1759,0.4913,21.1113,0.54088,402748.6257,0.23588,21002.8213,0.61443,819767.7803,39.0313,250.5289,283,75.0278,78.3304,74,0,22,117,56.6928,60.832,1,0.47816,0.76866,0.422,0.001,0.103,0.878,0.37379,0.26966,70259,23975.9715,19573.5577,21743.0,1,11063.75,34356.25,15902.1322,12794.1926,103.5149,8.3097,13.6554,3.7442,1.5428,2.2571,9.3372,10.6393,13.1316,47.0863,21.7948,35.9385,18.2224,0.047086,4.5203,40.4942,17.5576,12.912,0.29046,0.087004,0.077443,0.088669,0,0.063059,0.11307,0.040981,0.046492,79.5909,12.1636,11.3264,11.0661,1.314,8.281,14.1818,6.9586,5.2155
2,1,Lalfilm,33493.0,05-Feb-2021 11:53:16,1,0.52408,0.74937,0.4965,0.0084561,0.26311,0.78666,0.2972,0.23627,0.076052,0.021467,0.020372,0.02028,0,0.01521,0.025351,0.0088981,0.0088622,100,5.1245,10.313,0,0,0,0,20.6824,29.1762,0.27901,0.34013,1.219,41890.8621,0.57191,71.1452,254.9901,44.4103,382658.3129,15.3207,0.49856,17.098,0.55639,342882.5656,0.21812,22380.3206,0.65473,687749.1252,30.7301,209.1732,308,72.6543,78.0692,70,0,21,113,55.5217,60.1122,1,0.44866,0.75779,0.357,0.001,0.086,0.845,0.37278,0.27841,56776,25159.4468,22179.3778,23712.0,5,14288.75,35473.25,14124.6189,11077.5134,148.7456,11.2859,19.3509,4.9224,2.15,3.0842,12.2569,14.852,18.7369,47.0863,20.5341,35.465,15.4443,0.047086,3.814,38.9404,17.51,13.2906,0.27622,0.085969,0.07714,0.087219,0,0.064267,0.11041,0.038663,0.045012,82.7727,10.4792,9.9288,9.7273,0.26446,7.2314,12.3967,6.0611,4.5591
