,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,29557.0,04-May-2022 10:55:17,100,8.2696,18.6408,0,0,0,0,26.6968,37.9662,0.27216,0.29299,1.0765,39273.5371,0.37027,63.1462,232.0146,,,31872.078,0.93241,576854.5567,18.0991,215.5236,321,75.7829,90.7257,73,0,22,119,57.3085,58.6235,1,0.42647,0.74544,0.332,0.001,0.062,0.802,0.36884,0.2681,51356,17509.3818,10027.1913,14946.0,1,7397.75,25120.5,12601.0339,8806.0559,166.6899,20.3432,33.5094,12.3424,5.3001,7.6006,24.9432,19.5629,23.2439,47.0863,19.5167,34.8981,14.3142,0.047086,2.6839,37.2923,17.3264,12.8009
1,1,Delaporte,35363.0,04-May-2022 10:55:17,100,6.8908,16.8458,0,0,0,0,24.5155,36.4279,0.28883,0.30539,1.0573,39775.2731,0.32482,66.8352,231.4021,,,31774.6725,0.92956,631242.7526,19.8662,218.8548,292,75.959,93.2614,71,0,23,119,57.1654,58.882,1,0.39158,0.72062,0.264,0.001,0.055,0.744,0.35931,0.2808,53985,20493.2042,11595.9562,18157.0,1,8852.25,30473.75,13937.4191,9913.9437,189.1763,15.1766,25.669,9.037,4.6,6.2088,17.1061,14.9729,18.8909,47.0863,17.8504,33.7026,11.1595,0.047086,2.4014,34.0905,16.8219,13.3926
2,1,Delaporte,25529.0,04-May-2022 10:55:17,100,9.5498,19.9284,0,0,0,0,28.4482,38.8874,0.22183,0.26901,1.2126,44374.3896,0.56565,58.0652,261.7503,,,31790.1896,0.93002,539621.6383,16.9745,215.8517,300,78.9074,92.2252,80,0,24,122,57.5278,58.388,1,0.46191,0.75835,0.415,0.001,0.08,0.843,0.37072,0.25699,48292,15027.1478,8756.2055,12849.0,1,6383.75,20952.5,10996.3859,7454.2794,131.8087,15.035,23.3302,10.1373,3.4972,5.5845,19.4917,13.5316,15.3919,47.0863,21.1376,35.4923,17.8928,0.047086,3.5786,39.27,17.4194,12.2959
3,1,Delaporte,30995.0,04-May-2022 10:55:17,100,7.9013,17.7636,0,0,0,0,26.1791,37.2929,0.32401,0.33153,1.0232,40793.6823,0.21178,74.6956,230.5334,,,31933.8855,0.93422,611517.4584,19.1495,225.3042,304,76.4063,92.6278,73,0,22,120,57.7528,59.0349,1,0.43173,0.76312,0.316,0.001,0.06,0.845,0.37852,0.27268,59477,18886.333,10318.811,15768.0,1,7752.25,27151.75,14044.6692,9596.1384,163.1971,16.6528,27.7228,9.609,4.4001,6.1362,20.0139,16.9058,20.4867,47.0863,19.7296,35.7081,13.3725,0.047086,2.6839,39.0345,17.7555,13.036
0,1,Delaporte,58943.0,04-May-2022 10:55:21,100,3.6635,8.2533,0,0,0,0,17.5498,26.1187,0.48372,0.46697,0.96537,39457.1416,0.2609,106.5276,220.2237,,,28157.107,0.82373,1066201.3162,37.8662,228.1243,306,82.4201,101.4884,80,0,28,128,58.7364,58.6733,1,0.39413,0.69999,0.293,0.001,0.066,0.714,0.34747,0.27818,83796,33856.9574,24373.0019,31971.0,1,14987.25,50082.75,21788.5422,17929.7294,130.292,12.8989,20.3176,8.8495,4.1001,5.8847,15.3237,11.1939,13.9991,47.0863,18.0887,32.7856,12.7604,0.047086,2.9193,32.8662,16.305,13.2254
1,1,Delaporte,41722.0,04-May-2022 10:55:21,100,5.7043,14.1945,0,0,0,0,22.3045,33.8137,0.33705,0.34573,1.0257,40806.6909,0.22263,77.8107,230.8555,,,31033.6342,0.90788,722227.5898,23.2724,225.0616,312,82.257,103.3483,77,0,25,130,61.6582,62.8707,1,0.37923,0.70791,0.242,0.001,0.056,0.72,0.35362,0.28454,62177,22944.2059,12406.8766,21069.5,1,10437.0,33414.0,15069.9094,10651.245,173.1941,16.1685,27.6407,9.4618,5.2001,7.0175,17.326,16.5641,21.5799,47.0863,17.3105,33.1146,10.3119,0.047086,2.4956,32.8191,16.5403,13.5509
2,1,Delaporte,29047.0,04-May-2022 10:55:21,100,8.36,17.9124,0,0,0,0,26.7779,37.3315,0.27355,0.29283,1.0704,40471.9789,0.35678,64.2479,234.8631,,,31664.4882,0.92634,595378.3972,18.8027,219.4067,294,77.5907,89.4869,77,0,23,120,57.1608,58.816,1,0.44849,0.75148,0.38,0.001,0.077,0.819,0.36873,0.26459,51366,16960.1895,9940.1218,14647.0,1,7265.25,23786.75,12249.5631,8133.623,187.0542,21.0031,33.7557,12.6305,5.2,8.0239,26.1679,20.2793,24.0032,47.0863,20.4971,35.1706,16.2448,0.047086,3.3431,38.0457,17.3429,12.6519
3,1,Delaporte,27109.0,04-May-2022 10:55:21,100,8.9957,20.0863,0,0,0,0,27.6928,38.9864,0.31424,0.34148,1.0867,40887.4043,0.39137,74.7426,237.8485,,,31798.9261,0.93027,535295.1146,16.8337,218.8766,316,76.5295,93.7562,74,0,22,120,57.5837,58.3808,1,0.43121,0.75651,0.325,0.001,0.061,0.831,0.37487,0.26985,59459,17536.6363,9366.3131,13837.0,1,6779.75,24751.0,13985.1004,9139.0158,164.303,17.9572,29.6162,10.7991,4.5005,6.6873,21.8445,17.6128,20.9717,47.0863,19.746,35.4129,13.8905,0.047086,2.6839,38.4342,17.5889,12.8866
0,1,Delaporte,67676.0,05-May-2022 15:16:17,100,2.963,6.5051,0,0,0,0,15.966,23.6954,0.52143,0.58968,1.1309,42530.0321,0.467,129.0357,247.4647,,,26147.189,0.76493,1277507.2087,48.8583,218.8228,318,79.0243,90.2429,78,0,29,119,55.9889,59.3822,1,0.41273,0.71213,0.311,0.001,0.084,0.745,0.35235,0.28583,100028,41293.3963,29132.0809,35973.0,1,17352.5,64263.5,27949.2768,24388.352,205.4399,17.4924,27.5011,11.3508,5.2007,7.9853,19.1037,17.1492,22.3587,47.0863,18.8768,33.3193,13.5609,0.047086,3.7198,34.1376,16.5116,13.6042
1,1,Delaporte,80189.0,05-May-2022 15:16:17,100,2.9233,5.8458,0,0,0,0,16.2042,22.7991,0.62872,0.54815,0.87186,41985.3027,0.48976,135.7316,215.8873,,,30566.4267,0.89421,1739264.8869,56.9012,247.6169,332,92.3386,101.186,99,0,43,134,58.1263,59.3827,1,0.47739,0.72322,0.448,0.001,0.147,0.81,0.34351,0.26211,105426,46827.214,37895.1721,44373.0,1,20473.75,71362.5,29865.3953,29404.0974,66.3894,5.829,8.2421,3.8934,1.8383,2.6558,6.6432,5.3889,6.5367,47.0863,21.6896,33.7728,19.5408,0.047086,6.2625,37.2923,16.189,12.5682
