,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biomass,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biomass,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biomass,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biomass,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biomass,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biomass,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biomass,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biomass,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biomass,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biomass,Cube_Surface_mean_biovolume,Cube_Surface_std_biovolume,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_std_biovolume,Grid_ID_mean_biovolume,Grid_ID_std_biovolume,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_std_biovolume,Shape_Volume_mean_biovolume,Shape_Volume_std_biovolume
0,1,Livestock,1807.0,06-Jan-2021 15:08:30,0.30047,0.23336,0.77663,47434.6254,0.62996,65.0752,216.5752,,,56053.5438,1.1817,278.8669,1278,221.9557,642.9951,90,1,19.0,352.0,274.7016,268.4691,0.90212,0.08538,0.34056,0.015875,0.000125,0.00275,0.087781,0.14847,0.21944,9083,1542.3293,801.5902,1114.0,1,527.25,2034.25,1409.9087,796.8557,125.359,68.1102,87.6789,63.8995,51.0395,57.4066,75.3922,13.9893,13.9219,339.8218,31.0202,124.7853,5.8387,0.047086,0.98881,32.1482,53.9465,80.8176,,,,,,,,,,
1,1,Livestock,2154.0,06-Jan-2021 15:08:30,0.3039,0.34211,1.1257,42378.9319,0.45926,74.8999,246.462,,,54805.6629,1.2932,218.9324,1494,193.2349,571.0229,86,1,20.0,296.0,236.556,267.0106,0.95375,0.069851,0.30832,0.015437,0.000125,0.002875,0.0755,0.129,0.24171,8668,1871.2488,1219.2741,1335.0,1,691.0,2751.0,1617.0995,1133.1938,116.0656,58.2875,75.8389,55.0035,44.0097,49.3635,63.7798,12.1166,15.5789,359.2684,25.4437,113.8383,5.6974,0.047086,1.0359,26.9334,47.4355,90.5928,,,,,,,,,,
2,1,Livestock,2199.0,06-Jan-2021 15:08:30,0.26282,0.27146,1.0329,43987.2507,0.25034,63.2118,240.5169,,,64244.863,1.4605,232.8581,1413,247.9504,632.2607,139,1,34.0,385.75,273.8984,312.1979,0.88833,0.080452,0.26405,0.027,0.000125,0.00525,0.10081,0.12267,0.18864,8821,1565.0009,970.9313,1212.0,1,624.25,1983.75,1346.8499,764.1238,100.0222,56.6177,68.4052,54.7516,42.0272,48.5353,62.5367,10.1883,10.0538,271.0758,29.2155,96.4463,9.9823,0.047086,1.9305,36.8215,44.3292,68.2483,,,,,,,,,,
3,1,Livestock,2122.0,06-Jan-2021 15:08:30,0.25066,0.22859,0.91193,45896.2381,0.41034,57.8646,230.8474,,,70480.7358,1.5357,253.1408,1517,278.1381,659.168,162,1,36.0,449.0,294.6036,290.8765,0.78875,0.091499,0.26958,0.0335,0.000125,0.005625,0.129,0.12836,0.17396,6780,1344.1258,822.1298,1145.5,1,582.0,1863.0,1057.3783,606.0565,102.48,59.8941,70.9093,58.5234,44.0363,51.1792,67.031,10.4928,9.0991,274.3247,33.2143,98.8155,12.3366,0.047086,2.0718,46.2858,46.6897,63.9291,,,,,,,,,,
4,1,Livestock,2730.0,06-Jan-2021 15:08:30,0.26172,0.24982,0.95455,42720.3478,0.29805,59.6351,227.862,,,86787.7537,2.0315,238.7113,1367,266.4864,667.569,146,1,38.0,421.0,293.3013,302.7291,0.81354,0.086871,0.28032,0.02825,0.000125,0.005875,0.11271,0.13017,0.18976,7899,1865.159,1209.6727,1532.5,1,762.0,2640.0,1434.5111,1076.1901,103.8169,56.7706,68.3098,54.5508,42.0057,48.3744,63.2147,10.4795,10.5511,299.1863,31.7904,103.4264,10.0765,0.047086,2.1189,41.0592,47.7302,70.1548,,,,,,,,,,
5,1,Livestock,2574.0,06-Jan-2021 15:08:30,0.22298,0.23132,1.0374,45990.5542,0.26619,54.9577,246.4728,,,53493.6976,1.1631,237.5799,1296,198.033,580.5775,100,1,30.0,274.0,239.7324,308.5574,0.75813,0.056593,0.22551,0.017625,0.000125,0.0045,0.061375,0.097643,0.18157,6671,1655.4382,1242.477,1484.5,1,779.0,2393.0,1113.8528,842.475,74.7462,40.8229,48.9331,39.4042,31.0388,35.7783,44.5544,6.6764,7.4574,285.5783,20.7823,83.7976,6.5215,0.047086,1.6009,22.4131,36.1955,68.176,,,,,,,,,,
0,1,Livestock,2098.0,13-Jan-2021 15:15:32,0.17103,0.23516,1.375,44558.1292,0.68636,47.7678,279.3017,,,84447.6122,1.8952,203.125,1251,321.6706,,243,1,51.0,540.0,293.489,,0.82788,0.10993,,0.062062,0.000125,0.009375,0.17075,0.12835,,5945,1315.766,,1100.5,1,542.0,1866.0,1003.8142,,112.6272,66.9929,,66.7844,47.0373,57.4776,75.371,11.6017,,311.8525,40.2515,,22.8604,0.047086,3.249,61.9656,47.4197,,639.6776,259.5287,0.25962,0.15836,912.6465,742.0996,76.3336,9.0091,96.0894,59.574
1,1,Livestock,1897.0,13-Jan-2021 15:15:32,0.18224,0.20954,1.1498,42037.2019,0.49354,45.2098,248.0741,,,66809.6532,1.5893,215.7558,1246,305.2652,,239,1,71.75,495.25,264.947,,0.63638,0.095744,,0.05825,0.000125,0.012875,0.15619,0.10304,,5255,1101.1845,,1001.0,1,501.75,1543.25,788.4906,,95.7344,55.7701,,55.483,39.0726,48.9135,61.7339,8.9546,,239.7163,35.2186,,21.4243,0.047086,4.6027,57.1628,38.0245,,575.7941,241.3894,0.20585,0.11565,777.4936,520.7627,62.6194,7.2965,76.251,42.6819
2,1,Livestock,2081.0,13-Jan-2021 15:15:32,0.26553,0.23556,0.88714,44051.7345,0.4615,59.2308,223.0654,,,77490.5659,1.7591,251.4438,1444,305.962,,237,1,62.0,488.0,277.1116,,0.56663,0.10079,,0.056375,0.000125,0.011344,0.15666,0.11386,,7889,1351.5204,,1111.0,1,556.75,1757.25,1148.6375,,98.1902,56.0076,,55.5264,39.1837,48.6439,62.4523,9.4097,,213.4422,37.2372,,20.7651,0.047086,4.1436,57.6807,42.4403,,602.6181,265.0549,0.22969,0.13194,1000.0491,931.7719,63.5583,7.6943,85.5844,49.6207
3,1,Livestock,2196.0,13-Jan-2021 15:15:31,0.41966,0.3559,0.84807,44692.1451,0.52989,92.1909,219.6778,,,77239.078,1.7282,259.0331,1437,285.5574,,197,1,42.0,474.0,278.7752,,0.73987,0.096088,,0.04625,0.000125,0.0070417,0.14887,0.11985,,10246,1500.8707,,1143.5,1,579.5,1883.5,1460.1435,,117.4921,67.8083,,66.8547,48.0104,57.3362,76.2942,12.6126,,278.7037,35.1726,,16.5744,0.047086,2.5427,53.6077,44.3982,,611.1002,257.5777,0.24603,0.14653,880.5646,798.3021,79.3699,10.3836,91.1908,55.175
