,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,III,12940.0,11-Mar-2022 15:11:10,0.082219,0.068522,0.83341,44237.3278,0.55265,17.8136,216.6602,,,185840.7796,4.201,259.968,320,103.8649,144.3597,108,0,48,153,63.7454,47.9398,1.0,0.31187,0.53479,0.251,0.001,0.079,0.5,0.26388,0.24516,18938,6762.1113,5346.8786,6635.5,1,3369.5,9935.5,4022.8166,2972.6872,76.5583,24.5696,29.8584,22.5769,14.5014,18.6275,28.3253,8.0824,8.7706,47.0863,14.3617,25.0666,11.3007,0.047086,3.3902,23.1665,12.3997,11.6051
1,1,III,13372.0,11-Mar-2022 15:11:10,0.081425,0.076672,0.94163,42299.8158,0.33666,18.3367,225.1974,,,195676.4463,4.6259,239.1582,290,103.3775,141.5446,108,0,50,152,62.1591,46.9985,1.0,0.31681,0.54054,0.255,0.001,0.081,0.506,0.26586,0.2472,20648,6968.3045,5456.2566,6830.5,1,3463.5,10253.5,4150.9525,3080.2349,104.2503,26.1893,32.1585,23.8568,15.0024,19.3795,30.5076,9.2306,10.084,47.0863,14.6333,25.3592,11.5832,0.047086,3.5786,23.449,12.5286,11.699
2,1,III,12830.0,11-Mar-2022 15:11:10,0.074626,0.06992,0.93694,43101.0413,0.3495,16.9216,226.7537,,,215739.3021,5.0054,242.0157,338,113.5811,145.9988,122,0,63,161,62.7871,46.8277,1.0,0.366,0.5724,0.333,0.001,0.114,0.58,0.27503,0.23498,19736,6588.5012,5015.8803,6464.5,1,3249.0,9720.0,3929.9762,2955.8686,108.5192,35.9655,42.8348,33.252,20.5028,26.608,42.4225,12.0167,12.2204,47.0863,16.8152,26.8158,14.9734,0.047086,4.8499,26.9334,12.9682,11.1516
3,1,III,14894.0,11-Mar-2022 15:11:10,0.074559,0.09818,1.3168,45862.8095,0.65061,20.6751,277.2981,,,259495.2255,5.6581,210.5833,323,109.2256,138.1555,116,0,58,157,61.6519,49.1975,1.0,0.37989,0.60142,0.34,0.001,0.111,0.608,0.29101,0.24714,21447,7666.0383,5936.2107,7493.5,1,3763.0,11299.0,4605.4751,3393.6505,81.5247,26.0469,31.6386,23.7485,14.5012,18.7962,30.8624,9.4508,9.9737,47.0863,17.4228,28.1563,15.2089,0.047086,4.7557,28.1576,13.6755,11.728
0,1,III,15429.0,17-Mar-2022 10:30:39,0.083086,0.084565,1.0178,44422.4366,0.18626,19.9349,239.9329,,,335603.1025,7.5548,235.7343,277,104.8386,119.1189,111,0,61,146,56.7964,51.6773,1.0,0.47424,0.6884,0.471,0.001,0.175,0.756,0.31911,0.24447,19293,7832.9039,6580.5061,7773.0,1,3911.75,11641.25,4569.4183,3475.2702,163.593,50.6857,60.7593,45.8989,28.0102,36.413,60.3448,18.5609,19.3719,47.0863,21.7514,32.2376,21.283,0.047086,7.2984,35.1264,15.1031,11.6567
1,1,III,15625.0,17-Mar-2022 10:30:39,0.082755,0.088974,1.0752,41981.5002,0.36732,19.8387,239.7291,,,351449.1457,8.3715,222.9705,298,101.2257,113.2558,106,0,55,143,56.9537,53.5157,1.0,0.49061,0.70768,0.492,0.001,0.181,0.787,0.32667,0.24542,18754,7927.6786,6817.7565,7873.0,1,3964.75,11793.25,4613.1121,3448.7776,159.0909,48.919,59.257,43.6597,26.01,33.9598,58.8885,19.2374,20.0745,47.0863,22.4927,33.1392,22.1306,0.047086,7.628,36.6331,15.4753,11.7157
2,1,III,14479.0,17-Mar-2022 10:30:39,0.069345,0.071668,1.0335,45822.6714,0.25256,17.0281,245.5567,,,332652.5343,7.2596,237.5958,327,102.852,114.0369,108,0,56,145,58.2592,55.5733,1.0,0.50157,0.71765,0.512,0.001,0.189,0.801,0.3298,0.2441,18266,7355.3241,6236.5567,7303.0,1,3675.25,10928.75,4292.2621,3162.1234,141.8505,45.678,55.0808,41.0282,24.0008,31.9765,55.1364,17.5092,17.8931,47.0863,22.9748,33.5965,22.9781,0.047086,7.9576,37.3277,15.6221,11.663
3,1,III,15812.0,17-Mar-2022 10:30:39,0.069902,0.095309,1.3635,46803.1363,0.67977,19.9252,285.0464,,,366016.9373,7.8204,209.0593,297,102.3263,112.211,108,0,58,143,57.0068,54.5445,1.0,0.50379,0.71438,0.517,0.001,0.199,0.794,0.3256,0.24275,18825,8012.2205,6777.1118,7949.5,1,3994.5,11915.5,4680.8568,3562.4771,150.638,44.675,53.6975,40.2144,23.5091,31.2978,53.6051,17.4416,18.1117,47.0863,23.148,33.4735,23.5431,0.047086,8.193,36.8686,15.4606,11.5831
0,1,III,14444.0,18-Mar-2022 16:22:49,0.077557,0.08263,1.0654,42094.0229,0.34502,18.533,238.9605,,,339632.8413,8.0684,224.2872,320,105.3774,115.9192,113,0,61,147,57.4916,53.4441,1.0,0.51294,0.71231,0.543,0.001,0.221,0.788,0.3199,0.23204,18374,7307.7039,5758.0416,7231.5,1,3620.5,10862.5,4298.9218,3306.1382,132.7662,46.4333,54.9977,42.8622,24.51,32.6589,56.1367,17.0774,16.9143,47.0863,23.5138,33.3589,24.7203,0.047086,8.8993,36.7744,15.2156,11.1023
1,1,III,14737.0,18-Mar-2022 16:22:49,0.081592,0.083316,1.0211,44663.0483,0.20241,19.6616,240.9744,,,342774.4385,7.6747,235.9867,311,104.0116,114.178,111,0,60,145,56.9647,53.6496,1.0,0.50676,0.7126,0.525,0.001,0.209,0.78825,0.32286,0.23848,18672,7456.3526,6048.0076,7386.0,1,3700.75,11083.25,4379.1858,3329.9293,167.2145,47.881,56.8594,43.985,26.0081,34.0491,57.2146,17.4671,17.753,47.0863,23.2594,33.3829,23.9198,0.047086,8.6168,36.7744,15.3454,11.3915
