,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
0,11285,E.ce,96.0967,0.38732,0.54785,574453.1089,16.4212,137500.1113,,I,0.913489449
1,11285,E.ce,100.5544,0.4909,0.64782,711737.2354,19.9876,355720.2488,,I,0.984517149
2,11285,E.ce,121.7441,0.41019,0.61622,706356.2613,19.9349,335603.1025,,I,0.992624371
3,12048,E.ce,32.1094,0.21907,0.718,494908.074,19.9263,62917.5005,,I,0.951883111
4,12048,E.ce,34.3378,0.28813,0.72693,411784.5282,16.7582,63239.712,,I,0.982054715
5,12048,E.ce,139.8936,0.32468,0.26738,834937.476,20.6751,259495.2255,,I,0.991767815
6,B8,E.ce,63.9328,,,62191.6183,19.6801,338960.0253,,I,0.955964078
7,B8,E.ce,30.8739,,,54347.2308,19.9876,355720.2488,,I,0.98038748
8,B8,E.ce,108.5254,,,80672.0923,14.226,33559.6699,,I,0.992372415
9,12701,E.ce,60.5403,0.24358,0.61721,629591.8602,19.9876,355720.2488,,I,0.6237963
10,12701,E.ce,46.2384,0.31254,0.83977,449822.528,12.9845,60777.3345,,I,0.717105704
11,12701,E.ce,46.2384,0.31254,0.83977,449822.528,41.888,3599.1818,,I,0.716313525
12,11457,E.ce,71.1452,0.21812,0.65473,687749.1252,19.7978,129566.2128,,I,0.848429728
13,11457,E.ce,38.6781,0.33454,0.75678,451547.4401,12.6478,25874.8107,,I,0.783745156
14,11457,E.ce,38.0934,0.30893,0.80486,499885.6128,17.8445,334032.7276,,I,0.786601123
15,B18,E.ce,42.3814,,,42243.7472,37.9864,10831.5888,,I,0.612782392
16,B18,E.ce,31.7064,,,63791.7988,19.8387,351449.1457,,I,0.692536962
17,B18,E.ce,42.3814,,,42243.7472,37.9864,10831.5888,,I,0.654503033
18,B1,E.ce,101.0844,,,45150.1955,12.6478,25874.8107,,I,0.425093847
19,B1,E.ce,57.8646,,,70480.7358,20.6751,259495.2255,,I,0.668375876
20,B1,E.ce,57.8646,,,70480.7358,20.6751,259495.2255,,I,0.629559491
21,12832,E.ce,53.0122,0.30878,0.76261,424742.5809,16.4212,137500.1113,,I,0.722250905
22,12832,E.ce,35.8943,0.27081,0.75712,488859.2751,15.0361,95814.5721,,I,0.671873123
23,12832,E.ce,35.8943,0.27081,0.75712,488859.2751,17.1181,312492.0215,,I,0.582727516
24,1273,E.ce,74.9124,,0.91748,806698.4627,16.7582,63239.712,,I,0.629977344
25,1273,E.ce,38.5834,,0.94138,690583.2019,12.4926,73591.0206,,I,0.58704173
26,1273,E.ce,84.965,,0.86835,1045719.6749,12.9845,60777.3345,,I,0.580272842
27,12001,E.ce,30.6938,0.26862,0.87256,462078.6654,12.6478,25874.8107,,I,0.79475732
28,12001,E.ce,45.7157,0.27961,0.65956,520568.595,17.9065,147931.0429,,I,0.770548825
29,12001,E.ce,45.7157,0.27961,0.65956,520568.595,16.4212,137500.1113,,I,0.778161671
30,1202,E.ce,85.6834,,0.75073,615508.2568,20.6751,259495.2255,,I,0.149063551
31,1202,E.ce,81.4623,,0.68268,669640.1149,17.9065,147931.0429,,I,0.596500965
32,1202,E.ce,96.041,,0.74585,525624.4383,16.4212,137500.1113,,I,0.612621901
33,1234,E.ce,47.8742,,0.90502,430774.0521,41.888,3599.1818,,I,0.699926149
34,1234,E.ce,66.1102,,0.90579,417450.9865,16.7582,63239.712,,I,0.58704173
35,1234,E.ce,95.4628,,0.93539,983207.2106,18.7708,156140.9612,,I,0.566215034
36,C5,E.ce,74.6364,,,13411.8704,18.7708,156140.9612,,I,0.61741846
37,C5,E.ce,22.9543,,,53739.5351,18.3367,195676.4463,,I,0.513424347
38,C5,E.ce,53.6051,,,34813.2952,18.533,339632.8413,,I,0.647493586
39,1218,E.ce,139.2205,,0.58605,939148.4282,19.6417,120367.2469,,I,0.409030031
40,1218,E.ce,63.1462,,0.93241,576854.5567,17.8136,185840.7796,,I,0.625758393
41,1218,E.ce,74.7426,,0.93027,535295.1146,19.9252,366016.9373,,I,0.714031272
42,1298,E.ce,93.2598,,0.84221,1422671.7437,19.8387,351449.1457,,I,0.361491941
43,1298,E.ce,92.4086,,0.88749,749299.2399,17.8136,185840.7796,,I,0.43979194
44,1298,E.ce,70.3924,,0.79739,776210.1373,18.7708,156140.9612,,I,0.568348235
45,1219,E.ce,108.5523,,0.78906,1274417.0768,15.0361,95814.5721,,I,0.217034613
46,1219,E.ce,122.8027,,0.52958,594919.8709,19.7106,338286.8326,,I,0.269192824
47,1219,E.ce,154.3524,,0.89753,1434115.5014,17.0281,332652.5343,,I,0.561884052
48,1167,E.ce,87.6154,,0.91075,847915.1166,17.8136,185840.7796,,I,0.471144382
49,1167,E.ce,64.084,,0.92758,632739.9553,16.7582,63239.712,,I,0.728316224
50,1167,E.ce,64.084,,0.92758,632739.9553,18.7708,156140.9612,,I,0.719851859
51,1339,E.ce,91.8112,,0.70071,1143134.8983,19.2999,96787.469,,I,0.167776598
52,1339,E.ce,99.6865,,0.84019,1157246.2355,19.6801,338960.0253,,I,0.580481745
53,1339,E.ce,85.1183,,0.58028,731235.8562,16.4212,137500.1113,,I,0.586662326
54,11285,S.en,96.0967,0.38732,0.54785,574453.1089,76.8487,444981.8237,0.61298,I,0.292114551
55,11285,S.en,46.2635,0.34717,0.76549,454995.2865,58.0161,15183.9629,0.049587,I,0.30351804
56,11285,S.en,71.2709,0.24003,0.74907,717122.4472,107.9308,380735.1563,0.48463,I,0.502661166
57,12048,S.en,71.0897,0.3289,0.76693,708334.733,76.8487,444981.8237,0.61298,I,0.307695246
58,12048,S.en,50.0385,0.22513,0.72102,655419.4434,107.9308,380735.1563,0.48463,I,0.052037063
59,12048,S.en,71.0897,0.3289,0.76693,708334.733,76.8487,444981.8237,0.61298,I,0.353352521
60,B8,S.en,63.9328,,,62191.6183,75.8578,370315.8214,,I,0.370630273
61,B8,S.en,108.5254,,,80672.0923,76.8487,444981.8237,0.61298,I,0.0
62,B8,S.en,108.5254,,,80672.0923,68.2667,22063.0887,0.09293,I,0.406558157
63,12701,S.en,81.2717,0.26945,0.56917,834387.1315,88.208,386840.9901,,I,0.608648398
64,12701,S.en,82.2903,0.18575,0.60345,844021.881,95.9692,297155.0753,,I,0.344344087
65,12701,S.en,88.7718,0.17408,0.58864,785286.6318,103.159,342789.2236,,I,0.498068106
66,11457,S.en,52.388,0.36317,0.71774,450412.2838,78.9838,12945.9986,0.026665,I,0.394264088
67,11457,S.en,56.7236,0.33275,0.43796,341027.2547,82.4264,177582.6449,,I,0.209883064
68,11457,S.en,119.9265,0.41017,0.37843,594974.5381,70.1247,357065.6454,,I,0.598381555
