Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
KNNImputer_MaxAbsScaler,0.15803798020264836,combinatoric,0.12368990224622846,0.2272895165812951,0.034348077956419906,Overall
KNNImputer_MaxAbsScaler,0.1444815556033176,combinatoric,0.12358360778577365,0.22687608312059537,0.02089794781754395,Bacillus
KNNImputer_MaxAbsScaler,0.14694280484446562,combinatoric,0.12323499380916537,0.22167308856923562,0.023707811035300244,Pathogen
KNNImputer_MaxAbsScaler,0.18268958016016193,combinatoric,0.12361196585635727,0.22249521248739187,0.05907761430380466,Interaction
KNNImputer_MinMaxScaler,0.15817532636323778,combinatoric,0.12304607388315221,0.22471462800347347,0.03512925248008557,Overall
KNNImputer_MinMaxScaler,0.1444213909442286,combinatoric,0.12403472920185031,0.22435279711901998,0.020386661742378284,Bacillus
KNNImputer_MinMaxScaler,0.14738954634192272,combinatoric,0.12257068185608863,0.22613180233316255,0.02481886448583409,Pathogen
KNNImputer_MinMaxScaler,0.18271504180356196,combinatoric,0.12350268025713078,0.22793704439554782,0.05921236154643118,Interaction
KNNImputer_RobustScaler,0.158288618098735,combinatoric,0.12409400297616803,0.22709002907174544,0.03419461512256698,Overall
KNNImputer_RobustScaler,0.14508910124382704,combinatoric,0.12443394457906538,0.22464472932824656,0.020655156664761656,Bacillus
KNNImputer_RobustScaler,0.1469414308776557,combinatoric,0.12428143281652826,0.22711132100211648,0.02265999806112745,Pathogen
KNNImputer_RobustScaler,0.18283532217472234,combinatoric,0.12376251103419103,0.2258488876489032,0.05907281114053131,Interaction
KNNImputer_StandardScaler,0.15843781894339393,combinatoric,0.12313849167959869,0.2251308477912727,0.03529932726379524,Overall
KNNImputer_StandardScaler,0.14516979598205537,combinatoric,0.12314684900819799,0.2233329507177792,0.022022946973857385,Bacillus
KNNImputer_StandardScaler,0.1472155752521811,combinatoric,0.12381009023029128,0.22529480039054298,0.023405485021889813,Pathogen
KNNImputer_StandardScaler,0.18292808559594542,combinatoric,0.12434762830452259,0.22980347854036498,0.05858045729142283,Interaction
MeanImputer_MaxAbsScaler,0.1544134474975241,combinatoric,0.11848487487988864,0.22256957250574172,0.03592857261763545,Overall
MeanImputer_MaxAbsScaler,0.1339577594920477,combinatoric,0.11937999998425328,0.22224937107453382,0.014577759507794413,Bacillus
MeanImputer_MaxAbsScaler,0.15029583702349028,combinatoric,0.11793228544681632,0.2197050415871891,0.03236355157667396,Pathogen
MeanImputer_MaxAbsScaler,0.17898674597703423,combinatoric,0.119113885922151,0.22181368831580858,0.05987286005488324,Interaction
MeanImputer_MinMaxScaler,0.15458064713378986,combinatoric,0.12067205595307447,0.22443978757707447,0.03390859118071539,Overall
MeanImputer_MinMaxScaler,0.1338613086877161,combinatoric,0.11962990948617909,0.22207624105897328,0.014231399201537001,Bacillus
MeanImputer_MinMaxScaler,0.15076558351584843,combinatoric,0.11876514112457652,0.22414323366301447,0.03200044239127191,Pathogen
