Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
KNNImputer_MaxAbsScaler,0.21029813231163103,combinatoric,0.1635082104477851,0.2984829877223466,0.046789921863845924,Overall
KNNImputer_MaxAbsScaler,0.19957286715222824,combinatoric,0.1627825764024308,0.2967113279170259,0.03679029074979745,Bacillus
KNNImputer_MaxAbsScaler,0.19762139289781058,combinatoric,0.1634609884883374,0.3023292486501789,0.03416040440947318,Pathogen
KNNImputer_MaxAbsScaler,0.23370013688485428,combinatoric,0.162657510115434,0.2982623023983767,0.07104262676942028,Interaction
KNNImputer_MinMaxScaler,0.21046813660867292,combinatoric,0.16072341332897158,0.29219203708116853,0.049744723279701336,Overall
KNNImputer_MinMaxScaler,0.19950700040603986,combinatoric,0.16416242135600756,0.2985184264824224,0.0353445790500323,Bacillus
KNNImputer_MinMaxScaler,0.1981991871270725,combinatoric,0.16315609038780063,0.29977737077710126,0.03504309673927186,Pathogen
KNNImputer_MinMaxScaler,0.2336982222929065,combinatoric,0.16390402667291415,0.2981606087883911,0.06979419561999234,Interaction
KNNImputer_RobustScaler,0.21053256576830898,combinatoric,0.16328129172260958,0.30174899877650696,0.0472512740456994,Overall
KNNImputer_RobustScaler,0.20021794804019796,combinatoric,0.1617911569340145,0.30298627262758465,0.03842679110618347,Bacillus
KNNImputer_RobustScaler,0.19754751290938632,combinatoric,0.16275118503074176,0.3001627156553412,0.03479632787864456,Pathogen
KNNImputer_RobustScaler,0.23383223635534242,combinatoric,0.16096453855230722,0.2974700225827802,0.0728676978030352,Interaction
KNNImputer_StandardScaler,0.2107080084063847,combinatoric,0.16438567088844447,0.2976130502440274,0.04632233751794024,Overall
KNNImputer_StandardScaler,0.20027894100361254,combinatoric,0.16284983707818654,0.3021755445924008,0.037429103925426005,Bacillus
KNNImputer_StandardScaler,0.19788865783139775,combinatoric,0.16482439833332044,0.30171244562993793,0.033064259498077314,Pathogen
KNNImputer_StandardScaler,0.23395642638414385,combinatoric,0.16254066383836893,0.2969124571932672,0.07141576254577492,Interaction
MeanImputer_MaxAbsScaler,0.20651497910852792,combinatoric,0.1571031310652676,0.29710447774635435,0.04941184804326032,Overall
MeanImputer_MaxAbsScaler,0.18580493600161332,combinatoric,0.15894989614186236,0.3012620272138198,0.026855039859750962,Bacillus
MeanImputer_MaxAbsScaler,0.20312909140152285,combinatoric,0.15821033735263668,0.30388369383112557,0.04491875404888618,Pathogen
MeanImputer_MaxAbsScaler,0.23061090992244762,combinatoric,0.15783934525602386,0.297887989209075,0.07277156466642376,Interaction
MeanImputer_MinMaxScaler,0.20665175978093017,combinatoric,0.1591618210129554,0.2961196455586204,0.047489938767974776,Overall
MeanImputer_MinMaxScaler,0.1856154945887072,combinatoric,0.15641343493650753,0.2989169298363144,0.029202059652199686,Bacillus
MeanImputer_MinMaxScaler,0.203709015300367,combinatoric,0.15849389397039942,0.3039562767523954,0.04521512132996758,Pathogen
MeanImputer_MinMaxScaler,0.2306307694537162,combinatoric,0.1574063994401398,0.3033487226297663,0.0732243700135764,Interaction
MeanImputer_RobustScaler,0.20672023470539022,combinatoric,0.15886148067951217,0.3025674247278496,0.04785875402587805,Overall
MeanImputer_RobustScaler,0.18607931033933062,combinatoric,0.1586927297494233,0.29567527716581316,0.02738658058990731,Bacillus
MeanImputer_RobustScaler,0.20351221078214765,combinatoric,0.1594341226385896,0.30535361956976637,0.04407808814355804,Pathogen
MeanImputer_RobustScaler,0.23056918299469223,combinatoric,0.1595351799459526,0.30260497531456443,0.07103400304873964,Interaction
MeanImputer_StandardScaler,0.20686531712643197,combinatoric,0.159941939547012,0.29908637532604837,0.04692337757941997,Overall
MeanImputer_StandardScaler,0.1861510336694601,combinatoric,0.1602168462277747,0.300922800805968,0.02593418744168538,Bacillus
MeanImputer_StandardScaler,0.20345393848971804,combinatoric,0.15898019327199583,0.299596819391812,0.04447374521772221,Pathogen
MeanImputer_StandardScaler,0.2309909792201177,combinatoric,0.15958507905645372,0.30002383116730574,0.07140590016366397,Interaction
MedianImputer_MaxAbsScaler,0.2079116515890788,combinatoric,0.15922282192866494,0.2977137921811077,0.04868882966041385,Overall
MedianImputer_MaxAbsScaler,0.18731416788033264,combinatoric,0.15971754103645688,0.30200132912926503,0.02759662684387576,Bacillus
MedianImputer_MaxAbsScaler,0.20329353321565685,combinatoric,0.16038117958923803,0.2992769363144598,0.04291235362641882,Pathogen
MedianImputer_MaxAbsScaler,0.23312725367124687,combinatoric,0.15995937730516804,0.29497693076847264,0.07316787636607883,Interaction
MedianImputer_MinMaxScaler,0.20821951621449813,combinatoric,0.16053377853785858,0.2948928087198628,0.047685737676639556,Overall
MedianImputer_MinMaxScaler,0.18727639293602294,combinatoric,0.15976458066003474,0.2986743348887774,0.0275118122759882,Bacillus
MedianImputer_MinMaxScaler,0.20412398616642352,combinatoric,0.1595612295666083,0.2987897118241424,0.044562756599815234,Pathogen
MedianImputer_MinMaxScaler,0.23325816954104803,combinatoric,0.15882028572258336,0.2970981987126779,0.07443788381846467,Interaction
MedianImputer_RobustScaler,0.20747403299491524,combinatoric,0.15895225646017075,0.2980758259849498,0.04852177653474449,Overall
