Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,0.1769901027078545,0.062116090216137135,94,0.012722606306454404,Overall
KNNImputer_MaxAbsScaler,0.14927143385399633,0.04186459831583079,18,0.02081877495650981,Bacillus
KNNImputer_MaxAbsScaler,0.14711685675567027,0.03978493693355823,4,0.0633067127750849,Pathogen
KNNImputer_MaxAbsScaler,0.1855793946964404,0.06517335176899246,72,0.015314986832916162,Interaction
KNNImputer_MinMaxScaler,0.17695263939762673,0.06143713339590095,94,0.012583542493956061,Overall
KNNImputer_MinMaxScaler,0.14897809679279783,0.04115406467459342,18,0.020465434889459493,Bacillus
KNNImputer_MinMaxScaler,0.14728435087896583,0.03932066376194521,4,0.06256795055526367,Pathogen
KNNImputer_MinMaxScaler,0.1855945132998707,0.06441674287381585,72,0.015137192459099565,Interaction
KNNImputer_RobustScaler,0.17672342251048634,0.060802678532104186,94,0.012453593564085964,Overall
KNNImputer_RobustScaler,0.14988227516679656,0.04144188466391086,18,0.02060856440285838,Bacillus
KNNImputer_RobustScaler,0.1470638591942436,0.03928040808088173,4,0.06250389478353008,Pathogen
KNNImputer_RobustScaler,0.18508146286397784,0.06374201446859082,72,0.014978639057113382,Interaction
KNNImputer_StandardScaler,0.17683884409588616,0.0614767364873486,94,0.012591653991947222,Overall
KNNImputer_StandardScaler,0.15010191609847634,0.0421311607869522,18,0.020951333354807623,Bacillus
KNNImputer_StandardScaler,0.14818135601719795,0.037706505485523026,4,0.05999946453379177,Pathogen
KNNImputer_StandardScaler,0.18511515876627682,0.0645633109271852,72,0.01517163426309691,Interaction
MeanImputer_MaxAbsScaler,0.17087478502556627,0.06450157999969183,94,0.013211201890281911,Overall
MeanImputer_MaxAbsScaler,0.13896486688092927,0.04337801652329304,18,0.021571380125166757,Bacillus
MeanImputer_MaxAbsScaler,0.1500438818471638,0.04073362738069693,4,0.0648162909792624,Pathogen
MeanImputer_MaxAbsScaler,0.18000953696052566,0.06754074483626547,72,0.015871296930057323,Interaction
MeanImputer_MinMaxScaler,0.1705438772764826,0.0649955710036422,94,0.013312381037912133,Overall
MeanImputer_MinMaxScaler,0.13829384085381344,0.0424961399812609,18,0.02113283323814098,Bacillus
MeanImputer_MinMaxScaler,0.14986669548224696,0.04092121132769766,4,0.06511477889879397,Pathogen
MeanImputer_MinMaxScaler,0.1797551187040519,0.06823806852381432,72,0.016035159963079543,Interaction
MeanImputer_RobustScaler,0.17052051179074168,0.06527462599650034,94,0.013369537030822038,Overall
MeanImputer_RobustScaler,0.13939378995894788,0.04435591425621122,18,0.022057677227040686,Bacillus
MeanImputer_RobustScaler,0.14999644649291666,0.04057390486699481,4,0.0645621368174614,Pathogen
MeanImputer_RobustScaler,0.1794424180985693,0.06848573682266354,72,0.01609335916003432,Interaction
MeanImputer_StandardScaler,0.1704846984142472,0.06542201483230686,94,0.013399725185379227,Overall
MeanImputer_StandardScaler,0.13851230732468542,0.042455843862770015,18,0.021112794449851317,Bacillus
MeanImputer_StandardScaler,0.1497202323482387,0.04043459482379613,4,0.06434046345132809,Pathogen
MeanImputer_StandardScaler,0.17963137763474923,0.06882800257191231,72,0.016173787668018424,Interaction
MedianImputer_MaxAbsScaler,0.17236440661669342,0.06558480229235017,94,0.013433067283353394,Overall
MedianImputer_MaxAbsScaler,0.13865220217383445,0.04135121544590113,18,0.020563475661507354,Bacillus
MedianImputer_MaxAbsScaler,0.14960191721639457,0.040300400174175535,4,0.0641269298178911,Pathogen
MedianImputer_MaxAbsScaler,0.1820570404718692,0.06887343560411407,72,0.016184463907172358,Interaction
MedianImputer_MinMaxScaler,0.17257158014652535,0.0657081018371683,94,0.01345832147370935,Overall
MedianImputer_MinMaxScaler,0.13920868986169632,0.042043913521022824,18,0.02090794631019175,Bacillus
MedianImputer_MinMaxScaler,0.14996591573442739,0.041239584155420936,4,0.06562138111343939,Pathogen
MedianImputer_MinMaxScaler,0.18216817296284915,0.06896308176612202,72,0.016205529722471218,Interaction
MedianImputer_RobustScaler,0.17233518763985683,0.0658433629302538,94,0.013486025626207028,Overall
MedianImputer_RobustScaler,0.13891682733643607,0.04211452725538457,18,0.0209430616941595,Bacillus
MedianImputer_RobustScaler,0.149851175827728,0.040885392237836146,4,0.06505778273369976,Pathogen
MedianImputer_RobustScaler,0.18193888948305253,0.069124898924752,72,0.016243554890526746,Interaction
MedianImputer_StandardScaler,0.17273513072494748,0.06534669474901891,94,0.013384298139612059,Overall
MedianImputer_StandardScaler,0.13917412624903103,0.041387374935395606,18,0.020581457352592706,Bacillus
MedianImputer_StandardScaler,0.15027916306448788,0.04038266265372336,4,0.06425782777994135,Pathogen
MedianImputer_StandardScaler,0.18237293560284104,0.06860139849678698,72,0.016120538320967336,Interaction
RandomForestImputer_MaxAbsScaler,0.17602460366347114,0.06132502248256552,94,0.012560579957066494,Overall
RandomForestImputer_MaxAbsScaler,0.14739373621104657,0.04115458180144456,18,0.020465692050592548,Bacillus
RandomForestImputer_MaxAbsScaler,0.14697531212053405,0.040281126770696396,4,0.06409626153204488,Pathogen
RandomForestImputer_MaxAbsScaler,0.18479617005674046,0.06417622064272993,72,0.015080672505742538,Interaction
RandomForestImputer_MinMaxScaler,0.17637739297141367,0.061326424933307644,94,0.012560867206772556,Overall
RandomForestImputer_MinMaxScaler,0.14905220670328115,0.03988364727175868,18,0.01983367117800764,Bacillus
RandomForestImputer_MinMaxScaler,0.14654323279375678,0.04071512680446395,4,0.06478685243402328,Pathogen
RandomForestImputer_MinMaxScaler,0.18486614288164996,0.06452020534248584,72,0.015161504947292561,Interaction
RandomForestImputer_RobustScaler,0.17668999101756755,0.06135147010996392,94,0.01256599695530252,Overall
RandomForestImputer_RobustScaler,0.14883057672344963,0.040101982669185854,18,0.01994224681677969,Bacillus
RandomForestImputer_RobustScaler,0.14702177134309907,0.04092663567205764,4,0.06512341024112747,Pathogen
RandomForestImputer_RobustScaler,0.18530307901745638,0.06444296830039208,72,0.01514335513221366,Interaction
