Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,0.17817260526667536,0.061408485923268724,94,0.012577674923819136,Overall
KNNImputer_MaxAbsScaler,0.14884153107700837,0.040504324470595134,18,0.020142326687508295,Bacillus
KNNImputer_MaxAbsScaler,0.1492747068545985,0.041967536719942584,4,0.06677971608813145,Pathogen
KNNImputer_MaxAbsScaler,0.18711081261476303,0.06423449685228019,72,0.015094366743612916,Interaction
KNNImputer_MinMaxScaler,0.17532386900675886,0.060975415121543135,94,0.012488973440934371,Overall
KNNImputer_MinMaxScaler,0.1490321252459375,0.04251808942808397,18,0.02114374844125321,Bacillus
KNNImputer_MinMaxScaler,0.1467157455145454,0.04081445053963658,4,0.06494489866103687,Pathogen
KNNImputer_MinMaxScaler,0.18348614514097605,0.06385846167080297,72,0.015006002808097529,Interaction
KNNImputer_RobustScaler,0.17511289478825107,0.05910556043238379,94,0.012105990143407512,Overall
KNNImputer_RobustScaler,0.14909287717978606,0.03934343895911294,18,0.019565031904181032,Bacillus
KNNImputer_RobustScaler,0.14671248046485025,0.03913647863549024,4,0.0622748709176762,Pathogen
KNNImputer_RobustScaler,0.18319569998611182,0.062106915571673096,72,0.01459440965357479,Interaction
KNNImputer_StandardScaler,0.17609409055390576,0.06133358383901686,94,0.012562333492538554,Overall
KNNImputer_StandardScaler,0.1465170172935478,0.037481657891112435,18,0.018639189960575515,Bacillus
KNNImputer_StandardScaler,0.1499797015713918,0.04329734523996162,4,0.06889573819376651,Pathogen
KNNImputer_StandardScaler,0.18493915825691276,0.06459343066663936,72,0.015178712054872699,Interaction
MeanImputer_MaxAbsScaler,0.17389998953642605,0.06790219243610053,94,0.013907714711335497,Overall
MeanImputer_MaxAbsScaler,0.13827489445421698,0.041181421930994486,18,0.02047903933300735,Bacillus
MeanImputer_MaxAbsScaler,0.15562924834990705,0.04012619838840912,4,0.06384973590314798,Pathogen
MeanImputer_MaxAbsScaler,0.18382130448400713,0.07158841180832043,72,0.01682245203714427,Interaction
MeanImputer_MinMaxScaler,0.16991264831335195,0.06361996586793692,94,0.013030629844077844,Overall
MeanImputer_MinMaxScaler,0.13707053962983617,0.03963338243395364,18,0.01970921740208737,Bacillus
MeanImputer_MinMaxScaler,0.14967483496339345,0.041225938075106314,4,0.06559966715449995,Pathogen
MeanImputer_MinMaxScaler,0.17924749844811746,0.06684941005847025,72,0.015708841221831676,Interaction
MeanImputer_RobustScaler,0.17121895324818223,0.06580069013788216,94,0.013477285392630637,Overall
MeanImputer_RobustScaler,0.13640242580836673,0.04152528989538778,18,0.02065004084869011,Bacillus
MeanImputer_RobustScaler,0.1524772385328537,0.03843190014378562,4,0.06115372930882214,Pathogen
MeanImputer_RobustScaler,0.1809642914812099,0.06908431206554201,72,0.016234017446195303,Interaction
MeanImputer_StandardScaler,0.17388903780765494,0.06811414973324233,94,0.013951127766405962,Overall
MeanImputer_StandardScaler,0.13790036247293375,0.041330221855630254,18,0.020553035794675684,Bacillus
MeanImputer_StandardScaler,0.15705551204646823,0.041969485086611955,4,0.0667828163742856,Pathogen
MeanImputer_StandardScaler,0.18382140251695675,0.07175896185781977,72,0.0168625293339464,Interaction
MedianImputer_MaxAbsScaler,0.1744728856128483,0.0678227373627913,94,0.013891440737663838,Overall
MedianImputer_MaxAbsScaler,0.13699809341212352,0.04039382971644752,18,0.020087378938980535,Bacillus
MedianImputer_MaxAbsScaler,0.15926113344659043,0.0388646570222677,4,0.061842342073327956,Pathogen
MedianImputer_MaxAbsScaler,0.18468668100559937,0.07138548868912792,72,0.01677476744191978,Interaction
MedianImputer_MinMaxScaler,0.1706662856678465,0.06310521647222234,94,0.012925198966419988,Overall
MedianImputer_MinMaxScaler,0.13846463060417522,0.04246921267454476,18,0.02111944260354133,Bacillus
MedianImputer_MinMaxScaler,0.15064463444335346,0.04001349384411871,4,0.06367039782286509,Pathogen
MedianImputer_MinMaxScaler,0.17982901339068055,0.06592490737707807,72,0.015491593742483017,Interaction
MedianImputer_RobustScaler,0.17249168351505853,0.06677462889402351,94,0.01367676735161854,Overall
MedianImputer_RobustScaler,0.13830236331541523,0.04068964710552673,18,0.020234485465717076,Bacillus
MedianImputer_RobustScaler,0.15448183367510138,0.03870289384933831,4,0.06158494076731787,Pathogen
MedianImputer_RobustScaler,0.18203956077830033,0.0705243887988977,72,0.016572418888059222,Interaction
MedianImputer_StandardScaler,0.1745153052188882,0.06916824266779842,94,0.01416702688964615,Overall
MedianImputer_StandardScaler,0.1374172311541349,0.03991298427319415,18,0.019848260125599503,Bacillus
MedianImputer_StandardScaler,0.1584337536595551,0.042179584883811586,4,0.06711713203595507,Pathogen
MedianImputer_StandardScaler,0.1846832432661506,0.07308730886705977,72,0.0171746755778309,Interaction
RandomForestImputer_MaxAbsScaler,0.178128086525251,0.06352817705834542,94,0.013011829676782907,Overall
RandomForestImputer_MaxAbsScaler,0.14683342448288675,0.0411958437515834,18,0.020486211135661198,Bacillus
RandomForestImputer_MaxAbsScaler,0.1494496643099834,0.04140111688504351,4,0.06587841573272432,Pathogen
RandomForestImputer_MaxAbsScaler,0.18754499771446806,0.06650598432590109,72,0.015628140131130928,Interaction
RandomForestImputer_MinMaxScaler,0.1752924888064266,0.062065475485127086,94,0.012712239406449798,Overall
RandomForestImputer_MinMaxScaler,0.14845789440776608,0.04169195396372847,18,0.020732920940025157,Bacillus
RandomForestImputer_MinMaxScaler,0.1462603701980819,0.0415242275734506,4,0.0660743123104554,Pathogen
RandomForestImputer_MinMaxScaler,0.1836140328843331,0.0652412551336369,72,0.015330943341323563,Interaction
RandomForestImputer_RobustScaler,0.1758428532690966,0.0603359767542317,94,0.012358003790780312,Overall
RandomForestImputer_RobustScaler,0.1478337778533173,0.040181664946043215,18,0.019981871880835025,Bacillus
RandomForestImputer_RobustScaler,0.14812287656968398,0.039057108269797455,4,0.06214857495415217,Pathogen
RandomForestImputer_RobustScaler,0.1843851208285644,0.06325528402038279,72,0.014864263009186505,Interaction
RandomForestImputer_StandardScaler,0.17737957300840604,0.06266449082665,94,0.012834929619810045,Overall
RandomForestImputer_StandardScaler,0.14774842890722453,0.0414550739055809,18,0.020615123258436167,Bacillus
RandomForestImputer_StandardScaler,0.1492034170356154,0.04230930851217933,4,0.06732355127685856,Pathogen
RandomForestImputer_StandardScaler,0.18635270103218976,0.06563170311778217,72,0.01542269411942254,Interaction
