Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
KNNImputer_MaxAbsScaler,0.21029813231163103,combinatoric,0.1613061229443582,0.2961855532735509,0.048992009367272826,Overall
KNNImputer_MaxAbsScaler,0.19957286715222824,combinatoric,0.16382142826782667,0.30403435838987863,0.035751438884401576,Bacillus
KNNImputer_MaxAbsScaler,0.19762139289781058,combinatoric,0.16120178345051542,0.2992798195807185,0.036419609447295165,Pathogen
KNNImputer_MaxAbsScaler,0.23370013688485428,combinatoric,0.16277577327674667,0.30216809158544655,0.07092436360810761,Interaction
KNNImputer_MinMaxScaler,0.21046813660867292,combinatoric,0.16316535969068344,0.3001521462351889,0.04730277691798948,Overall
KNNImputer_MinMaxScaler,0.19950700040603986,combinatoric,0.16432171967289025,0.2963132710608791,0.03518528073314961,Bacillus
KNNImputer_MinMaxScaler,0.1981991871270725,combinatoric,0.16455943010442986,0.300704016379604,0.03363975702264263,Pathogen
KNNImputer_MinMaxScaler,0.2336982222929065,combinatoric,0.16152345333739632,0.3024084220706741,0.07217476895551017,Interaction
KNNImputer_RobustScaler,0.21053256576830898,combinatoric,0.16249667579326516,0.297327675243154,0.04803588997504382,Overall
KNNImputer_RobustScaler,0.20021794804019796,combinatoric,0.16329512219092976,0.30039885058366766,0.036922825849268204,Bacillus
KNNImputer_RobustScaler,0.19754751290938632,combinatoric,0.16240504513432236,0.2979097637898928,0.03514246777506397,Pathogen
KNNImputer_RobustScaler,0.23383223635534242,combinatoric,0.16314572143820338,0.2955148486364792,0.07068651491713904,Interaction
KNNImputer_StandardScaler,0.2107080084063847,combinatoric,0.1623193635930972,0.29264858422254464,0.0483886448132875,Overall
KNNImputer_StandardScaler,0.20027894100361254,combinatoric,0.16430056480685643,0.30157548933163836,0.03597837619675612,Bacillus
KNNImputer_StandardScaler,0.19788865783139775,combinatoric,0.16331130280953912,0.302074604184777,0.03457735502185863,Pathogen
KNNImputer_StandardScaler,0.23395642638414385,combinatoric,0.16185474168940114,0.2962099248831809,0.07210168469474271,Interaction
