Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,0.23003129023566357,0.07510424940212158,94,0.015382838709908397,Overall
KNNImputer_MaxAbsScaler,0.20654307770577715,0.05744526505852803,18,0.028566858244960528,Bacillus
KNNImputer_MaxAbsScaler,0.19804773113259408,0.051440051241310666,4,0.08185260050827114,Pathogen
KNNImputer_MaxAbsScaler,0.23768020776275012,0.07892838695661072,72,0.018547261636448625,Interaction
KNNImputer_MinMaxScaler,0.22987623685978484,0.0741996030672326,94,0.01519754921204526,Overall
KNNImputer_MinMaxScaler,0.20609743738953973,0.05658690860798294,18,0.02814000762426296,Bacillus
KNNImputer_MinMaxScaler,0.1981818364309289,0.05070236789617601,4,0.08067878169017438,Pathogen
KNNImputer_MinMaxScaler,0.23758173675117142,0.07794912006915775,72,0.018317145199589404,Interaction
KNNImputer_RobustScaler,0.22960650795778187,0.07388662161799109,94,0.015133444408506145,Overall
KNNImputer_RobustScaler,0.20715047863788513,0.05733691593062573,18,0.028512977491262262,Bacillus
KNNImputer_RobustScaler,0.19775069499877237,0.05077273461595715,4,0.08079075084386562,Pathogen
KNNImputer_RobustScaler,0.2369902826743677,0.07755285628616451,72,0.01822402777576235,Interaction
KNNImputer_StandardScaler,0.22982519955726596,0.07430010712265545,94,0.015218134434407093,Overall
KNNImputer_StandardScaler,0.2071402498009239,0.05788694866976257,18,0.028786502337444113,Bacillus
KNNImputer_StandardScaler,0.19912971918611133,0.04852103132888024,4,0.07720778844058844,Pathogen
KNNImputer_StandardScaler,0.23720174146141565,0.07804200396389573,72,0.018338971844779364,Interaction
MeanImputer_MaxAbsScaler,0.22311549992273824,0.07941298683905589,94,0.01626535352848845,Overall
MeanImputer_MaxAbsScaler,0.19319747539822107,0.05989215194274265,18,0.02978366646564843,Bacillus
MeanImputer_MaxAbsScaler,0.20250198868395172,0.05304535637981312,4,0.08440699921171163,Pathogen
MeanImputer_MaxAbsScaler,0.231740201122689,0.0834053958973069,72,0.019599307159911043,Interaction
MeanImputer_MinMaxScaler,0.22247681742647427,0.07960102045470285,94,0.016303866539464053,Overall
MeanImputer_MinMaxScaler,0.19250713586361332,0.058569898796282306,18,0.029126125445332805,Bacillus
MeanImputer_MinMaxScaler,0.2023013362170702,0.052747648800784044,4,0.08393328001924354,Pathogen
MeanImputer_MinMaxScaler,0.23109009788437865,0.08387420421270599,72,0.019709471713100626,Interaction
MeanImputer_RobustScaler,0.2223405885795414,0.080178830657511,94,0.016422213520167463,Overall
MeanImputer_RobustScaler,0.1936688065270346,0.0611899827666131,18,0.030429062550663855,Bacillus
MeanImputer_RobustScaler,0.2027790767529896,0.05239460516563725,4,0.08337150881310501,Pathogen
MeanImputer_RobustScaler,0.23059528474969873,0.08431520182685441,72,0.019813101071890854,Interaction
MeanImputer_StandardScaler,0.2226292983691473,0.08025884605101338,94,0.01643860225851923,Overall
MeanImputer_StandardScaler,0.19234341817966466,0.058754771855946575,18,0.029218060655020858,Bacillus
MeanImputer_StandardScaler,0.20252695521030087,0.05197680796664866,4,0.08270670023696533,Pathogen
MeanImputer_StandardScaler,0.23131756525867614,0.08464552189988736,72,0.019890722483584988,Interaction
MedianImputer_MaxAbsScaler,0.22521919672209825,0.0801915078616662,94,0.016424810062818044,Overall
