Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,0.23166143078107296,0.07393866439453482,94,0.015144103800537372,Overall
KNNImputer_MaxAbsScaler,0.20568809540846794,0.05730409177490654,18,0.02849665442264233,Bacillus
KNNImputer_MaxAbsScaler,0.20039646029328584,0.05280770680773707,4,0.08402884571040872,Pathogen
KNNImputer_MaxAbsScaler,0.23989170742910126,0.07721418155250313,72,0.018144443115070814,Interaction
KNNImputer_MinMaxScaler,0.22840823313321743,0.07417325778918069,94,0.015192153176983775,Overall
KNNImputer_MinMaxScaler,0.2064162681465035,0.05980751676901383,18,0.029741578383924275,Bacillus
KNNImputer_MinMaxScaler,0.1966838582059217,0.05250356802276567,4,0.08354489303414579,Pathogen
KNNImputer_MinMaxScaler,0.23566868965363452,0.07746429146628717,72,0.018203216063406528,Interaction
KNNImputer_RobustScaler,0.22771959763554558,0.07199346768327121,94,0.014745688963738972,Overall
KNNImputer_RobustScaler,0.2055311835961423,0.055704239016834016,18,0.027701066363189513,Bacillus
KNNImputer_RobustScaler,0.19730799618099942,0.050016336704370404,4,0.07958715297433863,Pathogen
KNNImputer_RobustScaler,0.23495623455953785,0.07556709326311732,72,0.017757396342426606,Interaction
KNNImputer_StandardScaler,0.22867177053150042,0.07293238851795604,94,0.014937998558419796,Overall
KNNImputer_StandardScaler,0.20195467562426972,0.05265805466409193,18,0.026186234522756018,Bacillus
KNNImputer_StandardScaler,0.20071140562727338,0.05409562539985815,4,0.08607821159291004,Pathogen
KNNImputer_StandardScaler,0.23690439786409845,0.0767202817814841,72,0.01802838235887789,Interaction
MeanImputer_MaxAbsScaler,0.2250474502603228,0.08143000537158736,94,0.016678478897662986,Overall
MeanImputer_MaxAbsScaler,0.19147755289481777,0.05694135053223556,18,0.028316267446475973,Bacillus
MeanImputer_MaxAbsScaler,0.20928734475583177,0.050939365748270855,4,0.08105589815955416,Pathogen
MeanImputer_MaxAbsScaler,0.23431548601861518,0.08609705049542472,72,0.020231814981129855,Interaction
MeanImputer_MinMaxScaler,0.22103248624503372,0.07770470449636015,94,0.015915463449593253,Overall
MeanImputer_MinMaxScaler,0.1903713893899893,0.05485825764126931,18,0.027280369722500135,Bacillus
MeanImputer_MinMaxScaler,0.2012636462336373,0.05357974508644589,4,0.08525733089421618,Pathogen
MeanImputer_MinMaxScaler,0.22979602934831686,0.08202959399428514,72,0.019276009562694263,Interaction
MeanImputer_RobustScaler,0.22188664377636783,0.07971646671572781,94,0.01632751222166108,Overall
MeanImputer_RobustScaler,0.18912192416462567,0.05791708887984198,18,0.028801490711297634,Bacillus
MeanImputer_RobustScaler,0.20512948657054536,0.0491951369578118,4,0.07828044092467074,Pathogen
MeanImputer_RobustScaler,0.23100877685740462,0.08394040050453977,72,0.01972502707906394,Interaction
MeanImputer_StandardScaler,0.22500233016043036,0.0820909029600877,94,0.016813843821600043,Overall
MeanImputer_StandardScaler,0.1917732868947158,0.057736992325608555,18,0.028711930801878636,Bacillus
MeanImputer_StandardScaler,0.21065093710791727,0.05332930634476772,4,0.08485882697013931,Pathogen
MeanImputer_StandardScaler,0.23410689059088752,0.08679338066011286,72,0.020395444547725735,Interaction
MedianImputer_MaxAbsScaler,0.22632709936314202,0.08116007437642417,94,0.016623191680302376,Overall
MedianImputer_MaxAbsScaler,0.19051056447174522,0.05546832168595759,18,0.02758374743460924,Bacillus
MedianImputer_MaxAbsScaler,0.2138745496502726,0.04999863234708547,4,0.0795589813911242,Pathogen
MedianImputer_MaxAbsScaler,0.23597304140337286,0.08577506634550186,72,0.020156152415332182,Interaction
MedianImputer_MinMaxScaler,0.2227658241487059,0.07684643840559405,94,0.01573967354490025,Overall
MedianImputer_MinMaxScaler,0.19258858609185192,0.05797689273036283,18,0.028831230466499238,Bacillus
MedianImputer_MinMaxScaler,0.2034659690907914,0.05076452103463802,4,0.08077768120310451,Pathogen
MedianImputer_MinMaxScaler,0.23138234783280356,0.08058752654094128,72,0.018937140324567312,Interaction
MedianImputer_RobustScaler,0.22396117932438625,0.08046786683653344,94,0.016481413857813137,Overall
MedianImputer_RobustScaler,0.19171369506918318,0.056030517260891394,18,0.027863320716736414,Bacillus
MedianImputer_RobustScaler,0.20760495005101626,0.04944167401960675,4,0.07867273640538322,Pathogen
MedianImputer_RobustScaler,0.23293172979226315,0.08524169886102159,72,0.020030817201165594,Interaction
MedianImputer_StandardScaler,0.22635978983966445,0.08287088254529656,94,0.01697359909845593,Overall
MedianImputer_StandardScaler,0.19118587043066115,0.055513869558294786,18,0.027606397858644896,Bacillus
MedianImputer_StandardScaler,0.2131365269486319,0.05261011088034082,4,0.08371442649586802,Pathogen
MedianImputer_StandardScaler,0.23588789540808378,0.08789283902658858,72,0.02065380459748347,Interaction
RandomForestImputer_MaxAbsScaler,0.23110967719253914,0.0758916936182248,94,0.015544122891107121,Overall
RandomForestImputer_MaxAbsScaler,0.2032826863192328,0.05682311356130943,18,0.02825746958412267,Bacillus
RandomForestImputer_MaxAbsScaler,0.20086156088094229,0.051919065264118144,4,0.08261481871180265,Pathogen
RandomForestImputer_MaxAbsScaler,0.23974687581706558,0.0795844269350116,72,0.01870142347343207,Interaction
RandomForestImputer_MinMaxScaler,0.22798133478081875,0.07523851352240853,94,0.015410338662618707,Overall
RandomForestImputer_MinMaxScaler,0.20540155714799313,0.05743302653146849,18,0.02856077216863586,Bacillus
RandomForestImputer_MinMaxScaler,0.19589935515456902,0.05301716281008107,4,0.08436213695079836,Pathogen
RandomForestImputer_MinMaxScaler,0.23540861139048344,0.07914006258060469,72,0.018597002969467796,Interaction
RandomForestImputer_RobustScaler,0.22893915629700598,0.07337093239889425,94,0.01502782103639398,Overall
RandomForestImputer_RobustScaler,0.20427106146316543,0.05532868044985169,18,0.027514305481596682,Bacillus
RandomForestImputer_RobustScaler,0.1986029331093301,0.04937891696294768,4,0.07857287592383563,Pathogen
RandomForestImputer_RobustScaler,0.23679152573811477,0.0771148861202582,72,0.018121109832431155,Interaction
