,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2257977806854579,0.2922215528376676,[0.50470329 0.50470329 0.50094256 ... 0.59452094 0.62985293 0.62985293],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1559470056695601,0.2096604972697145,[0.67593345 0.67593345 0.67593345 ... 0.54596399 0.54601181 0.54601181],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1324830941972656,0.1915488556546886,[0.67373567 0.67373567 0.67373567 ... 0.62062864 0.62910012 0.62910012],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1289564901301115,0.1981543950716656,[0.53451805 0.53791577 0.53451805 ... 0.61630706 0.64731438 0.63761702],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2481738990980862,0.3593928140032129,[0.77239532 0.77239532 0.77239532 ... 0.5122955  0.50325066 0.51748818],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.137014239697861,0.2004611336974089,[0.71186111 0.71186111 0.71186111 ... 0.59324647 0.59457911 0.59457911],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1266812890454867,0.1648223619895286,[0.6049204  0.60069562 0.60451491 ... 0.51522461 0.50522152 0.50522152],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2002912857050777,0.2641000579038465,[0.8658776  0.8658776  0.8658776  ... 0.54252231 0.55452205 0.55790838],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1014195899394777,0.1263379205996369,[0.82705129 0.79815924 0.82696007 ... 0.78065999 0.78637941 0.78828112],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0963466338351088,0.1271558141084135,[0.87870892 0.87950933 0.87870892 ... 0.8395413  0.84522526 0.84522526],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1196216556538211,0.1698559097374994,[0.73504563 0.73431687 0.74849305 ... 0.89184459 0.90243555 0.89957972],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.0974285532229439,0.1284875172899573,[0.71119121 0.71078796 0.71341256 ... 0.74773441 0.77007071 0.77007071],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1808800355643133,0.2562277121069659,[0.69157286 0.69293972 0.70556666 ... 0.86972686 0.9056542  0.88589859],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1154263969461392,0.168849853654931,[0.8404555  0.83712952 0.83897807 ... 0.91344484 0.9205339  0.9205339 ],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1075307892284239,0.1508269949525973,[0.7746169  0.7746169  0.7746169  ... 0.8126915  0.80227954 0.80227954],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.1551696845257532,0.2109365694067836,[0.66559591 0.66493738 0.68117814 ... 0.66883916 0.67991543 0.6807226 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
4,0,B18,combinatoric,LGBMRegressor,0.1545540296655345,0.219682023544681,[0.60064937 0.60064937 0.592257   ... 0.63573017 0.64797279 0.64797279],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
5,0,C5,combinatoric,LGBMRegressor,0.1200994906956539,0.1596966465383894,[0.62574637 0.62963969 0.62399542 ... 0.64205801 0.62647691 0.62647691],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
6,0,E.ce,combinatoric,LGBMRegressor,0.101530255050655,0.1410718069546074,[0.94795267 0.94795267 0.94795267 ... 0.54479649 0.54479649 0.54479649],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
7,0,E.co,combinatoric,LGBMRegressor,0.1846052371669203,0.2485512605691007,[0.96653049 0.96653049 0.96653049 ... 0.51132453 0.51132453 0.51132453],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
8,0,S.en,combinatoric,LGBMRegressor,0.1813039760179155,0.2398465752217132,[0.43294138 0.43294138 0.43294138 ... 0.24640629 0.24640629 0.24640629],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
9,0,S.au,combinatoric,LGBMRegressor,0.1203311058099146,0.1637343075544299,[0.98378318 0.96824809 0.97620935 ... 0.44603504 0.46903845 0.46903845],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
10,0,1167_x_E.ce,combinatoric,LGBMRegressor,0.1516286814286632,0.1993957861278675,[0.50858598 0.50858598 0.50858598 ... 0.88149014 0.88149014 0.88149014],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
11,0,1167_x_E.co,combinatoric,LGBMRegressor,0.245579459349145,0.2942616691675438,[0.61550661 0.61550661 0.61550661 ... 0.62394459 0.62394459 0.62394459],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,0,1167_x_S.en,combinatoric,LGBMRegressor,0.2634399316440652,0.352975026323794,[0.41514524 0.41514524 0.41514524 ... 0.33422172 0.33422172 0.33422172],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
1,0,1167_x_S.au,combinatoric,LGBMRegressor,0.1646660703260142,0.210609939006425,[0.94527124 0.95705164 0.95122343 ... 0.50928799 0.54521008 0.54521008],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224
2,0,1202_x_E.ce,combinatoric,LGBMRegressor,0.1316549201759657,0.196742530081965,[0.57003676 0.57003676 0.57003676 ... 0.83832733 0.83832733 0.83832733],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296
