,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2149704377624643,0.2772099386638607,[0.54810434 0.54810434 0.54685936 ... 0.63987114 0.6658466  0.6658466 ],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1591358540808072,0.2133967225958599,[0.6900731  0.68785461 0.6900731  ... 0.62778356 0.6324137  0.63344579],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1326305309841789,0.1887239734766026,[0.70925937 0.70290794 0.70925937 ... 0.61525451 0.6206962  0.62216056],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1231158220143341,0.1903449538179309,[0.49924555 0.49924555 0.49924555 ... 0.60777922 0.62059878 0.62129249],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2433213297289981,0.3502117188703738,[0.76187106 0.76187106 0.76187106 ... 0.65807501 0.65190517 0.65190517],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1309384499980279,0.1962042531986986,[0.64645996 0.64645996 0.65229573 ... 0.59231849 0.5862884  0.5862884 ],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1309253020537953,0.1721691874814622,[0.62382074 0.61923981 0.62382074 ... 0.54822762 0.53912177 0.53912177],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.1936953002696297,0.2540817289289741,[0.82038736 0.82070696 0.82256162 ... 0.57796853 0.59242315 0.59242315],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1010003785960836,0.1261897431658598,[0.77545118 0.76278531 0.7775986  ... 0.8125473  0.83992517 0.82856978],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0917204504747072,0.1218627239721978,[0.85537216 0.85537216 0.85537216 ... 0.81000129 0.82073838 0.82140453],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
