,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2087962867124645,0.2687094597885867,[0.53908655 0.53908655 0.53908655 ... 0.57371364 0.59934533 0.59934533],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1608421035527838,0.2169486906867024,[0.74272052 0.74272052 0.74272052 ... 0.58441717 0.57850571 0.57850571],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1313288038942356,0.1861204545013682,[0.7075413  0.69418993 0.7075413  ... 0.6530476  0.66228922 0.66228922],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1270719174850177,0.1939361925168701,[0.53168113 0.53168113 0.53087726 ... 0.60985207 0.61500695 0.61500695],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2212821101017033,0.3144481216582969,[0.77190211 0.77190211 0.76406376 ... 0.53231372 0.53537853 0.51882938],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1423901437642155,0.203222334560881,[0.6313816  0.61524821 0.65150174 ... 0.55815923 0.55332838 0.55332838],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1325817402499314,0.1724786020117162,[0.60166625 0.60166625 0.60166625 ... 0.55345382 0.55167272 0.55167272],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.1953274811439026,0.257103257876371,[0.79320437 0.79320437 0.79320437 ... 0.5503526  0.55675305 0.55675305],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1013514373622883,0.1269044979321209,[0.75927036 0.75330411 0.77254782 ... 0.86849783 0.88608275 0.88101112],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0892762924451994,0.1218322112201385,[0.84212691 0.84103311 0.84883443 ... 0.7819978  0.79698215 0.79698215],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.0977213034597342,0.132353033853295,[0.83068612 0.83068612 0.83301356 ... 0.90949894 0.92867797 0.92867797],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1012893091013786,0.1349141244746973,[0.70897168 0.70992091 0.70768807 ... 0.73348192 0.76592013 0.75812492],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1829860018482516,0.2556773600578628,[0.65613859 0.64197083 0.66388522 ... 0.86611589 0.89125385 0.86476145],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1171954449295744,0.1706406343263967,[0.83759398 0.83701168 0.83774067 ... 0.87126746 0.89391717 0.89391717],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1064752548028878,0.1478888895007937,[0.75428674 0.75428674 0.75428674 ... 0.77027863 0.7600838  0.76111482],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.1538523504354588,0.2100416276591431,[0.66691377 0.66691377 0.69758144 ... 0.65911707 0.6687766  0.6687766 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
4,0,B18,combinatoric,LGBMRegressor,0.1385650396680888,0.194437487261232,[0.61765295 0.61765295 0.61289386 ... 0.62987668 0.65081713 0.65081713],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
5,0,C5,combinatoric,LGBMRegressor,0.1104006841970937,0.1494337547420251,[0.65868606 0.65868606 0.65868606 ... 0.80697743 0.79409827 0.79409827],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
6,0,E.ce,combinatoric,LGBMRegressor,0.1027510466836637,0.143552174485439,[0.92663668 0.92663668 0.92663668 ... 0.50340591 0.50340591 0.50340591],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
7,0,E.co,combinatoric,LGBMRegressor,0.1860432243152287,0.2499094186283043,[0.97307332 0.97307332 0.97307332 ... 0.50198439 0.50198439 0.50198439],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
8,0,S.en,combinatoric,LGBMRegressor,0.1820078473223189,0.2402644513760347,[0.43256256 0.43256256 0.43256256 ... 0.26166538 0.26166538 0.26166538],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
9,0,S.au,combinatoric,LGBMRegressor,0.1223647761555598,0.1660974971369432,[0.97627116 0.97532182 0.97793039 ... 0.47609776 0.48440075 0.48440075],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
10,0,1167_x_E.ce,combinatoric,LGBMRegressor,0.1625799936614773,0.2094735162534447,[0.53659805 0.53659805 0.53659805 ... 0.95818404 0.95818404 0.95818404],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
11,0,1167_x_E.co,combinatoric,LGBMRegressor,0.2347249161677766,0.2811385199765804,[0.58695907 0.58695907 0.58695907 ... 0.62734543 0.62734543 0.62734543],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,0,1167_x_S.en,combinatoric,LGBMRegressor,0.2678624406616645,0.3562755333760549,[0.41152071 0.41152071 0.41152071 ... 0.33858446 0.33858446 0.33858446],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
1,0,1167_x_S.au,combinatoric,LGBMRegressor,0.1672233705651937,0.2140518500047749,[0.91182812 0.93162427 0.91484387 ... 0.50963763 0.50602535 0.50602535],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224
2,0,1202_x_E.ce,combinatoric,LGBMRegressor,0.1295662582689419,0.1980234993590717,[0.57088399 0.57088399 0.57088399 ... 0.67364219 0.67364219 0.67364219],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296
3,0,1202_x_E.co,combinatoric,LGBMRegressor,0.198806507215202,0.2404123251331586,[0.72368832 0.72368832 0.72368832 ... 0.63563429 0.63563429 0.63563429],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]",1296
4,0,1202_x_S.en,combinatoric,LGBMRegressor,0.2904793379812267,0.3568749572023306,[0.37618853 0.37618853 0.37618853 ... 0.58328783 0.58328783 0.58328783],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]",1296
5,0,1202_x_S.au,combinatoric,LGBMRegressor,0.1590897094260127,0.1923562064944023,[0.94762429 0.9399901  0.94707592 ... 0.58179264 0.59645878 0.59645878],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",1224
6,0,1218_x_E.ce,combinatoric,LGBMRegressor,0.1219699053437656,0.1655459978982122,[0.91575919 0.91575919 0.91575919 ... 0.50489496 0.50489496 0.50489496],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.70814178]
 [0.49685288]
 [0.70814178]]",1296
7,0,1218_x_E.co,combinatoric,LGBMRegressor,0.2555607313965427,0.3255595764186033,[0.77545526 0.77545526 0.77545526 ... 0.79748594 0.79748594 0.79748594],"[[0.39638506]
 [0.39638506]
 [0.31444566]
 ...
 [0.4988302 ]
 [0.21605889]
 [0.21605889]]",1296
8,0,1218_x_S.en,combinatoric,LGBMRegressor,0.2326851143238896,0.285827102868799,[0.42840934 0.42840934 0.42840934 ... 0.68460493 0.68460493 0.68460493],"[[0.26105455]
 [0.39324875]
 [0.05213942]
 ...
 [0.43190293]
 [0.07405875]
 [0.07405875]]",1296
9,0,1218_x_S.au,combinatoric,LGBMRegressor,0.0990438959663152,0.130642083139148,[0.92600273 0.92859701 0.92503529 ... 0.53696774 0.54138506 0.54138506],"[[0.94207013]
 [0.94207013]
 [0.9439279 ]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",1224
10,0,1219_x_E.ce,combinatoric,LGBMRegressor,0.1515858027005964,0.1986701539352045,[0.49436038 0.49436038 0.49436038 ... 0.95338585 0.95338585 0.95338585],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.70538468]
 [0.70538468]
 [0.70538468]]",1296
11,0,1219_x_E.co,combinatoric,LGBMRegressor,0.1885838295062095,0.2439967417526567,[0.56971396 0.56971396 0.56971396 ... 0.72406974 0.72406974 0.72406974],"[[0.39525584]
 [0.43337528]
 [0.43337528]
 ...
 [0.40858063]
 [0.16723032]
 [0.40858063]]",1296
0,0,1219_x_S.en,combinatoric,LGBMRegressor,0.2324069657107774,0.3407508816229662,[0.41642606 0.41642606 0.41642606 ... 0.35738949 0.35738949 0.35738949],"[[0.20122971]
 [0.56709756]
 [0.20122971]
 ...
 [0.56174631]
 [0.56174631]
 [0.37172853]]",1296
1,0,1219_x_S.au,combinatoric,LGBMRegressor,0.0766235662814468,0.1040469663171134,[0.91834877 0.94317913 0.91556171 ... 0.57257698 0.61959231 0.61959231],"[[0.94551738]
 [0.92080653]
 [0.94551738]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",1224
2,0,1234_x_E.ce,combinatoric,LGBMRegressor,0.1395031870411554,0.1944340289999639,[0.70162089 0.70162089 0.70162089 ... 0.69359458 0.69341258 0.69341258],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.38589281]
 [0.38589281]
 [0.72069034]]",1296
3,0,1234_x_E.co,combinatoric,LGBMRegressor,0.2953222584094058,0.376188362798016,[0.75313076 0.75313076 0.75313076 ... 0.74996949 0.74996949 0.74996949],"[[0.37533383]
 [0.42029501]
 [0.37533383]
 ...
 [0.23941059]
 [0.23941059]
 [0.20836221]]",1296
4,0,1234_x_S.en,combinatoric,LGBMRegressor,0.4237803182714034,0.5033270462538924,[0.42000197 0.42000197 0.42000197 ... 0.50601415 0.50601415 0.50601415],"[[0.27277721]
 [0.51424479]
 [0.27277721]
 ...
 [0.        ]
 [0.        ]
 [0.        ]]",1296
5,0,1234_x_S.au,combinatoric,LGBMRegressor,0.187113832938972,0.2591722627783536,[0.94564301 0.93995512 0.94149628 ... 0.51365792 0.52927361 0.52927361],"[[0.80384281]
 [0.90118178]
 [0.9146671 ]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",1224
6,0,1273_x_E.ce,combinatoric,LGBMRegressor,0.1311901156169007,0.1691590513151234,[0.5679509  0.5679509  0.5679509  ... 0.77816623 0.77816623 0.77816623],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.97210151]
 [0.88825073]
 [0.91438627]]",1296
7,0,1273_x_E.co,combinatoric,LGBMRegressor,0.1425751582729273,0.1779483260767636,[0.57840474 0.57840474 0.57840474 ... 0.78330655 0.78330655 0.78330655],"[[0.44415041]
 [0.44415041]
 [0.36530147]
 ...
 [0.76102029]
 [0.62563646]
 [0.76102029]]",1296
8,0,1273_x_S.en,combinatoric,LGBMRegressor,0.150327628251837,0.2306314592381085,[0.4077357  0.4077357  0.4077357  ... 0.67239624 0.67239624 0.67239624],"[[0.50859862]
 [0.44532886]
 [0.45565884]
 ...
 [0.23763899]
 [0.94403186]
 [0.98775245]]",1296
9,0,1273_x_S.au,combinatoric,LGBMRegressor,0.2189385796955253,0.2729374755021316,[0.92641232 0.94517688 0.92662316 ... 0.58467071 0.60917092 0.60917092],"[[0.60095033]
 [0.93156845]
 [0.93156845]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",1224
10,0,1298_x_E.ce,combinatoric,LGBMRegressor,0.1090742477427135,0.1321818384802193,[0.79986873 0.79986873 0.79986873 ... 0.61029644 0.61029644 0.61029644],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.69860234]
 [0.53338386]
 [0.72556523]]",1296
11,0,1298_x_E.co,combinatoric,LGBMRegressor,0.2093389021551254,0.2577220540630924,[0.63020525 0.63020525 0.63020525 ... 0.68517904 0.68517904 0.68517904],"[[0.51022149]
 [0.38337098]
 [0.51022149]
 ...
 [0.336191  ]
 [0.28267304]
 [0.336191  ]]",1296
0,0,1298_x_S.en,combinatoric,LGBMRegressor,0.1671162253378361,0.1982998812285551,[0.384697   0.384697   0.384697   ... 0.43689838 0.43689838 0.43689838],"[[0.31917066]
 [0.31917066]
 [0.52796393]
 ...
 [0.21471827]
 [0.21471827]
 [0.29892466]]",1296
1,0,1298_x_S.au,combinatoric,LGBMRegressor,0.1188353511715787,0.1500605693880567,[0.9589338  0.9650299  0.95641825 ... 0.54147398 0.53444757 0.53444757],"[[0.75748653]
 [0.75748653]
 [0.75748653]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",1224
2,0,1339_x_E.ce,combinatoric,LGBMRegressor,0.2068627519920678,0.2883325383388656,[0.79587663 0.79587663 0.79587663 ... 0.57385888 0.57385888 0.57385888],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",1296
3,0,1339_x_E.co,combinatoric,LGBMRegressor,0.3058178543766495,0.3776851147884283,[0.83677996 0.83677996 0.83677996 ... 0.63970705 0.63970705 0.63970705],"[[0.31664838]
 [0.31664838]
 [0.39582572]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",1296
4,0,1339_x_S.en,combinatoric,LGBMRegressor,0.1518451069679671,0.2077470754825403,[0.4246138  0.4246138  0.4246138  ... 0.39408048 0.39408048 0.39408048],"[[0.49677968]
 [0.49677968]
 [0.34892035]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",1296
