,Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
0,1167,combinatoric,LGBMRegressor,0.2508472626308314,0.13074506937320932,0.31440204831783436,0.17869135048497553,0.33260955198770775,-0.8654661813499167,[0.5617925  0.56777843 0.56224553 ... 0.75069433 0.7640194  0.75580315],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,LGBMRegressor,0.15489399239873003,0.15285261518691623,0.5329299427278307,1.801408789876248,0.20772103964749053,0.28427254938455526,[0.71870945 0.71142944 0.7415389  ... 0.66417002 0.64781138 0.64580552],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,LGBMRegressor,0.15572958332279413,0.14463090537710743,0.9258693719184158,2.2293130131754775,0.2345220537862538,0.2600935088833012,[0.59978611 0.61736331 0.63415751 ... 0.77336211 0.72149572 0.71180317],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,LGBMRegressor,0.1386167631004585,0.14286089437030947,84721725620813.75,110.61367298817245,0.2012627760318257,0.36746148734329964,[0.66908172 0.67223903 0.6474187  ... 0.54038086 0.5208193  0.50810078],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,LGBMRegressor,0.248782635834965,0.15935946576831073,85594914984376.38,96.67711718955924,0.35899343934360933,-0.606865979244473,[0.60618013 0.58746659 0.59733671 ... 0.65175968 0.66726834 0.66703873],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,LGBMRegressor,0.16404403640893195,0.12983138161683386,0.24365532603505985,0.24154831052564876,0.24467753395909836,-0.12406885003613732,[0.60205068 0.59807985 0.60498014 ... 0.65668667 0.64284067 0.66118837],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,LGBMRegressor,0.13816250322604,0.12950747106702443,0.33830048738512764,0.33756131931628347,0.18454178994259463,0.35447291895123245,[0.55858543 0.55505426 0.54527062 ... 0.61419175 0.57303492 0.5712809 ],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,LGBMRegressor,0.26225132843888577,0.20728721603908845,1.1241451115113363,1.7381782503152263,0.3398991532098862,-0.4726417980781241,[0.7910343  0.79982654 0.88739493 ... 0.61775447 0.66907753 0.64742367],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,LGBMRegressor,0.12344783435532394,0.10471932434589419,0.15903678458934675,0.35518596441279165,0.16379984522691016,0.46262405723447775,[0.72692127 0.705861   0.705861   ... 0.72588392 0.71895449 0.71594539],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,LGBMRegressor,0.13755599151221817,0.1429845365500123,0.17777011052066027,0.5726903102064845,0.18143056168566593,0.2426172683190937,[0.84105741 0.83154563 0.83154563 ... 0.81922347 0.82743534 0.82743534],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
0,12001,combinatoric,LGBMRegressor,0.12183764167876826,0.12021756953318213,0.2015960540540395,0.889802450720499,0.16725309550080517,0.3245704256968249,[0.75599474 0.7572652  0.75720743 ... 0.7957109  0.7916032  0.79305735],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
0,12048,combinatoric,LGBMRegressor,0.14625122318245917,0.12096714485899762,0.34817503717785814,2.153152802016892,0.2037755107459501,0.31184069288395055,[0.7275138  0.71757481 0.71757481 ... 0.70258837 0.68931836 0.70234556],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,12701,combinatoric,LGBMRegressor,0.1674877584144814,0.135657843041244,0.5012174187692917,0.9414470624318757,0.23768667108805927,0.11259598005567262,[0.71413572 0.70456759 0.70456759 ... 0.93363784 0.93718176 0.9280141 ],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
0,12832,combinatoric,LGBMRegressor,0.11778727852961397,0.16510260045206687,0.30663612125183637,1.0129674581660337,0.16759738135573315,0.505936456431187,[0.78174246 0.77200015 0.77552895 ... 0.85002614 0.8562226  0.8568673 ],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
0,B1,combinatoric,LGBMRegressor,0.12549658302845748,0.1759399860492905,0.17574496106473025,0.47928997800608286,0.18384051147005312,0.21420686981118808,[0.87822005 0.88322963 0.87990433 ... 0.899837   0.65389869 0.64563752],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
0,B8,combinatoric,LGBMRegressor,0.16974707757506097,0.16175281559119442,44911931300363.68,78.12847801720973,0.22692355237741366,0.18489397061283586,[0.49165485 0.4841013  0.56211828 ... 0.69182777 0.6710332  0.76622737],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
0,B18,combinatoric,LGBMRegressor,0.15897266966024337,0.11897439943297879,0.3954819751855503,0.39289544779494223,0.22639637802273138,0.07559524301123766,[0.59568427 0.59593544 0.59593544 ... 0.76382885 0.5897118  0.84614473],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
0,C5,combinatoric,LGBMRegressor,0.12758586105743752,0.12509862332382987,0.2815075421455835,0.4271071830324543,0.1764225031244172,0.32975581261354103,[0.63178583 0.62129117 0.63251724 ... 0.58741165 0.5762144  0.60188969],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
0,E.ce,combinatoric,LGBMRegressor,0.10253836850302404,0.13925216937258084,0.16791367868152848,0.5934007794095156,0.1384173203253984,0.47163443967307594,[0.87179874 0.86322004 0.86322004 ... 0.45079608 0.47874969 0.44450967],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
0,E.co,combinatoric,LGBMRegressor,0.18174250119038393,0.2585286902182775,0.5175720961957229,1.439564717623117,0.24374233372172693,0.27093675427936226,[0.90864323 0.90746312 0.90864323 ... 0.37566577 0.38030144 0.38290946],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
0,S.en,combinatoric,LGBMRegressor,0.190499111092329,0.15757062914700282,39158284733961.22,55.188351731762495,0.24817714113217587,0.0828463165104959,[0.44580342 0.43882128 0.44580342 ... 0.18190419 0.19518589 0.2037796 ],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
0,S.au,combinatoric,LGBMRegressor,0.13006516891036377,0.20172138067864148,0.18897828292980565,0.5264256992672254,0.17794337598747204,0.24219689969769376,[0.98894259 0.96374083 0.98956851 ... 0.44911864 0.49574619 0.49574619],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
0,1167_x_E.ce,combinatoric,LGBMRegressor,0.09110657011857592,0.1401471703332358,0.11820617430395258,0.12415843479464561,0.10598926915682777,0.5622852871303676,[0.51158632 0.51285424 0.51036389 ... 0.880259   0.87804215 0.88006058],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
0,1167_x_E.co,combinatoric,LGBMRegressor,0.118773989281093,0.1940167958240668,0.19945389391010987,0.10176707772604286,0.14216339166694927,0.7878820492344843,[0.4397963  0.44352595 0.44076371 ... 0.74068574 0.73704557 0.73822318],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,1167_x_S.en,combinatoric,LGBMRegressor,0.25330743865206623,0.2249500268384318,0.29611371819620647,0.18610308486596805,0.2774782581473133,-0.3076951475699694,[0.36103647 0.36027064 0.35230898 ... 0.6702793  0.69345665 0.6629702 ],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
