,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2760399132030953,0.305916203592551,[0.63967419 0.64175567 0.63954729 ... 0.68845823 0.67614165 0.67614165],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.199512076440004,0.2323722441441952,[0.80548523 0.80548523 0.80597292 ... 0.69529248 0.67554306 0.68272998],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.2139801255091099,0.258525146936534,[0.67234792 0.67234792 0.67255234 ... 0.79969548 0.77742566 0.78044872],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.2174858249604803,0.25682065866459,[0.66243147 0.66701705 0.66521988 ... 0.69425301 0.69875606 0.69587794],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2633870951078612,0.317430439453206,[0.85486952 0.85486952 0.85486952 ... 0.69545014 0.69527096 0.69838837],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.211488426154863,0.236857017292362,[0.7950159  0.79892817 0.80305256 ... 0.7574669  0.75848105 0.75848105],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.2122186704120597,0.2431281424486404,[0.76841356 0.76841356 0.76837384 ... 0.72151008 0.70879415 0.70915371],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2968171700638112,0.3391599178707217,[0.87099161 0.87099161 0.86318056 ... 0.7068708  0.68072416 0.69108969],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1491159585250596,0.1798414937011602,[0.87226224 0.85105312 0.85928231 ... 0.89527378 0.90941154 0.90941154],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.1632154944149134,0.1972273132262153,[0.9171664  0.91727777 0.92000807 ... 0.85868515 0.86907265 0.86740647],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
