,Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
0,1167,combinatoric,LGBMRegressor,0.21560080702509257,0.14579969958203376,0.27904986567297574,0.16828489884949138,0.2839956162403412,-0.36000723366396303,[0.53726451 0.53587287 0.54501165 ... 0.74843604 0.7327058  0.72629453],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,LGBMRegressor,0.15773501317899227,0.18157860828388153,0.5218756586664866,1.9940284267343535,0.2135347239648013,0.2436484261569153,[0.78612098 0.78001918 0.78022578 ... 0.74545888 0.7657475  0.75932106],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,LGBMRegressor,0.1415787034392786,0.1604608228314486,0.8364235403535738,2.480516381970385,0.20869704176637927,0.41407497673006666,[0.65739877 0.65060553 0.65041857 ... 0.73758595 0.73412143 0.73366427],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,LGBMRegressor,0.1256561556458091,0.15690778937915034,89756363402517.5,85.72719084582774,0.19264474510646015,0.42047204551260786,[0.51852496 0.51930435 0.52438665 ... 0.66428574 0.66924858 0.66552982],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,LGBMRegressor,0.2511297868137991,0.17030084418682065,92573399148408.86,103.61846936940515,0.3655418714285507,-0.6660226215739242,[0.6497149  0.64134622 0.6368539  ... 0.57198662 0.56463261 0.56484731],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,LGBMRegressor,0.15556795309417276,0.09719031112934112,0.22548171728077757,0.28388437058199606,0.2235095044481148,0.06201322573718748,[0.66267676 0.66314213 0.66314213 ... 0.65964191 0.66373672 0.65655277],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,LGBMRegressor,0.13148553181103065,0.1373895292000046,0.3208856407825599,0.321096958292255,0.18059272367348453,0.3818049758692028,[0.5411796  0.53695532 0.53695532 ... 0.47961532 0.47574363 0.47337335],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,LGBMRegressor,0.21313818598488254,0.2616382654391092,0.8754882006340448,1.9975606287474497,0.2845258667725021,-0.031906784305886005,[0.88915282 0.88902455 0.89069512 ... 0.58002842 0.58155082 0.56973293],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,LGBMRegressor,0.11347214988703734,0.10669141749191996,0.14517267904970155,0.3647612130807623,0.14728971611457536,0.5654936816022569,[0.73449829 0.72091715 0.71673701 ... 0.81344035 0.81209913 0.8105857 ],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,LGBMRegressor,0.10150074738036768,0.181021762669107,0.13783301862924127,0.6657309722974232,0.13788412023437116,0.562555446400346,[0.91857197 0.91085    0.91085    ... 0.8697929  0.88592603 0.88512324],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
