,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2140659854770243,0.2685071746215633,[0.47758117 0.47758117 0.47758117 ... 0.39687879 0.39687879 0.39687879],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.2315010201520602,0.2958074216460921,[0.6796904  0.6796904  0.6796904  ... 0.30326771 0.30326771 0.30326771],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1775227690820196,0.2374473456799649,[0.56459822 0.56459822 0.56459822 ... 0.40710647 0.40710647 0.40710647],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1561415422233165,0.2268568468561087,[0.45559196 0.45559196 0.45559196 ... 0.71802329 0.71802329 0.71802329],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.264739591597263,0.3680913735602133,[0.65146358 0.65146358 0.65146358 ... 0.5334934  0.5334934  0.5334934 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1687563610045967,0.2375349068762876,[0.55896922 0.55896922 0.55896922 ... 0.45473974 0.45473974 0.45473974],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.145305135817421,0.183903183517879,[0.53293492 0.53293492 0.53293492 ... 0.50886661 0.50886661 0.50886661],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2183129336000673,0.2874590729121062,[0.79173005 0.79173005 0.79173005 ... 0.44996165 0.44996165 0.44996165],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1132237746173455,0.1457065257238064,[0.86923781 0.82129832 0.87255345 ... 0.92696469 0.87055317 0.88826387],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0989183474089996,0.1310110914778623,[0.81199902 0.80638636 0.80246867 ... 0.84403591 0.83653878 0.82443044],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1237315913996043,0.1609963593922495,[0.7179244  0.7184239  0.72301995 ... 0.92587004 0.91675568 0.90926129],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1126051759586569,0.1504205523060342,[0.57882844 0.6418706  0.5763997  ... 0.73491029 0.77810851 0.73309729],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.182353586645341,0.2523271099871989,[0.67992029 0.67430253 0.70633226 ... 0.87485588 0.90692293 0.85480452],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1232770608124998,0.1795949598287262,[0.85227193 0.84145195 0.85111474 ... 0.93932133 0.95081071 0.94215568],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.14064392684068,0.1770173455014493,[0.52551495 0.52551495 0.52551495 ... 0.59030161 0.59030161 0.59030161],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.2204572797455144,0.2701543516568294,[0.52864169 0.52864169 0.52864169 ... 0.52822351 0.52822351 0.52822351],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
