,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.1950916909155894,0.2388911008973781,[0.68837467 0.68555278 0.69789232 ... 0.7408268  0.74084599 0.74036137],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1529589536398073,0.19634664830468,[0.69628782 0.69219401 0.70536886 ... 0.73721564 0.7368148  0.73985349],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1425798237393516,0.2084247515809703,[0.69239441 0.69305716 0.69597311 ... 0.73184378 0.73280956 0.73184595],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.171754221643559,0.227299071688858,[0.70200894 0.70159805 0.70864683 ... 0.73902483 0.73996728 0.74038513],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2103278416493557,0.296044907826159,[0.69202993 0.68773642 0.70004124 ... 0.73285925 0.73487892 0.73796809],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1423127898909216,0.1782932960903912,[0.69004221 0.68920485 0.69692663 ... 0.72336    0.72357593 0.72088484],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1612086512145459,0.2016342400245378,[0.697099   0.69648008 0.70437511 ... 0.74119133 0.74232972 0.74173626],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.25293598705311,0.3202429415182798,[0.70031077 0.69340914 0.70205875 ... 0.74532401 0.7476046  0.74709803],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1549998902829857,0.186706015302117,[0.66493513 0.66796546 0.67637536 ... 0.70993391 0.7069648  0.70523939],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.1498658273254121,0.1875144507328281,[0.67691748 0.67232852 0.68566306 ... 0.71342972 0.71453553 0.71290876],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
