,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2077395372997767,0.2589325780819456,[0.48272938 0.48272938 0.48272938 ... 0.52201462 0.52201462 0.52201462],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1901178520876565,0.251813401361912,[0.51571022 0.51571022 0.51571022 ... 0.54787884 0.54787884 0.54787884],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1722301371387764,0.2235744822437199,[0.53275658 0.53275658 0.53275658 ... 0.56945581 0.56945581 0.56945581],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.140607900612288,0.2092412146734476,[0.45559123 0.45559123 0.45559123 ... 0.48284333 0.48284333 0.48284333],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2378676215298328,0.3388290067742301,[0.57880734 0.57880734 0.57880734 ... 0.46651999 0.46651999 0.46651999],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1581936779873999,0.2329538221010449,[0.50841559 0.50841559 0.50841559 ... 0.48383965 0.48383965 0.48383965],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1308891678250048,0.1722478261156895,[0.47986931 0.47986931 0.47986931 ... 0.43092536 0.43092536 0.43092536],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2051254150939032,0.2661841872316445,[0.63514832 0.63514832 0.63514832 ... 0.51097498 0.51097498 0.51097498],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1880887045715139,0.2305695375930496,[0.60395522 0.60395522 0.60395522 ... 0.59857829 0.59857829 0.59857829],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.1534279562653212,0.1895953815051608,[0.63457485 0.63457485 0.63457485 ... 0.58565531 0.58565531 0.58565531],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
