,Unnamed: 0.1,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,0,1167,combinatoric,LGBMRegressor,0.2174047534434961,0.2794474587244588,[0.53826515 0.53826515 0.53826515 ... 0.64477312 0.64716022 0.64716022],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,1,0,1202,combinatoric,LGBMRegressor,0.1596354755711874,0.212776270860775,[0.74426765 0.74426765 0.74426765 ... 0.63569452 0.6167495  0.6167495 ],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,2,0,1218,combinatoric,LGBMRegressor,0.134063964196222,0.1903170669879686,[0.70073068 0.69665868 0.7045285  ... 0.62572338 0.63626577 0.63626577],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,3,0,1219,combinatoric,LGBMRegressor,0.1226700271305128,0.1893131571957871,[0.55605273 0.55605273 0.55605273 ... 0.54902569 0.55664359 0.55664359],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,4,0,1234,combinatoric,LGBMRegressor,0.2470369417643887,0.3565069925942271,[0.77515184 0.77515184 0.77515184 ... 0.50977816 0.51034346 0.51034346],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,5,0,1273,combinatoric,LGBMRegressor,0.1362435185872724,0.1973267535822311,[0.64874248 0.64874248 0.65483392 ... 0.57647117 0.55971444 0.55971444],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,6,0,1298,combinatoric,LGBMRegressor,0.1295842592289604,0.1702178365135312,[0.5854282  0.5854282  0.5854282  ... 0.54191744 0.55053639 0.55053639],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,7,0,1339,combinatoric,LGBMRegressor,0.1994148824819988,0.2632749903317179,[0.78796321 0.78502629 0.78796321 ... 0.56400272 0.57233757 0.57233757],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,8,0,11285,combinatoric,LGBMRegressor,0.1042137210726637,0.1293896260162902,[0.71272087 0.70487426 0.73887005 ... 0.83692005 0.85422532 0.85422532],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,9,0,11457,combinatoric,LGBMRegressor,0.0943838824506596,0.1257160784273852,[0.85926401 0.85926401 0.86095472 ... 0.79267367 0.80539397 0.80539397],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
