,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2270848679866248,0.2928652459690919,[0.54209989 0.54209989 0.53842388 ... 0.61940956 0.65003209 0.65003209],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1628507918021121,0.2175468295348882,[0.67633285 0.67633285 0.67633285 ... 0.72046951 0.70947293 0.70947293],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1285456575231671,0.1833243726948472,[0.65667295 0.65667295 0.65667295 ... 0.65562931 0.66903805 0.66903805],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1299820710395658,0.1970949790830512,[0.51586478 0.51586478 0.51586478 ... 0.7178358  0.71282534 0.71282534],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2384823972489235,0.3478421520901941,[0.77041555 0.77041555 0.77041555 ... 0.57262805 0.57186094 0.57186094],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1328497250468329,0.1986948035998476,[0.63802926 0.63802926 0.65818099 ... 0.57210274 0.57417953 0.57417953],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1356509489649254,0.1826374965147086,[0.61269741 0.61269741 0.61269741 ... 0.55279191 0.53843739 0.53843739],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.1967397010259496,0.2584878039246234,[0.83747578 0.83747578 0.83747578 ... 0.55392236 0.55965628 0.55965628],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1012718951831553,0.1272436907011331,[0.84620655 0.84593864 0.85427046 ... 0.78281548 0.78812894 0.77945197],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0931198370703842,0.1221032743665995,[0.89156174 0.89237614 0.89156174 ... 0.81908241 0.82761356 0.82738696],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1145252432140164,0.158300573233036,[0.78534927 0.78534927 0.78691712 ... 0.89836618 0.88326614 0.88432884],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1043122153728522,0.1369102936338121,[0.67641705 0.6667252  0.6823728  ... 0.76388518 0.76600461 0.76600461],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1792477629156973,0.2516674192081025,[0.63426172 0.62795957 0.63847907 ... 0.84124725 0.87085045 0.86582729],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1155081445417286,0.1692002134483205,[0.82562792 0.82562792 0.82562792 ... 0.88945152 0.90793544 0.90436537],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1050631281070614,0.1493116437651408,[0.73461913 0.73461913 0.74131826 ... 0.83453355 0.82622096 0.82622096],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.1553583165086792,0.2108583890504143,[0.67248875 0.67248875 0.67978705 ... 0.65660895 0.67169987 0.67316993],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
