,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2295010989170121,0.2995742226419718,[0.52329913 0.52215017 0.52110131 ... 0.59345944 0.61472626 0.61472626],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1584318871135363,0.215642565161778,[0.64412628 0.64412628 0.64412628 ... 0.65971142 0.65826098 0.65826098],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1395632727209171,0.201550633505948,[0.70364742 0.70364742 0.70364742 ... 0.70242679 0.69121095 0.69121095],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1229424058182264,0.1895670488844219,[0.52093782 0.52093782 0.52542714 ... 0.5762415  0.57256596 0.57256596],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.227930831952685,0.3289502986705016,[0.7959242  0.7959242  0.7959242  ... 0.59919744 0.61079303 0.6121997 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1370184227082349,0.206369285435547,[0.62344219 0.62344219 0.62344219 ... 0.58908785 0.59127982 0.59127982],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1251260813923047,0.1650483214278086,[0.61993423 0.61993423 0.61993423 ... 0.50586525 0.50266125 0.50266125],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2216001400239965,0.2929184924774506,[0.82893891 0.82595621 0.82893891 ... 0.58191742 0.574504   0.574504  ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.113849232810327,0.1453608279658758,[0.81730339 0.81761639 0.81784952 ... 0.76910133 0.80336603 0.80336603],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.1006063838538952,0.1349533558347122,[0.8889874  0.8889874  0.89266966 ... 0.72993841 0.74010975 0.73503518],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1145023919274369,0.1616397490485299,[0.80162585 0.80162585 0.80162585 ... 0.87823512 0.90264887 0.90376018],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1097547296887307,0.1451975934333255,[0.72353794 0.72353794 0.72353794 ... 0.75833512 0.76261254 0.76261254],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1627161359427008,0.2266702301951794,[0.72623101 0.72623101 0.72623101 ... 0.85228139 0.88322893 0.87723182],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1165990856730388,0.1689749828161904,[0.83877971 0.83857506 0.84562666 ... 0.89600056 0.89530068 0.89530068],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1027028967094066,0.1442116884911021,[0.75545796 0.75545796 0.75659148 ... 0.79846334 0.79316103 0.79316103],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.1529778728582612,0.2094808092386245,[0.66739834 0.66739834 0.66680107 ... 0.66382179 0.66713151 0.66713151],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
4,0,B18,combinatoric,LGBMRegressor,0.1466522044374979,0.2064470478869965,[0.62503833 0.62503833 0.62503833 ... 0.61580621 0.63947076 0.63947076],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
5,0,C5,combinatoric,LGBMRegressor,0.1196898374248485,0.1603351093704677,[0.64237199 0.64237199 0.64237199 ... 0.74314102 0.71054355 0.71093424],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
6,0,E.ce,combinatoric,LGBMRegressor,0.1025495092759036,0.1435908953807945,[0.91318297 0.91318297 0.91318297 ... 0.39525229 0.39525229 0.39525229],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
7,0,E.co,combinatoric,LGBMRegressor,0.177188463270557,0.2413485175281352,[0.94891941 0.94891941 0.94891941 ... 0.3774302  0.3774302  0.3774302 ],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
8,0,S.en,combinatoric,LGBMRegressor,0.1813088570332412,0.2373609028264801,[0.45121323 0.45121323 0.45121323 ... 0.18354204 0.18354204 0.18354204],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
