,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2170967657514621,0.2841574745010977,[0.50605253 0.50605253 0.50035745 ... 0.59114954 0.61778873 0.61778873],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1570311051806766,0.2110608431771857,[0.75891709 0.75891709 0.75891709 ... 0.68965022 0.66349499 0.66349499],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1344324710428198,0.1900152251016146,[0.77292578 0.77292578 0.77292578 ... 0.62188865 0.62144733 0.62369657],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1287039014282061,0.1963772558494916,[0.49651012 0.49651012 0.49651012 ... 0.66367878 0.68098113 0.68098113],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.239840535002197,0.3437464193023785,[0.78148303 0.78148303 0.78148303 ... 0.50915066 0.52360103 0.51044944],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1326180218281927,0.2000671205409207,[0.64532293 0.64675695 0.66318766 ... 0.58169793 0.56777766 0.56777766],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.132354120334467,0.177381735892623,[0.58244266 0.58244266 0.58244266 ... 0.55041763 0.54107213 0.54107213],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.1906924922183555,0.2516517983155036,[0.78745937 0.77359356 0.78599572 ... 0.61151772 0.62242346 0.62242346],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.0993908634100197,0.1235802201557105,[0.79322452 0.79551798 0.82957601 ... 0.81168371 0.8322768  0.82058189],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0933646474050647,0.1236013134038688,[0.89919169 0.89919169 0.89919169 ... 0.79243488 0.80591944 0.80591944],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
