,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2203671376622702,0.2850419652930074,[0.54556922 0.54556922 0.54274611 ... 0.58368738 0.58932189 0.58932189],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.157780658130065,0.2111552381355291,[0.66177818 0.66177818 0.66177818 ... 0.69678867 0.67746846 0.67746846],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1316453957551754,0.1885324890411321,[0.68893757 0.67716036 0.68893757 ... 0.66487295 0.68568914 0.68568914],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1253163914100072,0.1927332048497499,[0.52831344 0.52831344 0.52831344 ... 0.58495359 0.59566495 0.59566495],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2350299267198191,0.3428226758575383,[0.74509032 0.74509032 0.74509032 ... 0.52507623 0.52102128 0.52102128],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1290310100406293,0.194301515172106,[0.63995244 0.63995244 0.64520583 ... 0.57254709 0.57744484 0.57744484],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1322693456824059,0.1732434603813661,[0.60115409 0.58923618 0.60115409 ... 0.54242983 0.5384299  0.5384299 ],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2022646053479993,0.2668057720688807,[0.81404462 0.81404462 0.81404462 ... 0.54426819 0.54560777 0.54644424],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1018450675709189,0.1290283520505056,[0.74347566 0.73098694 0.76957173 ... 0.82945093 0.83602755 0.82942662],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0937029620439988,0.1245608933992131,[0.86393227 0.87125247 0.86877547 ... 0.76349558 0.76849762 0.76849762],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1084583647581496,0.1527823807114944,[0.83518846 0.83272393 0.82282412 ... 0.86430811 0.892722   0.892722  ],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1014092318742011,0.1324971341341037,[0.70765758 0.70997658 0.71367499 ... 0.77680551 0.79449175 0.79449175],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
