,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2244004692089392,0.2882311416522509,[0.5372643  0.5372643  0.53562668 ... 0.65024929 0.65573748 0.65573748],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1588331073280122,0.2138226378550142,[0.77106718 0.76247617 0.77106718 ... 0.57843802 0.56344275 0.56344275],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1351172167509931,0.1939006449267258,[0.63561491 0.63561491 0.63561491 ... 0.67794812 0.69779745 0.69210884],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1267638575145633,0.1931750381692457,[0.52192987 0.52192987 0.52192987 ... 0.57672866 0.60016742 0.60016742],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.2386130628903748,0.3450711408497433,[0.74127105 0.74127105 0.74127105 ... 0.53953886 0.52415943 0.52415943],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1393962906128998,0.2113555062032555,[0.73823215 0.73823215 0.73823215 ... 0.58940325 0.60508171 0.60893913],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.123292302974631,0.1582841774003231,[0.61315052 0.61315052 0.61315052 ... 0.59156421 0.58392656 0.58392656],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.2074257967528685,0.2729646570707889,[0.78631148 0.78631148 0.78612477 ... 0.57640144 0.57685403 0.57685403],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1038566383263576,0.1313792696420894,[0.7444673  0.73708007 0.75407397 ... 0.80247952 0.82705376 0.81832962],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0921917619149193,0.1229945532686463,[0.83123363 0.83123363 0.83338026 ... 0.80759129 0.82659404 0.82659404],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.108543861083818,0.1502359053665337,[0.75584706 0.75360312 0.75672846 ... 0.90065345 0.91597815 0.91261244],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1010466131953861,0.1328489073920114,[0.67249543 0.65732531 0.67249543 ... 0.73598922 0.75503522 0.75084743],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1785647101154482,0.253164355450087,[0.6160809  0.59468352 0.63466955 ... 0.84235933 0.90287061 0.87210226],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1174388400304595,0.1706183261808728,[0.82483208 0.82138245 0.82306643 ... 0.88213079 0.90139016 0.90139016],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1076106564054997,0.1516624520291126,[0.74730094 0.74730094 0.74730094 ... 0.76582114 0.74716381 0.74716381],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.154033992329254,0.2100771744567324,[0.67267646 0.67267646 0.6773599  ... 0.67602834 0.67279803 0.6744537 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
4,0,B18,combinatoric,LGBMRegressor,0.142825886879099,0.2009117598312996,[0.590219   0.590219   0.58422123 ... 0.6267361  0.65643105 0.65643105],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
5,0,C5,combinatoric,LGBMRegressor,0.1143551793545386,0.1530312015914613,[0.65158203 0.65158203 0.64353524 ... 0.73776443 0.73278045 0.72950494],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
6,0,E.ce,combinatoric,LGBMRegressor,0.1017206993788248,0.1421275253021827,[0.95459996 0.95459996 0.95459996 ... 0.56166071 0.56166071 0.56166071],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
7,0,E.co,combinatoric,LGBMRegressor,0.186189549261874,0.2498228953811817,[0.9902982 0.9902982 0.9902982 ... 0.5404157 0.5404157 0.5404157],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
8,0,S.en,combinatoric,LGBMRegressor,0.1805006080991335,0.2381794368026106,[0.44901795 0.44901795 0.44901795 ... 0.25590139 0.25590139 0.25590139],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
9,0,S.au,combinatoric,LGBMRegressor,0.119954395104888,0.1616694413730672,[0.98973513 0.98348539 0.99076866 ... 0.45997458 0.47441677 0.47441677],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
10,0,1167_x_E.ce,combinatoric,LGBMRegressor,0.1538528123136658,0.1962716606098967,[0.52185045 0.52185045 0.52185045 ... 0.78410326 0.78410326 0.78410326],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
11,0,1167_x_E.co,combinatoric,LGBMRegressor,0.2436224000019458,0.2925272290706299,[0.59481047 0.59481047 0.59481047 ... 0.5568032  0.5568032  0.5568032 ],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,0,1167_x_S.en,combinatoric,LGBMRegressor,0.268454759951465,0.3614247196418828,[0.42992495 0.42992495 0.42992495 ... 0.30887918 0.30887918 0.30887918],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
1,0,1167_x_S.au,combinatoric,LGBMRegressor,0.1747874653443276,0.2212173151855493,[0.91361647 0.91617319 0.9106389  ... 0.54018794 0.57397621 0.57397621],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224
2,0,1202_x_E.ce,combinatoric,LGBMRegressor,0.1268563535487076,0.1916558767634663,[0.54827694 0.54827694 0.54827694 ... 0.68576981 0.68576981 0.68576981],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296
