Permutation,Weighted RMSE,Weighted MAE,Unweighted RMSE,Unweighted MAE,Weighted Cross Mean
B_Biofilm_Density,0.0,0.0,0.0,0.0,0.0
B_Biofilm_Height,0.011528941901698876,0.010135447939365274,0.004973653274484963,0.004310349804342375,0.010832194920532074
B_Biofilm_Roughness,0.002219084520142604,0.001986788292172654,0.001359192624280388,0.001019506512647095,0.002102936406157629
B_Biofilm_SubstratumCoverage,0.008317074769356203,0.006561735862655015,0.0023106224977885734,0.0018195863886488496,0.0074394053160056085
B_Biofilm_Volume,0.014529377151862205,0.011821002120436965,0.002349533876632117,0.002056111247573677,0.013175189636149585
B_Fake_Score,0.0,0.0,0.0,0.0,0.0
Modele,0.07601644013896945,0.06894184726810021,0.06606732751945572,0.06239971161958464,0.07247914370353484
P_Biofilm_Density,0.0,0.0,0.0,0.0,0.0
P_Biofilm_Height,0.022876861894693113,0.018776239076446734,0.012497743574870364,0.010216528312287122,0.020826550485569924
P_Biofilm_SubstratumCoverage,0.0007243913368463847,0.0006693252904849826,0.0004571274566100118,0.00041882727091610843,0.0006968583136656836
P_Biofilm_Volume,0.002886032274687398,0.0019704992773517628,0.0017974832330907731,0.00114437438169369,0.0024282657760195804
P_Fake_Score,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_B_Biofilm_Roughness,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_B_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_P_Biofilm_Height,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Height_P_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Roughness_B_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Roughness_B_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Roughness_P_Biofilm_Height,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Roughness_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Roughness_P_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_SubstratumCoverage_B_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_SubstratumCoverage_P_Biofilm_Height,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_SubstratumCoverage_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_SubstratumCoverage_P_Biofilm_Volume,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Volume_P_Biofilm_Height,0.0,0.0,0.0,0.0,0.0
diff_B_Biofilm_Volume_P_Biofilm_SubstratumCoverage,0.0,0.0,0.0,0.0,0.0
