Removed,Weighted Cross Mean (RMSE and MAE),Unweighted Mean (RMSE and MAE)
(-) B_Biofilm_Height,0.16548414416837734,0.14896034075421236
(-) B_Biofilm_Roughness,0.1583362544231944,0.14113684353748354
(-) B_Biofilm_SubstratumCoverage,0.15822029890636652,0.14170864321394797
(-) B_Biofilm_Volume,0.16841427534715944,0.15296624340089465
(-) I,0.1576796133428332,0.14075028781307358
(-) II,0.15758208365042628,0.140721945325677
(-) III,0.15753723690156343,0.1406703916284794
(-) P_Biofilm_Height,0.1763376624586097,0.14909405581411836
(-) P_Biofilm_SubstratumCoverage,0.15723893497961633,0.14031994471969755
(-) P_Biofilm_Volume,0.15864113352846443,0.14228169441668995
