Permutation,Weighted diff_RMSE,Weighted diff_MAE,Weighted RMSE,Weighted MAE,Unweighted diff_RMSE,Unweighted diff_MAE,Weighted Cross Mean,Weighted diff Cross Mean
B_Biofilm_Density,0.0028418351641735155,0.003948439661827152,0.21038676316159474,0.159635104937201,0.00101196094664433,0.0019634068516334135,0.1850109340493979,0.003395137413000334
B_Biofilm_Height,0.0008955709461025318,0.001248497220781034,0.20844049894352384,0.15693516249615488,-3.910231500996382e-05,0.0003635204303086897,0.18268783071983935,0.001072034083441783
B_Biofilm_Roughness,0.0003691390800848485,0.000495782618877055,0.20791406707750612,0.1561824478942509,0.0001487489924978705,0.00022039607415127324,0.1820482574858785,0.0004324608494809518
B_Biofilm_SubstratumCoverage,0.0019461022497717657,0.002522513943464029,0.20949103024719304,0.15820917921883787,0.0003111222488066437,0.0010509819177876025,0.18385010473301544,0.0022343080966178972
B_Biofilm_Volume,0.00413486472307458,0.004512448249880413,0.2116797927204959,0.16019911352525426,0.00043022903118647735,0.0014613840916765867,0.18593945312287508,0.004323656486477496
B_Fake_Score,0.0014188378096487773,0.0021614118674240014,0.20896376580707007,0.1578480771427979,0.0007016420613695967,0.0012441236041089599,0.18340592147493398,0.0017901248385363893
Modele,0.07900793907797184,0.07075702287479535,0.2865528670753931,0.22644368815016916,0.06963385730666725,0.06492571830761802,0.25649827761278116,0.07488248097638359
P_Biofilm_Density,-1.821371882327754e-05,4.688449484623328e-05,0.207526714278598,0.15573354977022008,-0.00016495725900140824,-0.00010014926063153086,0.18163013202440903,1.433538801147787e-05
P_Biofilm_Height,0.019306166760264278,0.016645618539127466,0.22685109475768556,0.1723322838145013,0.010466406306843281,0.009134594734449185,0.19959168928609344,0.017975892649695874
P_Biofilm_Volume,0.000953871352006377,0.0009217092274134707,0.2084987993494277,0.15660837450278733,0.00017062886249355702,0.0002777347139388667,0.18255358692610751,0.0009377902897099238
P_Fake_Score,0.0003894678528851589,0.00042770203796010345,0.20793439585030646,0.15611436731333397,0.0001782833011861872,0.0003317861554061836,0.18202438158182022,0.00040858494542263116
diff_B_Biofilm_Height_B_Biofilm_Roughness,0.0010540714381846543,0.0009802618219816024,0.2085989994356059,0.15666692709735544,0.0007678937892133744,0.0006824003016176603,0.18263296326648065,0.0010171666300831284
diff_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.000428753517336749,0.0006962127595297048,0.20797368151475804,0.15638287803490356,-0.0002442825182039854,7.285496581497794e-05,0.1821782797748308,0.0005624831384332269
diff_B_Biofilm_Height_B_Biofilm_Volume,2.2952572156791502e-05,1.0625706576108323e-05,0.2075678805695781,0.15569729098194993,-4.789570712082813e-06,1.057877941354302e-07,0.18163258577576402,1.678913936644991e-05
diff_B_Biofilm_Height_P_Biofilm_Height,-5.9777919868114575e-05,4.286319568635424e-05,0.2074851500775532,0.1557295284710602,-3.141215055181852e-05,7.926546269153452e-05,0.1816073392743067,-8.457362090880168e-06
diff_B_Biofilm_Height_P_Biofilm_Volume,-4.4488380096468716e-05,-2.9774685999065644e-05,0.20750043961732478,0.1556568905893748,-7.138023760969258e-05,-5.6185116924847136e-05,0.1815786651033498,-3.713153304776718e-05
diff_B_Biofilm_Roughness_B_Biofilm_SubstratumCoverage,0.0005198433091497352,0.0006346020278627933,0.20806477130657106,0.15632126730323664,0.00038445008349596854,0.00047833565260563173,0.18219301930490384,0.0005772226685062643
diff_B_Biofilm_Roughness_B_Biofilm_Volume,3.2674096864380507e-06,4.05036411873356e-05,0.2075481954071077,0.1557271689165612,-1.2169548060153667e-05,2.6164961461519062e-05,0.18163768216183446,2.1885525436886825e-05
diff_B_Biofilm_Roughness_P_Biofilm_Height,0.0011056819210852468,0.0010514907039361383,0.2086506099185065,0.15673815597930998,0.00022509587272151495,0.00040009386649226625,0.18269438294890825,0.0010785863125106925
diff_B_Biofilm_Roughness_P_Biofilm_Volume,0.00025834348004942796,0.0002035907549386421,0.20780327147747069,0.15589025603031245,0.0001596103636803933,0.00011235567563162822,0.18184676375389158,0.00023096711749403504
diff_B_Biofilm_SubstratumCoverage_B_Biofilm_Volume,-3.0528905361702576e-07,-6.316602152724956e-08,0.20754462270836768,0.1556866021093523,-5.393764913786084e-08,-1.8341289447475176e-08,0.18161561240885998,-1.8422753757213766e-07
diff_B_Biofilm_SubstratumCoverage_P_Biofilm_Height,5.5099492060173676e-05,2.815085606966374e-05,0.20760002748948148,0.15571481613144353,2.511228550451218e-05,1.6461076856838538e-05,0.18165742181046252,4.162517406491871e-05
diff_B_Biofilm_SubstratumCoverage_P_Biofilm_Volume,1.4601982472268084e-05,2.1971479835446455e-05,0.20755952997989355,0.1557086367552093,-3.3622337032995334e-05,-3.603227957352697e-05,0.18163408336755144,1.828673115385727e-05
diff_B_Biofilm_Volume_P_Biofilm_Height,0.0004799983690224913,0.0006000153435353027,0.20802492636644376,0.15628668061890916,-2.472947629074259e-05,3.774291401416389e-05,0.18215580349267646,0.000540006856278897
