Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
1167,combinatoric,LGBMRegressor,0.2256427529971275,0.13603929940231452,0.2901567284509373,0.17390574061386457,0.29135708691967194,-0.43142671471169947,[0.55285259 0.55285259 0.60464189 ... 0.78153532 0.78455473 0.78455473],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112,(-) B_Biofilm_Height,0.2584999199583997
1202,combinatoric,LGBMRegressor,0.16603144347378737,0.18179638638905946,0.5555637315066916,1.9954549769801317,0.2245444785016231,0.16364345530338953,[0.7866255  0.7866255  0.7866255  ... 0.8338593  0.83394179 0.83394179],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112,(-) B_Biofilm_Height,0.19528796098770523
1218,combinatoric,LGBMRegressor,0.15457293132695255,0.16732839360231766,0.8797060289415832,2.559819457650613,0.22912352573191697,0.2937656665177465,[0.67569733 0.67569733 0.67569733 ... 0.51500956 0.50282302 0.50282302],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112,(-) B_Biofilm_Height,0.19184822852943476
1219,combinatoric,LGBMRegressor,0.13101540262117448,0.15605594775398307,90855831124660.69,87.12024831541538,0.2012783825276248,0.3673633858207469,[0.52694754 0.52694754 0.52694754 ... 0.85327633 0.8554298  0.8554298 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112,(-) B_Biofilm_Height,0.16614689257439963
1234,combinatoric,LGBMRegressor,0.24219523323400916,0.19150147020811864,85279805834807.98,111.52664484770382,0.3481198637569772,-0.5109992263125305,[0.69931564 0.69931564 0.71860974 ... 0.4993593  0.49544431 0.49544431],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112,(-) B_Biofilm_Height,0.29515754849549314
1273,combinatoric,LGBMRegressor,0.1542109834804983,0.1126859225224661,0.22581243270647242,0.263335361152358,0.22279931128138405,0.0679645919923586,[0.63466883 0.63466883 0.63466675 ... 0.66579882 0.66821008 0.66821008],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112,(-) B_Biofilm_Height,0.18850514738094118
1298,combinatoric,LGBMRegressor,0.1369058503635995,0.11468747711193095,0.3311751002795165,0.37820618538785017,0.18977413062657797,0.3173485293391136,[0.59753904 0.59753904 0.59753904 ... 0.46670818 0.46040075 0.46040075],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112,(-) B_Biofilm_Height,0.16333999049508874
1339,combinatoric,LGBMRegressor,0.20760976416694732,0.25767049279849563,0.8591630407323494,1.974821151838563,0.2775909394473467,0.01778280897301121,[0.88023374 0.88023374 0.88023374 ... 0.63766777 0.63995521 0.63995521],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112,(-) B_Biofilm_Height,0.242600351807147
11285,combinatoric,LGBMRegressor,0.13536551208597286,0.09555472020625869,0.17100824700628867,0.3012421643714843,0.17697805962178317,0.3726785980723367,[0.6850411  0.6850411  0.6850411  ... 0.83403613 0.83826842 0.83826842],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,(-) B_Biofilm_Height,0.15617178585387803
11457,combinatoric,LGBMRegressor,0.1170951158294892,0.16413586609557654,0.15536478573740373,0.6246553146721523,0.15107882202733117,0.47482784830960534,[0.88333776 0.88333776 0.88333776 ... 0.81618611 0.82020575 0.82020575],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,(-) B_Biofilm_Height,0.13408696892841018
12001,combinatoric,LGBMRegressor,0.17179741857068206,0.08946003024720894,0.2589987265156057,0.6797714776014888,0.2506572071376754,-0.5170229000860247,[0.62932452 0.62932452 0.62932452 ... 0.83531593 0.8377125  0.8377125 ],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094,(-) B_Biofilm_Height,0.21122731285417873
12048,combinatoric,LGBMRegressor,0.13605866252042587,0.1252770383141196,0.3313890574103088,2.1891275169027646,0.1712718766177189,0.5138647425521974,[0.73797212 0.73797212 0.73797212 ... 0.73971299 0.73971299 0.73971299],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668,(-) B_Biofilm_Height,0.1536652695690724
