,Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
0,1167,avg,ElasticNet,0.25170099220933195,0.08833219557196643,0.37953457483702285,0.29257097102036317,0.2667507568006627,-0.21833643370304778,"[0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056
 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056
 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056
 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056
 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056
 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056 0.67780056]","[[0.47114438]
 [0.72831622]
 [0.71985186]
 [0.72965397]
 [0.32654449]
 [0.53297676]
 [0.29228146]
 [0.35879772]
 [0.29614315]
 [0.6058648 ]
 [0.83673575]
 [0.93482886]
 [0.97322836]
 [0.96522473]
 [0.95250939]
 [0.96531609]
 [0.98482293]
 [0.96360615]
 [0.88067913]
 [0.96778521]
 [0.98564011]
 [0.93759242]
 [0.96617954]
 [0.9595651 ]
 [0.93997339]
 [0.93346047]
 [0.89254929]
 [1.        ]
 [0.99904466]
 [0.99774927]
 [0.98518001]
 [0.99785545]
 [0.98871093]
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
0,1202,avg,ElasticNet,0.22118601445216052,0.14266542999860995,0.7860859964834321,1.6878499665035542,0.2632046312394971,-0.15345734799931976,"[0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762
 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762
 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762
 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762
 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762
 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762 0.68940762]","[[0.14906355]
 [0.59650097]
 [0.6126219 ]
 [0.30539326]
 [0.06283783]
 [0.36968642]
 [0.43239395]
 [0.41168073]
 [0.41671517]
 [0.64477475]
 [0.87751438]
 [0.83061693]
 [0.97139705]
 [0.93711641]
 [0.83269947]
 [0.35175302]
 [0.31921994]
 [0.67310099]
 [0.76240106]
 [0.79691918]
 [0.88185945]
 [0.96732285]
 [0.89301463]
 [0.96945338]
 [0.62507124]
 [0.71542897]
 [0.65347818]
 [0.34203753]
 [0.77984246]
 [0.24694186]
 [0.38356225]
 [0.39794357]
 [0.48052866]
 [0.56819652]
 [0.52831934]
 [0.57514431]]"
0,1218,avg,ElasticNet,0.2317656119411765,0.17119016380524485,1.1923122125597858,2.5637813014525266,0.28813429345035374,-0.12982129032912515,"[0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024
 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024
 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024
 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024
 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024
 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024 0.68950024]","[[0.40903003]
 [0.62575839]
 [0.71403127]
 [0.39324875]
 [0.05213942]
 [0.26105455]
 [0.39638506]
 [0.4015846 ]
 [0.31444566]
 [0.9439279 ]
 [0.8609094 ]
 [0.94207013]
 [0.85525179]
 [0.92696188]
 [0.86337731]
 [0.60714991]
 [0.78177199]
 [0.82261721]
 [0.95214641]
 [0.95696108]
 [0.96341331]
 [0.6496102 ]
 [0.5107936 ]
 [0.72456473]
 [0.67607412]
 [0.70814178]
 [0.49685288]
 [0.07405875]
 [0.43190293]
 [0.20643897]
 [0.08443895]
 [0.21605889]
 [0.4988302 ]
 [0.68774913]
 [0.74007091]
 [0.55605146]]"
0,1219,avg,ElasticNet,0.23842382490350403,0.14479410437669968,86403149689823.38,113.40859951883004,0.2789466847694508,-0.22145510736884177,"[0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272
 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272
 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272
 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272
 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272
 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272 0.69067272]","[[0.21703461]
 [0.26919282]
 [0.56188405]
 [0.56709756]
 [0.20122971]
 [0.51169929]
 [0.39029043]
 [0.43337528]
 [0.39525584]
 [0.82388459]
 [0.92080653]
 [0.94551738]
 [0.96712736]
 [0.99043175]
 [0.88401723]
 [0.        ]
 [0.77550664]
 [0.66544829]
 [0.85544417]
 [0.88295712]
 [1.        ]
 [0.54611342]
 [0.57300695]
 [0.53752532]
 [0.62221352]
 [0.70538468]
 [0.50094389]
 [0.37172853]
 [0.56174631]
 [0.41365941]
 [0.40858063]
 [0.16723032]
 [0.32851711]
 [0.57982691]
 [0.43863302]
 [0.57500456]]"
0,1234,avg,ElasticNet,0.2702944949222041,0.18839834901112967,86752238318923.25,113.75316272542473,0.32947390169081503,-0.35706893283382013,"[0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319
 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319
 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319
 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319
 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319
 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319 0.69346319]","[[0.69992615]
 [0.58704173]
 [0.56621503]
 [0.51424479]
 [0.27277721]
 [0.58591224]
 [0.42029501]
 [0.4744252 ]
 [0.37533383]
 [0.80384281]
 [0.9146671 ]
 [0.90118178]
 [0.92970417]
 [0.95392983]
 [0.85809623]
 [0.0469013 ]
 [0.71413153]
 [0.36338832]
 [0.91124271]
 [0.87686392]
 [0.83301408]
 [0.22708617]
 [0.4403976 ]
 [0.28762385]
 [0.72069034]
 [0.38589281]
 [0.50306656]
 [0.        ]
 [0.20943641]
 [0.02536471]
 [0.09819906]
 [0.23941059]
 [0.20836221]
 [0.63245741]
 [0.72096599]
 [0.57845471]]"
0,1273,avg,ElasticNet,0.23282911251942628,0.0909884063599204,0.3499588577861668,0.30101585405683257,0.2499765703591072,-0.16998739626664316,"[0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058
 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058
 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058
 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058
 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058
 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058 0.67878058]","[[0.62997734]
 [0.58704173]
 [0.58027284]
 [0.50859862]
 [0.45565884]
 [0.44532886]
 [0.38605619]
 [0.44415041]
 [0.36530147]
 [0.60095033]
 [0.97760203]
 [0.93156845]
 [0.97190281]
 [0.97763469]
 [0.97715437]
 [0.82428567]
 [0.89054612]
 [0.91884961]
 [0.95346336]
 [0.95998677]
 [0.9610678 ]
 [0.9990586 ]
 [0.99149912]
 [0.9296209 ]
 [0.91438627]
 [0.97210151]
 [0.88825073]
 [0.23763899]
 [0.98775245]
 [0.94403186]
 [0.48171196]
 [0.62563646]
 [0.76102029]
 [0.78625055]
 [1.        ]
 [0.99994395]]"
0,1298,avg,ElasticNet,0.22233008331118378,0.11624488019893378,0.5166106048090938,0.490313927503651,0.2508855079864566,-0.20451763387977184,"[0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741
 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741
 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741
 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741
 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741
 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741 0.68981741]","[[0.36149194]
 [0.43979194]
 [0.56834823]
 [0.52796393]
 [0.44945517]
 [0.31917066]
 [0.45063245]
 [0.51022149]
 [0.38337098]
 [0.75748653]
 [0.94142062]
 [0.95147254]
 [0.93909039]
 [0.97894941]
 [0.78161174]
 [0.75863108]
 [0.70394953]
 [0.60870082]
 [0.96517574]
 [0.93389062]
 [0.97289124]
 [0.43378687]
 [0.53524136]
 [0.55074771]
 [0.72556523]
 [0.69860234]
 [0.53338386]
 [0.21471827]
 [0.52124703]
 [0.29892466]
 [0.28267304]
 [0.336191  ]
 [0.26568292]
 [0.50181116]
 [0.43881792]
 [0.4706547 ]]"
0,1339,avg,ElasticNet,0.30569948462164115,0.15231585111064228,1.2175443457633788,1.4611483821525701,0.3415439845722603,-0.4838589039852663,"[0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931
 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931
 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931
 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931
 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931
 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931 0.69490931]","[[0.1677766 ]
 [0.58048175]
 [0.58666233]
 [0.49677968]
 [0.34892035]
 [0.44762699]
 [0.31219077]
 [0.39582572]
 [0.31664838]
 [0.65657944]
 [0.94219027]
 [0.91374737]
 [0.94696319]
 [0.89135846]
 [0.8717736 ]
 [0.85308362]
 [0.71339994]
 [0.91840272]
 [0.95716304]
 [0.84305212]
 [0.7848518 ]
 [0.28733152]
 [0.4173702 ]
 [0.35333821]
 [0.31007574]
 [0.26073352]
 [0.22604631]
 [0.20434278]
 [0.4114521 ]
 [0.09991753]
 [0.11831266]
 [0.11560503]
 [0.17233788]
 [0.37047272]
 [0.29696552]
 [0.40574128]]"
0,11285,avg,ElasticNet,0.24169116270624544,0.09403916598758846,0.35490367654209354,0.2902403728433735,0.25934144071077037,-0.3509997513122425,"[0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023
 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023
 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023
 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023
 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023
 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023 0.67673023]","[[0.91348945]
 [0.98451715]
 [0.99262437]
 [0.29211455]
 [0.30351804]
 [0.50266117]
 [0.32310936]
 [0.39512069]
 [0.40226433]
 [0.84723405]
 [0.97927416]
 [0.9706893 ]
 [0.96451624]
 [0.9705113 ]
 [0.97664467]
 [0.78988673]
 [0.70806332]
 [0.54729751]
 [0.87466035]
 [0.74207174]
 [0.98245203]
 [0.99497187]
 [0.99777463]
 [0.97409977]
 [0.96621555]
 [0.94066202]
 [0.82287077]
 [0.70396517]
 [0.91296726]
 [0.81070028]
 [0.86056908]
 [0.81702822]
 [0.86183369]
 [0.99968798]
 [0.99975936]
 [0.99529203]]"
0,11457,avg,ElasticNet,0.23908058637690624,0.08762032914851003,0.34583529044462674,0.3506248726231209,0.25463080894192397,-0.5417500263600434,"[0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856
 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856
 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856
 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856
 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856
 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856 0.67568856]","[[0.84842973]
 [0.78374516]
 [0.78660112]
 [0.39426409]
 [0.20988306]
 [0.59838156]
 [0.40687344]
 [0.48232297]
 [0.37587003]
 [0.88958072]
 [0.98772021]
 [0.94660322]
 [0.96755022]
 [0.96704582]
 [0.94045689]
 [0.70563928]
 [0.75733379]
 [0.7751519 ]
 [0.99724594]
 [0.96430661]
 [0.960025  ]
 [0.96417435]
 [0.94592884]
 [0.94637247]
 [0.92483339]
 [0.90024691]
 [0.85893472]
 [0.87072956]
 [0.97701347]
 [0.88924878]
 [0.8603028 ]
 [0.95518657]
 [0.92619117]
 [0.99707015]
 [0.99842596]
 [0.99892703]]"
