Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,cross_mean
11285,combinatoric,LGBMRegressor,0.1140509578390065,0.09764560016289593,0.14943889523440754,0.3128479537304906,0.14334029093915115,0.5884829731821561,[0.69371104 0.68436435 0.68436435 ... 0.72388508 0.73489048 0.73489048],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,No Permutation,0.0,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1420717431126014,0.12615772121510313,0.1801421714744999,0.433270973434894,0.1874316936190079,0.2963814106687638,[0.78825464 0.77890795 0.77890795 ... 0.80469827 0.63344492 0.81570367],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_Height,0.044091402679856756,0.028020785273594903,0.03605609397672583
11285,combinatoric,LGBMRegressor,0.12012324381687214,0.10253464239507286,0.15565087044557177,0.3414446629361853,0.15249847877829514,0.5342184638313943,[0.71585035 0.70650366 0.70650366 ... 0.68109764 0.76490341 0.67898259],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_Roughness,0.009158187839143989,0.006072285977865646,0.0076152369085048174
11285,combinatoric,LGBMRegressor,0.12318052723852381,0.10291376725184795,0.15900893063900706,0.34424297919551644,0.16020535314821596,0.48595008321083455,[0.71812548 0.70877879 0.70877879 ... 0.69588038 0.78142759 0.69266824],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_SubstratumCoverage,0.016865062209064807,0.009129569399517312,0.01299731580429106
11285,combinatoric,LGBMRegressor,0.12647883551748,0.09500357588325554,0.16266156043383548,0.29770126450803064,0.16456062375998848,0.45762071324140874,[0.68237555 0.67302886 0.67302886 ... 0.63915359 0.65530632 0.65015899],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_Volume,0.021220332820837323,0.01242787767847349,0.016824105249655406
11285,combinatoric,LGBMRegressor,0.19590795951618728,0.1988820366296919,0.2913918707947882,0.16429879170195977,0.2593212815084003,-0.3468758445622151,[0.37791942 0.46536349 0.68436435 ... 0.47135238 0.72388508 0.43217222],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_Height,0.11598099056924913,0.08185700167718078,0.09891899612321495
11285,combinatoric,LGBMRegressor,0.12213289832026142,0.10156992607994482,0.1641668674265529,0.33256530460806133,0.1573843512380522,0.5038941567814197,[0.70855355 0.70958884 0.68919799 ... 0.72388508 0.72958196 0.73489048],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_Volume,0.01404406029890104,0.00808194048125492,0.01106300039007798
11285,combinatoric,LGBMRegressor,0.1167368599425262,0.09828765815474703,0.15448851895241664,0.3160126962301347,0.14684303993214565,0.5681250850173276,[0.6960588  0.69709409 0.69371104 ... 0.71406351 0.73489048 0.73489048],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_SubstratumCoverage,0.003502748992994492,0.0026859021035196967,0.0030943255482570944
11285,combinatoric,LGBMRegressor,0.18536536432258935,0.1815455662405943,0.2978964201173981,0.5782487169625692,0.2408445565448386,-0.1617827290383962,[0.90864133 0.91369738 0.68436435 ... 0.72388508 0.73489048 0.73489048],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,Modele,0.09750426560568745,0.07131440648358285,0.08440933604463516
11285_x_E.ce,combinatoric,LGBMRegressor,0.06849023467979654,0.029398826171498197,0.07216790943305385,0.02754798559087163,0.08502338192145677,-2.0395156497403004,[0.86191913 0.84829089 0.84829089 ... 0.91012403 0.90636548 0.91012403],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,No Permutation,0.0,0.0,0.0
