Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_Roughness,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_SubstratumCoverage,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,B_Biofilm_Volume,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_Height,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_Volume,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,P_Biofilm_SubstratumCoverage,0.0,0.0
11285,combinatoric,LGBMRegressor,0.1334592648748885,0.09785946066249784,0.16978693643203327,0.3139184766471167,0.17457148387508728,0.3896234321194567,[0.69450595 0.68372882 0.68001851 ... 0.79110484 0.79446487 0.79446487],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,Modele,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,B_Biofilm_Roughness,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,B_Biofilm_SubstratumCoverage,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,B_Biofilm_Volume,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_Height,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_Volume,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_SubstratumCoverage,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.13573078878101316,0.04876813906393131,0.14217216161476035,0.03835193828950696,0.18202741427072444,-12.931607561765116,[0.64123944 0.61703162 0.61703162 ... 0.82393095 0.82393095 0.82393095],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,Modele,0.0,0.0
11285_x_E.co,combinatoric,LGBMRegressor,0.17645646258605532,0.07992020913251432,0.36176004208889284,0.3046447303951026,0.23469233091474212,0.012554318613536286,[0.66951931 0.66951931 0.66951931 ... 0.78855685 0.78893281 0.78893281],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,B_Biofilm_Roughness,0.0,0.0
