Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,KNNImputer_MaxAbsScaler,0.21077159145320706,0.1241574476752414,0.27663436533865365,0.18657052720456643,0.27243887272762396,-0.25157273870018826,[0.57358745 0.56213402 0.60840108 ... 0.66129491 0.66129491 0.66129491],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,KNNImputer_MaxAbsScaler,0.16972291273433693,0.1530570530724911,0.5647081671094653,1.8032583128640671,0.2250147203586909,0.16013678551669464,[0.71935925 0.70564873 0.70419611 ... 0.78910609 0.79484604 0.79484604],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,KNNImputer_MaxAbsScaler,0.1470263559681604,0.171797649403144,0.8546995604651282,2.610974764737102,0.21672612899858398,0.36812378530535905,[0.68757399 0.68286396 0.68286396 ... 0.72823436 0.7228477  0.72772658],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,KNNImputer_MaxAbsScaler,0.12178845913085666,0.15565806037015414,88360816658194.3,88.41681299670954,0.18731208165472094,0.45211219186201557,[0.53478671 0.53478671 0.53478671 ... 0.64163447 0.64890566 0.64890566],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,KNNImputer_MaxAbsScaler,0.24905463762937502,0.17560579866537854,91440381262255.6,106.00339138450101,0.36183971890138444,-0.6324470631272019,[0.66467336 0.65787174 0.69773459 ... 0.49274012 0.49274012 0.49274012],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,KNNImputer_MaxAbsScaler,0.15263515230776448,0.11485750703384683,0.2276085513738219,0.2612655526348252,0.21512868544976102,0.13103682872339728,[0.63126272 0.63186866 0.63186866 ... 0.64269169 0.63704453 0.63704453],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,KNNImputer_MaxAbsScaler,0.13536130715702407,0.1175316987938844,0.33057059848161136,0.3675527263323428,0.18969137106997805,0.317943801350527,[0.5880755  0.59372232 0.59372232 ... 0.46875353 0.47174247 0.47174247],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,KNNImputer_MaxAbsScaler,0.20919164552051428,0.26584005130879873,0.8723314351924194,2.024712930292848,0.27708325784214405,0.021372246088032565,[0.8999742  0.88994498 0.88994498 ... 0.63185266 0.62975419 0.62975419],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,KNNImputer_MaxAbsScaler,0.11111515270006793,0.10262232503177669,0.14764152670985678,0.34211537958368954,0.1406410845853156,0.6038354055173347,[0.71639668 0.7084465  0.7084465  ... 0.90006002 0.89850962 0.89850962],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,KNNImputer_MaxAbsScaler,0.10307846692864893,0.15803422150726204,0.14034242708461486,0.6093789494898757,0.13672640677412304,0.5698704201689269,[0.87058082 0.86571723 0.86571723 ... 0.82873975 0.83062074 0.83062074],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
12001,combinatoric,KNNImputer_MaxAbsScaler,0.15728602873348088,0.08997203500790266,0.24234333776843542,0.6607000776138798,0.2309883530520771,-0.2882848767719888,[0.61742659 0.61848091 0.61848091 ... 0.86185523 0.86185523 0.86185523],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
12048,combinatoric,KNNImputer_MaxAbsScaler,0.1189098740460476,0.14091761900865957,0.32103142347581753,2.308641192697109,0.15433009031145278,0.6052826395684376,[0.77274308 0.76574245 0.76574245 ... 0.73988102 0.73988102 0.73988102],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
