Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,1167,combinatoric,KNNImputer_RobustScaler,0.2221335757056704,0.2885813780613033,[0.53130256 0.52353524 0.54768889 ... 0.63165694 0.64852031 0.64769795],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,KNNImputer_RobustScaler,0.15382542960203,0.2068512779243994,[0.78343735 0.74573201 0.74573201 ... 0.71794773 0.71926932 0.71926932],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,KNNImputer_RobustScaler,0.145646393927077,0.215841803953554,[0.65907758 0.6530646  0.6530646  ... 0.80317322 0.80105776 0.80105776],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,KNNImputer_RobustScaler,0.1294175622346068,0.1955971029828553,[0.51592575 0.51592575 0.51592575 ... 0.64712506 0.65531711 0.64467792],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,KNNImputer_RobustScaler,0.2465009841825318,0.3566334511722835,[0.68458927 0.67261138 0.69628233 ... 0.4775035  0.47283371 0.47283371],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,KNNImputer_RobustScaler,0.1549982969927159,0.2188660113975942,[0.69077584 0.69069313 0.69069313 ... 0.62352984 0.62263839 0.62263839],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,KNNImputer_RobustScaler,0.1359042025498829,0.1872307868158766,[0.57008139 0.55820545 0.55820545 ... 0.47815398 0.4785028  0.4785028 ],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,KNNImputer_RobustScaler,0.2178148382692714,0.2884062799405424,[0.91140744 0.8979211  0.8979211  ... 0.58151773 0.58278152 0.58278152],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,KNNImputer_RobustScaler,0.1132762198636428,0.142507606849835,[0.69854708 0.68920039 0.68920039 ... 0.72388509 0.73489049 0.73489049],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,KNNImputer_RobustScaler,0.1081819846746214,0.1471489060936487,[0.90727654 0.90633172 0.90633172 ... 0.82625018 0.81418089 0.81418089],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
0,12001,combinatoric,KNNImputer_RobustScaler,0.1479116157382924,0.2090676960880998,[0.68704186 0.68909476 0.68909476 ... 0.87460563 0.87460563 0.87460563],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
0,12048,combinatoric,KNNImputer_RobustScaler,0.1172542811310478,0.1526402495415646,[0.77698664 0.76986267 0.76986267 ... 0.77083914 0.77103411 0.77103411],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,12701,combinatoric,KNNImputer_RobustScaler,0.1623955154647738,0.2274507213003548,[0.50453433 0.50428559 0.50428559 ... 0.88842016 0.89412448 0.89412448],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
0,12832,combinatoric,KNNImputer_RobustScaler,0.118705500218994,0.1704308380254841,[0.79809423 0.79000764 0.79090393 ... 0.88645506 0.88694677 0.88694677],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
0,B1,combinatoric,KNNImputer_RobustScaler,0.1040852248180413,0.1465539530814481,[0.76861419 0.78115649 0.78115649 ... 0.75100346 0.74968105 0.74968105],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
0,B8,combinatoric,KNNImputer_RobustScaler,0.1608204365954382,0.214196133640306,[0.6286798  0.6231822  0.6231822  ... 0.63708948 0.64205032 0.64205032],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
0,B18,combinatoric,KNNImputer_RobustScaler,0.1451895166585476,0.2050241416279357,[0.63456324 0.62435027 0.62435027 ... 0.54534115 0.54534115 0.54534115],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
0,C5,combinatoric,KNNImputer_RobustScaler,0.1039058360661135,0.1417322678696245,[0.63470467 0.62916972 0.62916972 ... 0.68448406 0.67200076 0.67200076],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
