Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,MeanImputer_MinMaxScaler,0.21743725913385842,0.14341047930692252,0.2818378207878302,0.16929815177575602,0.2801109110680195,-0.323055302985491,[0.54099132 0.54099132 0.54099132 ... 0.76164114 0.76049903 0.76049903],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,MeanImputer_MinMaxScaler,0.14038593493831442,0.13413907495270663,0.43640521756979245,1.200889350358615,0.19932040171267787,0.34099272851001894,[0.51300805 0.51300805 0.51300805 ... 0.65287    0.65148556 0.65148556],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,MeanImputer_MinMaxScaler,0.128110850021366,0.15617999778492056,0.7123278984392849,2.42259529924207,0.18181201434230895,0.5553128122800618,[0.64404346 0.64404346 0.64404346 ... 0.5214656  0.5214656  0.5214656 ],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,MeanImputer_MinMaxScaler,0.11149943775327321,0.15547338787716286,89831788837480.48,89.23732200267898,0.1705268817772089,0.5459060066891699,[0.53974778 0.53974778 0.53974778 ... 0.59623818 0.59533138 0.59533138],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,MeanImputer_MinMaxScaler,0.20963591195907177,0.15831777708094483,70357732790698.66,95.48503087477464,0.3093012389886056,-0.19280637506829046,[0.59870382 0.59870382 0.59870382 ... 0.5304842  0.52275272 0.52275272],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,MeanImputer_MinMaxScaler,0.15062551476680663,0.12863281474690674,0.22221136657299972,0.24282869621080622,0.21267305454015412,0.15076152667239895,[0.60423972 0.60423972 0.60423972 ... 0.57622342 0.57379798 0.57379798],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,MeanImputer_MinMaxScaler,0.11627130042682622,0.12272916398096458,0.2712762687685668,0.3533318350220681,0.15356339271070052,0.5530073251859672,[0.57446886 0.57446886 0.57446886 ... 0.48614817 0.48614817 0.48614817],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,MeanImputer_MinMaxScaler,0.17905706606090718,0.12605219690926942,0.7243201922924695,1.2710280318076042,0.22627932739582532,0.34734042176627833,[0.61938032 0.61938032 0.61938032 ... 0.57059008 0.56733163 0.56733163],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,MeanImputer_MinMaxScaler,0.09332699506792533,0.11791546783306663,0.12841108668684004,0.4094134486629158,0.11972013382039358,0.7129314384426759,[0.76992403 0.76992403 0.76992403 ... 0.92881221 0.92862428 0.92862428],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,MeanImputer_MinMaxScaler,0.09637550121745458,0.17181946127619221,0.13248519293490837,0.6435171944336923,0.13871187260545695,0.5572875063224553,[0.89932161 0.89932161 0.89932161 ... 0.90030668 0.89656177 0.89656177],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
12001,combinatoric,MeanImputer_MinMaxScaler,0.10119088201933307,0.13360643486631332,0.17754671801244984,0.9390021522641103,0.13903627479686503,0.5332460624943204,[0.78514387 0.78514387 0.78514387 ... 0.83433799 0.83226289 0.83226289],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
12048,combinatoric,MeanImputer_MinMaxScaler,0.09519388670441423,0.1737403189978917,0.2915604012625833,2.537071657108483,0.13069866075306213,0.7169082049793685,[0.8395932  0.8395932  0.8395932  ... 0.69215354 0.69274404 0.69274404],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
