Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,MeanImputer_RobustScaler,0.2212908975535378,0.1573409041420641,0.2878666018246227,0.16265610512016912,0.28846589568495196,-0.40315903317965907,[0.51730967 0.51730967 0.51730967 ... 0.7744221  0.7744221  0.7744221 ],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,MeanImputer_RobustScaler,0.1393534239690866,0.13177522365433308,0.43571598486733976,1.236984670898966,0.1986855942156291,0.3451837352658568,[0.52526165 0.52526165 0.52526165 ... 0.64675976 0.64675976 0.64675976],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,MeanImputer_RobustScaler,0.12714304393107242,0.14794420794425922,0.7149094889994071,2.2903421041403056,0.1814780477582736,0.556944984538448,[0.61369206 0.61369206 0.61369206 ... 0.53332369 0.53332369 0.53332369],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,MeanImputer_RobustScaler,0.11007922802724218,0.154826835087045,88977128015943.58,91.41498420582764,0.1690555427865424,0.5537082233213046,[0.552916   0.552916   0.552916   ... 0.58800784 0.58800784 0.58800784],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,MeanImputer_RobustScaler,0.21416938745308667,0.16837646108282095,72662728767336.94,102.60993672287067,0.31418615882709494,-0.23078084787239117,[0.64338928 0.64338928 0.64338928 ... 0.59755087 0.59755087 0.59755087],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,MeanImputer_RobustScaler,0.1398819436695749,0.1270041171223704,0.21733578397301878,0.24467958452009253,0.20605030113704553,0.2028294784240936,[0.60727682 0.60727682 0.60727682 ... 0.60290696 0.60290696 0.60290696],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,MeanImputer_RobustScaler,0.11417651979213148,0.11384211426132024,0.26336351022168236,0.3821221007505168,0.1476106556128857,0.5869901329022241,[0.60089433 0.60089433 0.60089433 ... 0.50152965 0.50152965 0.50152965],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,MeanImputer_RobustScaler,0.18169049760494713,0.1325508947071658,0.7398690675332167,1.3308101124387866,0.230692373358224,0.3216350011632356,[0.64120946 0.64120946 0.64120946 ... 0.60216198 0.60216198 0.60216198],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,MeanImputer_RobustScaler,0.09081944044371652,0.1444690993397753,0.12599870697329837,0.48428769284897816,0.11467594883278054,0.7366120329053067,[0.82871588 0.82871588 0.82871588 ... 0.91560331 0.91560331 0.91560331],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,MeanImputer_RobustScaler,0.08899564619828125,0.17565456800859952,0.12453648570886656,0.6531445775463866,0.12266870222569923,0.6537721091197,[0.90771242 0.90771242 0.90771242 ... 0.89604143 0.89604143 0.89604143],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
12001,combinatoric,MeanImputer_RobustScaler,0.10547562280742849,0.1201819958476577,0.1830628408496389,0.8896736555421804,0.14694681075243368,0.47862275414357114,[0.75591901 0.75591901 0.75591901 ... 0.87783749 0.87783749 0.87783749],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
12048,combinatoric,MeanImputer_RobustScaler,0.094342128708488,0.1743976036104507,0.29461004737530655,2.5412961575169875,0.12818933036932287,0.7276742144625991,[0.84083378 0.84083378 0.84083378 ... 0.69513305 0.7022638  0.69513305],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
12701,combinatoric,MeanImputer_RobustScaler,0.19495933149061534,0.1617575710114678,0.6121483217138172,1.0889269157243622,0.2785972903362979,-0.21917349251890106,[0.7965603  0.7965603  0.7965603  ... 0.92802916 0.92713886 0.92713886],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
12832,combinatoric,MeanImputer_RobustScaler,0.11879797257558156,0.18936104802252382,0.3199161301560436,1.108497368436137,0.16961952254279697,0.4939423150638992,[0.83513869 0.83513869 0.83513869 ... 0.97249276 0.96086217 0.96086217],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
B1,combinatoric,MeanImputer_RobustScaler,0.1008915032208401,0.1508018750360142,0.15514388135730978,0.4310249770061557,0.13771164565360333,0.5590725622021303,[0.83753508 0.83753508 0.83753508 ... 0.86251354 0.8628767  0.8628767 ],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
B8,combinatoric,MeanImputer_RobustScaler,0.1548471579065469,0.10203238399732222,46562129388841.63,96.00143018907873,0.2137272621000701,0.2769392235988143,[0.60399394 0.60399394 0.60399394 ... 0.71326832 0.71326832 0.71326832],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
B18,combinatoric,MeanImputer_RobustScaler,0.137569396896843,0.11646221236734679,0.33527673540758773,0.4248260619635078,0.19534691494444856,0.3117656629433443,[0.61894628 0.61894628 0.61894628 ... 0.59078291 0.59081704 0.59081704],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
C5,combinatoric,MeanImputer_RobustScaler,0.1202605870743758,0.12412205600749039,0.26905389019735243,0.45716431158407556,0.16186519050034812,0.4358013762797237,[0.65646079 0.65646079 0.65646079 ... 0.70859924 0.70859924 0.70859924],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
E.ce,combinatoric,MeanImputer_RobustScaler,0.10010021875871437,0.1714842409858092,0.16344968102215923,0.6594866302102881,0.1375873536016892,0.47795172865770286,[0.93304296 0.93304296 0.93304296 ... 0.42858312 0.42858312 0.42858312],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
E.co,combinatoric,MeanImputer_RobustScaler,0.17833046567623503,0.28133466851262656,0.49182816011440206,1.542903406360031,0.24117330229360798,0.2862243391126883,[0.96365187 0.96365187 0.96365187 ... 0.37609204 0.37609204 0.37609204],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
S.en,combinatoric,MeanImputer_RobustScaler,0.1836326509857906,0.15941936769900752,38959091137943.9,54.238320460721205,0.24174796147978383,0.12974966121328035,[0.43813632 0.43813632 0.43632576 ... 0.19545455 0.19545455 0.19545455],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
S.au,combinatoric,MeanImputer_RobustScaler,0.1480370675086071,0.1819247790263967,0.19302685004624923,0.48430242850716343,0.1999633211320759,0.04304082993291147,[0.93964693 0.92833352 0.94133382 ... 0.3677966  0.37153515 0.37158796],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
1167_x_E.ce,combinatoric,MeanImputer_RobustScaler,0.15760182551536236,0.1034152518691032,0.19963878400868246,0.08082451005372422,0.19363744870705182,-0.46098599751704517,[0.60455639 0.60455639 0.60455639 ... 0.71198255 0.71198255 0.71198255],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
