Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,MedianImputer_MaxAbsScaler,0.2271313057030828,0.15067813365427796,0.29141322888921967,0.16587871725291517,0.29377096693213767,-0.45524357697762885,[0.52913187 0.52913187 0.52913187 ... 0.74120169 0.74120169 0.74120169],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,MedianImputer_MaxAbsScaler,0.14302026741137053,0.13533654316582538,0.43565617115998523,1.1869242019732005,0.2024753291193786,0.31996553130306127,[0.50823015 0.50823015 0.50823015 ... 0.60253174 0.60165841 0.60165841],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,MedianImputer_MaxAbsScaler,0.12675892066434544,0.15830410033856626,0.7229504206105701,2.450126334067263,0.18199526149562792,0.5544159658642143,[0.65037029 0.65037029 0.65037029 ... 0.5214464  0.5214464  0.5214464 ],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,MedianImputer_MaxAbsScaler,0.11116223337307471,0.15303115594682642,89455762612550.31,94.84778354172226,0.17058144275526493,0.5456153806515354,[0.57367832 0.57367832 0.57367832 ... 0.58112788 0.58112788 0.58112788],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,MedianImputer_MaxAbsScaler,0.20816423427069108,0.16890149304078678,71074212650187.27,102.8955585663924,0.30795841424615633,-0.1824717706518051,[0.64518073 0.64518073 0.64518073 ... 0.5221306  0.5221306  0.5221306 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,MedianImputer_MaxAbsScaler,0.1432725566105144,0.12380440909078061,0.22224102841024998,0.24872496682311881,0.20711520190535423,0.19456837770474344,[0.61348553 0.61348553 0.61348553 ... 0.5966977  0.5966977  0.5966977 ],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,MedianImputer_MaxAbsScaler,0.11897217743459067,0.12358083626788323,0.2876185119180911,0.3513905341368942,0.15851632907645916,0.5237082907973423,[0.57250126 0.57250126 0.57250126 ... 0.52168424 0.52168424 0.52168424],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,MedianImputer_MaxAbsScaler,0.18012193550047126,0.12245248676595714,0.7294405389184285,1.2011575095134612,0.22989539662740616,0.3263140222365478,[0.59353336 0.59353336 0.59353336 ... 0.56177539 0.56177539 0.56177539],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,MedianImputer_MaxAbsScaler,0.09625408798418605,0.1497278861846301,0.13048191783646462,0.4987408958364531,0.128629785961378,0.6686138603951912,[0.84063411 0.84063411 0.84063411 ... 0.91966359 0.91966359 0.91966359],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,MedianImputer_MaxAbsScaler,0.10011454278903403,0.17960082284622414,0.13666135262884405,0.6624924636340901,0.14140784645366375,0.5399113439584653,[0.91579253 0.91579253 0.91579253 ... 0.90062656 0.89923812 0.89923812],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
