Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,MedianImputer_RobustScaler,0.22134477873190256,0.14219475158175438,0.28792594568249735,0.16990174822275583,0.2892408111659873,-0.410707864000019,[0.54290799 0.54290799 0.54290799 ... 0.76772182 0.76772182 0.76772182],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,MedianImputer_RobustScaler,0.1430636425824655,0.14921292337112868,0.4311535615172032,1.0760282963190968,0.20121902802126274,0.3283781870448409,[0.46961504 0.46961504 0.46961504 ... 0.61532795 0.61532795 0.61532795],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,MedianImputer_RobustScaler,0.12755122705582447,0.16500110021611286,0.7219640678071197,2.5350646264601235,0.18290121060972786,0.5499688040806562,[0.66999167 0.66999167 0.66999167 ... 0.55677265 0.55677265 0.55677265],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,MedianImputer_RobustScaler,0.11148924283038114,0.15562052007880564,89467131127664.39,88.7179913929802,0.17045154913871008,0.5463071228338243,[0.53660766 0.53660766 0.53660766 ... 0.57655272 0.57655272 0.57655272],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,MedianImputer_RobustScaler,0.21952420797926123,0.1660544414838827,76308992647504.17,101.22125531328903,0.32146552384890603,-0.28847334414689785,[0.63467931 0.63467931 0.63467931 ... 0.5369779  0.5369779  0.5369779 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,MedianImputer_RobustScaler,0.14654048286684662,0.13391730985627814,0.2211217917983035,0.23622567248283896,0.20586844234781815,0.20423601351904042,[0.5936771  0.5936771  0.5936771  ... 0.60529761 0.60529761 0.60529761],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,MedianImputer_RobustScaler,0.1148631695667931,0.1140524598116978,0.26610446239215124,0.3811020172730035,0.15218116045260333,0.5610179199434782,[0.60002604 0.60002604 0.60002604 ... 0.52820412 0.52820412 0.52820412],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,MedianImputer_RobustScaler,0.17977817086055123,0.12282371297028724,0.7238974386086057,1.2159565235489023,0.22773574533211582,0.3389118643897797,[0.59904157 0.59904157 0.59904157 ... 0.58659922 0.58659922 0.58659922],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,MedianImputer_RobustScaler,0.10091235090970012,0.1339061168731244,0.13467602666328973,0.4549104415596859,0.13081239366156322,0.6572724383182055,[0.80512587 0.80512587 0.80512587 ... 0.90966425 0.90966425 0.90966425],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,MedianImputer_RobustScaler,0.09423488601341332,0.16619033938489364,0.13021100055667842,0.6294826227069346,0.13468692754336598,0.5826067699061159,[0.88732488 0.88732488 0.88732488 ... 0.89879647 0.89879647 0.89879647],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
12001,combinatoric,MedianImputer_RobustScaler,0.1082973634427085,0.13097290320982607,0.1856028431663355,0.9275000345562349,0.15242141863588085,0.43905052901769037,[0.77815317 0.77815317 0.77815317 ... 0.83722992 0.83722992 0.83722992],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
12048,combinatoric,MedianImputer_RobustScaler,0.08673649283707116,0.19422021170843395,0.28759196685566923,2.6585734477196206,0.11705609671019787,0.7729230335455606,[0.87523614 0.87523614 0.87523614 ... 0.76673364 0.77178965 0.76673364],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
12701,combinatoric,MedianImputer_RobustScaler,0.18441786077185937,0.1552219790291754,0.5705518071736337,1.058626997721142,0.2651694338724392,-0.10448203997659555,[0.77949501 0.77949501 0.77949501 ... 0.92839017 0.92839017 0.92839017],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
12832,combinatoric,MedianImputer_RobustScaler,0.1179948732238797,0.19244287864079448,0.31986497583804246,1.1212122064490901,0.16739147115848907,0.5071497239232856,[0.84252099 0.84252099 0.84252099 ... 0.96644309 0.96630723 0.96630723],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
B1,combinatoric,MedianImputer_RobustScaler,0.10100911849757443,0.1579165339169276,0.15550639588160264,0.44483125300005166,0.14300136366261698,0.5245485827751503,[0.84898781 0.84898781 0.84898781 ... 0.80993539 0.80993539 0.80993539],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
B8,combinatoric,MedianImputer_RobustScaler,0.15597596543435033,0.09993840453819934,47104436071086.2,97.20267634111863,0.21309538342462186,0.2812083214651466,[0.61154421 0.61154421 0.61154421 ... 0.71910853 0.71910853 0.71910853],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
B18,combinatoric,MedianImputer_RobustScaler,0.1362823058760204,0.11629097332628452,0.33138568664838924,0.42791218748146886,0.19280626568574757,0.32955136799131945,[0.62120304 0.62120304 0.62120304 ... 0.58581785 0.58581785 0.59255835],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
C5,combinatoric,MedianImputer_RobustScaler,0.13011464914088086,0.12407395672285773,0.2913896281788137,0.4592293035966525,0.17336489944669214,0.35278668842935135,[0.65819024 0.65819024 0.65819024 ... 0.73401224 0.73401224 0.73401224],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
E.ce,combinatoric,MedianImputer_RobustScaler,0.10075989568324933,0.16758872347209525,0.1632793189939053,0.6515132197953654,0.13885091399963942,0.46831903395891383,[0.92543417 0.92543417 0.92543417 ... 0.39245567 0.39245567 0.39245567],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
E.co,combinatoric,MedianImputer_RobustScaler,0.18068650112673118,0.28386661546794056,0.5020025071768023,1.5666904892362161,0.24391706298234536,0.2698911062798329,[0.97751574 0.97751574 0.97751574 ... 0.40264589 0.40264589 0.40264589],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
