Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,1167,combinatoric,RandomForestImputer_MinMaxScaler,0.2208268681738586,0.290043984341627,[0.55293468 0.55293468 0.55293468 ... 0.6740228  0.68186518 0.68040199],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,RandomForestImputer_MinMaxScaler,0.1574099248243204,0.2120099265783032,[0.77029186 0.77029186 0.77029186 ... 0.81561619 0.81775711 0.81775711],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,RandomForestImputer_MinMaxScaler,0.1468133394210518,0.2189410816473991,[0.69457445 0.69457445 0.70112329 ... 0.7230984  0.72588269 0.72588269],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,RandomForestImputer_MinMaxScaler,0.1270142421181841,0.1909012891263481,[0.52205002 0.52205002 0.52205002 ... 0.64787776 0.65030231 0.65030231],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,RandomForestImputer_MinMaxScaler,0.2315547540746943,0.3404012754950309,[0.64795101 0.64102715 0.64795101 ... 0.54929947 0.55108248 0.55108248],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,RandomForestImputer_MinMaxScaler,0.14658832848905,0.2146430478300257,[0.62230689 0.62230689 0.62230689 ... 0.5947218  0.59476196 0.59429826],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,RandomForestImputer_MinMaxScaler,0.1291651178783675,0.1757388971966432,[0.57383187 0.57383187 0.57681357 ... 0.52532101 0.52832477 0.52832477],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,RandomForestImputer_MinMaxScaler,0.2233625225528861,0.2963082793208689,[0.89656609 0.89656609 0.89800365 ... 0.57196266 0.5763998  0.5763998 ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,RandomForestImputer_MinMaxScaler,0.1089491205175047,0.1379426659722229,[0.69085122 0.69085122 0.69085122 ... 0.79372678 0.80771788 0.80771788],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,RandomForestImputer_MinMaxScaler,0.121015949362462,0.1628691769068868,[0.90608721 0.90608721 0.90608721 ... 0.83086377 0.83086377 0.83086377],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
0,12001,combinatoric,RandomForestImputer_MinMaxScaler,0.1455807461525179,0.2115310310030292,[0.66525283 0.66525283 0.66525283 ... 0.86278051 0.87163874 0.87173666],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
0,12048,combinatoric,RandomForestImputer_MinMaxScaler,0.1099125460875834,0.1435084528361236,[0.84681418 0.84681418 0.84825161 ... 0.7199192  0.73089251 0.73089251],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,12701,combinatoric,RandomForestImputer_MinMaxScaler,0.1575644718963028,0.2238914114569043,[0.54293456 0.54293456 0.54812405 ... 0.86947491 0.87114789 0.87114789],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
0,12832,combinatoric,RandomForestImputer_MinMaxScaler,0.1158451840670438,0.1673780729670649,[0.8107053  0.8107053  0.8107053  ... 0.84522026 0.84780581 0.84780581],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
0,B1,combinatoric,RandomForestImputer_MinMaxScaler,0.1070927201349114,0.1527427887631324,[0.69835988 0.69835988 0.69929232 ... 0.72848037 0.71588151 0.71588151],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
0,B8,combinatoric,RandomForestImputer_MinMaxScaler,0.1596688215791705,0.2128497098930829,[0.63366965 0.63543375 0.63366965 ... 0.63296208 0.63618934 0.63618934],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
0,B18,combinatoric,RandomForestImputer_MinMaxScaler,0.1464566057986895,0.2069612941426931,[0.63141657 0.63678437 0.63141657 ... 0.53909291 0.52918093 0.52918093],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
0,C5,combinatoric,RandomForestImputer_MinMaxScaler,0.1239627076381178,0.1660373949753098,[0.63140282 0.63140282 0.63321262 ... 0.75375327 0.75470257 0.75470257],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
0,E.ce,combinatoric,RandomForestImputer_MinMaxScaler,0.0979666088984812,0.1352982759697706,[0.8636143  0.8636143  0.8636143  ... 0.38188703 0.38188703 0.38188703],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
0,E.co,combinatoric,RandomForestImputer_MinMaxScaler,0.1798343535003045,0.2440179371493926,[0.90682071 0.90682071 0.90682071 ... 0.31861817 0.31783233 0.31783233],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
0,S.en,combinatoric,RandomForestImputer_MinMaxScaler,0.1853310341756699,0.2435603841822965,[0.4331722  0.42709859 0.4331722  ... 0.16527273 0.16527273 0.16527273],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
0,S.au,combinatoric,RandomForestImputer_MinMaxScaler,0.1256550235603521,0.1694224248942225,[0.95914701 0.95527164 0.95914701 ... 0.4493609  0.48078022 0.48078022],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
0,1167_x_E.ce,combinatoric,RandomForestImputer_MinMaxScaler,0.1630303522606209,0.2131117311540303,[0.6413448  0.6413448  0.6413448  ... 0.64440481 0.64440481 0.64440481],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
0,1167_x_E.co,combinatoric,RandomForestImputer_MinMaxScaler,0.243830125382079,0.300584194270469,[0.56700721 0.56700721 0.56700721 ... 0.62503896 0.62583312 0.65744558],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,1167_x_S.en,combinatoric,RandomForestImputer_MinMaxScaler,0.2542410374585965,0.3424044992334781,[0.42506238 0.40670887 0.42226754 ... 0.48832342 0.48920933 0.43422738],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
0,1167_x_S.au,combinatoric,RandomForestImputer_MinMaxScaler,0.1827547478538401,0.2323099883788416,[0.93102068 0.92694454 0.93205541 ... 0.62555294 0.64470739 0.64470739],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224
0,1202_x_E.ce,combinatoric,RandomForestImputer_MinMaxScaler,0.1546968662391245,0.2304383230337325,[0.83132982 0.83132982 0.83132982 ... 0.76153079 0.76153079 0.76153079],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296
0,1202_x_E.co,combinatoric,RandomForestImputer_MinMaxScaler,0.212464847897635,0.2577200165461565,[0.7962659  0.7962659  0.79759945 ... 0.82264757 0.82264757 0.82264757],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]",1296
0,1202_x_S.en,combinatoric,RandomForestImputer_MinMaxScaler,0.3057821826215139,0.3673374234598653,[0.40174435 0.39394457 0.40545714 ... 0.76903399 0.77020109 0.76725267],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]",1296
0,1202_x_S.au,combinatoric,RandomForestImputer_MinMaxScaler,0.1640866327189213,0.1924226609523895,[0.94770651 0.9523681  0.94770651 ... 0.68529949 0.69995638 0.70162252],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",1224
0,1218_x_E.ce,combinatoric,RandomForestImputer_MinMaxScaler,0.1153558124073226,0.1529481123384759,[0.78302293 0.78302293 0.78302293 ... 0.52796933 0.52796933 0.52796933],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.70814178]
 [0.49685288]
 [0.70814178]]",1296
0,1218_x_E.co,combinatoric,RandomForestImputer_MinMaxScaler,0.2524019572220218,0.3135394868873524,[0.67693972 0.67693972 0.67693972 ... 0.65766472 0.65831551 0.65606046],"[[0.39638506]
 [0.39638506]
 [0.31444566]
 ...
 [0.4988302 ]
 [0.21605889]
 [0.21605889]]",1296
