Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuKNNImputer_RobustScaler,0.22168678583589219,0.1542256840071024,0.28624114565063086,0.1638727814800043,0.28660374406101663,-0.38510170771545327,[0.52276143 0.51499411 0.53914777 ... 0.63492471 0.65178809 0.65096573],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuKNNImputer_RobustScaler,0.15334664796668032,0.18043460659626004,0.5179840080818384,1.9864429780762056,0.20700549297513646,0.2891950580145022,[0.78343735 0.74573202 0.74573202 ... 0.73235603 0.73367762 0.73367762],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuKNNImputer_RobustScaler,0.15011236591626267,0.16101688767655903,0.8972400809792238,2.4877813065438867,0.22366777235821358,0.3269981089801772,[0.6590776  0.65306462 0.65306462 ... 0.80317321 0.80105775 0.80105775],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuKNNImputer_RobustScaler,0.1260880347287762,0.15725842667036077,88285650921155.4,85.29730160377167,0.19314654406882473,0.41744901707838045,[0.51592579 0.51592579 0.51592579 ... 0.61839386 0.62658592 0.61594672],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuKNNImputer_RobustScaler,0.24150188907895223,0.18131597346624917,83624980930377.6,108.18286368249285,0.3483208912856582,-0.5127448327852056,[0.6783432  0.66636531 0.69003626 ... 0.4775035  0.47283371 0.47283371],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuKNNImputer_RobustScaler,0.15357740630923675,0.08738649803142866,0.2245002491819859,0.309874454913806,0.21771849475923488,0.10998900955805624,[0.69077584 0.69069313 0.69069313 ... 0.62352985 0.62263839 0.62263839],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuKNNImputer_RobustScaler,0.1377509092350671,0.12367465761034724,0.3396904767403942,0.35118178985915677,0.18982122351183375,0.31700968424916687,[0.57228783 0.5604119  0.5604119  ... 0.47815397 0.47850279 0.47850279],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuKNNImputer_RobustScaler,0.21711664394944047,0.2702299964403394,0.9124191910296194,2.0533060807887007,0.2876744492497626,-0.054871449870131705,[0.91140744 0.8979211  0.8979211  ... 0.58151773 0.58278152 0.58278152],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuKNNImputer_RobustScaler,0.11243402867764056,0.09900216458165338,0.147817056933561,0.31937650463976114,0.14114398725888883,0.6009971390118729,[0.69854707 0.68920038 0.68920038 ... 0.72388508 0.73489048 0.73489048],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuKNNImputer_RobustScaler,0.10588153803090782,0.17544973426096389,0.14276580245421056,0.6526431698598893,0.14328083644329193,0.5276425981595634,[0.90727653 0.90633171 0.90633171 ... 0.82625017 0.81418088 0.81418088],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuKNNImputer_RobustScaler,0.15233547487484292,0.09495690712747208,0.23639730201204034,0.77383882774475,0.21261624294970213,-0.09150221967995598,[0.68704188 0.68909478 0.68909478 ... 0.87460564 0.87460564 0.87460564],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuKNNImputer_RobustScaler,0.11592650221352359,0.14300257362583443,0.30944890493678406,2.323228137440314,0.1505882760380312,0.6241908670625538,[0.77698666 0.76986268 0.76986268 ... 0.74604935 0.74624433 0.74624433],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuKNNImputer_RobustScaler,0.1605337757008869,0.16173935247544186,0.44982648787927526,0.6061215814090382,0.2255670306736318,0.2007861883526184,[0.52296676 0.52271802 0.52271802 ... 0.87981694 0.88552126 0.88552126],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuKNNImputer_RobustScaler,0.1186643636316954,0.17273227386721113,0.3141457427287506,1.0427934182731142,0.170322115731958,0.48974127667455625,[0.79809423 0.79000763 0.79090393 ... 0.88083425 0.88132596 0.88132596],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuKNNImputer_RobustScaler,0.10451693850187656,0.11735882265385177,0.15832775956209777,0.3512224294069168,0.14732896269475193,0.4953363195232561,[0.76861419 0.78115649 0.78115649 ... 0.75100347 0.74968106 0.74968106],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuKNNImputer_RobustScaler,0.159734234254294,0.09647907139024771,46325454030326.03,99.9289385865655,0.21319709396708061,0.28052199839448644,[0.62867981 0.62318221 0.62318221 ... 0.63708949 0.64205033 0.64205033],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
B18,combinatoric,gpuKNNImputer_RobustScaler,0.14846307027203595,0.11617085998379817,0.3636132566900889,0.4466801979771244,0.2105127655727903,0.20075469077736807,[0.63456324 0.62435027 0.62435027 ... 0.54534114 0.54534114 0.54534114],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]"
C5,combinatoric,gpuKNNImputer_RobustScaler,0.10556808606694862,0.1249666911829945,0.2297676463310181,0.43072938189904597,0.1440479211552432,0.5531733300384403,[0.63470466 0.62916971 0.62916971 ... 0.68448405 0.67200075 0.67200075],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]"
E.ce,combinatoric,gpuKNNImputer_RobustScaler,0.10362805567037071,0.14657232688879862,0.16728007145145882,0.6082178093999671,0.14123543290693166,0.44990086991028944,[0.88511451 0.81982289 0.81982289 ... 0.38825347 0.38825347 0.38825347],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]"
E.co,combinatoric,gpuKNNImputer_RobustScaler,0.17839626750377247,0.2791777583775958,0.5070984373275813,1.5294169630928576,0.242460166893535,0.2785868170672484,[0.95608794 0.95608794 0.95608794 ... 0.32811205 0.32976253 0.32799822],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]"
S.en,combinatoric,gpuKNNImputer_RobustScaler,0.1819705426973236,0.15801191153122474,38340548350689.18,54.96337170300893,0.23867504593065442,0.15173296605729092,[0.4439877  0.42120759 0.4439877  ... 0.1531461  0.15381765 0.1531461 ],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]"
S.au,combinatoric,gpuKNNImputer_RobustScaler,0.1257353024666751,0.19198649585045158,0.1824960626502313,0.5039973557733454,0.17075426608959998,0.30219214857509336,[0.96109359 0.95851827 0.96109359 ... 0.44693658 0.48442773 0.48442773],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
1167_x_E.ce,combinatoric,gpuKNNImputer_RobustScaler,0.08369619868100775,0.12720328540923206,0.11172234457761869,0.10361881481488618,0.09706190066899788,0.6329164419161284,[0.54001491 0.53846726 0.55738345 ... 0.85390129 0.85193677 0.85390129],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]"
1167_x_E.co,combinatoric,gpuKNNImputer_RobustScaler,0.12470476520016276,0.23544727757786676,0.2122247404147184,0.17060460148261286,0.14881386153125437,0.7675718941172279,[0.39514714 0.39577975 0.39514714 ... 0.76447065 0.75752634 0.75752634],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]"
1167_x_S.en,combinatoric,gpuKNNImputer_RobustScaler,0.24742251706038132,0.19949132999171085,0.29346298637893203,0.13935561053312798,0.26466704421722304,-0.1897297663681321,[0.41488834 0.41588083 0.41488834 ... 0.65808412 0.65829156 0.65808412],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]"
1167_x_S.au,combinatoric,gpuKNNImputer_RobustScaler,0.15202876899773768,0.20042054014040547,0.2621536695799407,0.4476637488512363,0.18355628869397683,0.3024929172709696,[0.92660832 0.95661382 0.96860796 ... 0.69333626 0.69491744 0.69491744],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202_x_E.ce,combinatoric,gpuKNNImputer_RobustScaler,0.13130949261048694,0.1540400398032407,0.45513096855003593,1.0387013488962977,0.18907625930496466,0.29427294939797377,[0.68151191 0.67265904 0.67265904 ... 0.77496687 0.77228636 0.77496687],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]"
1202_x_E.co,combinatoric,gpuKNNImputer_RobustScaler,0.10332097860810346,0.19144871609972114,0.22783743790678707,0.1649811229760588,0.12294541486086027,0.5875989550075207,[0.28980668 0.29809018 0.28980668 ... 0.61390785 0.62482382 0.62482382],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]"
1202_x_S.en,combinatoric,gpuKNNImputer_RobustScaler,0.1968462487317923,0.1604162595439299,1.0128843634978444,1.2701084197547223,0.22899386034190325,-0.24671021852941877,[0.32367189 0.33035059 0.32367189 ... 0.54500881 0.5448396  0.53302339],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]"
1202_x_S.au,combinatoric,gpuKNNImputer_RobustScaler,0.15542561208153138,0.127203538310209,0.18951278276781713,0.23998797842717245,0.20937929724404136,-0.5307226078303846,[0.87636978 0.85619712 0.89004787 ... 0.57447146 0.57998115 0.57998115],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218_x_E.ce,combinatoric,gpuKNNImputer_RobustScaler,0.08015291896119572,0.09519216349479469,0.14201421032677264,0.153227536349819,0.10562032469635857,0.5623085238481278,[0.63416936 0.62383925 0.62383925 ... 0.62846634 0.60993313 0.62846634],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.70814178]
 [0.49685288]
 [0.70814178]]"
1218_x_E.co,combinatoric,gpuKNNImputer_RobustScaler,0.10628074317355572,0.23339481192258135,0.5821889167024382,0.9889461573265637,0.14304427239851356,0.7999570428496452,[0.37690834 0.37715106 0.37690834 ... 0.40782187 0.3971811  0.3971811 ],"[[0.39638506]
 [0.39638506]
 [0.31444566]
 ...
 [0.4988302 ]
 [0.21605889]
 [0.21605889]]"
1218_x_S.en,combinatoric,gpuKNNImputer_RobustScaler,0.18018022643765827,0.13834487957501201,1.6633383249923106,2.3596565057099532,0.22337199939848262,0.31372183884159177,[0.41678662 0.41702251 0.41809355 ... 0.45757356 0.45693295 0.45757356],"[[0.26105455]
 [0.39324875]
 [0.05213942]
 ...
 [0.43190293]
 [0.07405875]
 [0.07405875]]"
