Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuKNNImputer_StandardScaler,0.228890194452204,0.15006217964624857,0.29352023424512835,0.16629709038606122,0.29448340185685,-0.4623104665985125,[0.53025749 0.52337395 0.55702419 ... 0.64300101 0.66088763 0.66088763],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuKNNImputer_StandardScaler,0.15339373572474957,0.16958341934475032,0.5186909927801499,1.9185970020148053,0.2074165950501016,0.2863690117817399,[0.7596414  0.72193604 0.72193604 ... 0.73235541 0.73367701 0.73367701],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuKNNImputer_StandardScaler,0.15066798020657796,0.15725358683619406,0.8937840333740795,2.436507398782258,0.22401535310518364,0.3249047876594958,[0.6472382  0.64395006 0.64395006 ... 0.79816849 0.79816849 0.79816849],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuKNNImputer_StandardScaler,0.12444850069753594,0.1586376957185114,88429633214529.3,83.5374817939596,0.19179463241793818,0.42557550203783545,[0.50528645 0.50528645 0.50528645 ... 0.67285871 0.6863868  0.6863868 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuKNNImputer_StandardScaler,0.2464181598075306,0.1750697846249547,88082595200371.53,105.78172132846758,0.35624152011775717,-0.5823250474488935,[0.66328302 0.65130514 0.67497608 ... 0.4775035  0.47283371 0.47283371],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuKNNImputer_StandardScaler,0.15412805464461954,0.08738649573740043,0.22508249015754353,0.3098744653854478,0.2182751224721918,0.10543231750125459,[0.69077585 0.69069314 0.69069314 ... 0.62352985 0.62263839 0.62263839],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuKNNImputer_StandardScaler,0.13504348326051244,0.12383548616898324,0.33232551180341247,0.35082622996279156,0.18496260155832422,0.35152556473780094,[0.57192345 0.56471091 0.56471091 ... 0.47235641 0.47270523 0.47270523],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuKNNImputer_StandardScaler,0.21663713656274555,0.26714999424868296,0.912308590384198,2.033347453722195,0.2867590126890864,-0.04816851589629523,[0.90342815 0.89153828 0.89153828 ... 0.58446246 0.58446246 0.58446246],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuKNNImputer_StandardScaler,0.11274273815516357,0.09755289369367737,0.14825880044165163,0.3123784672818213,0.14178547759037285,0.5973620124238674,[0.69336219 0.69066211 0.69066211 ... 0.73436721 0.74440591 0.74440591],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuKNNImputer_StandardScaler,0.10598382713908161,0.17544973340195205,0.14266501278133892,0.6526431677534591,0.14305632244705918,0.5291217598164402,[0.90727653 0.90633171 0.90633171 ... 0.82625017 0.81418087 0.81418087],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuKNNImputer_StandardScaler,0.15328472873343996,0.09495690698513927,0.2372527338362818,0.7738388267003997,0.21544036707382683,-0.12069105271765124,[0.68704188 0.68909478 0.68909478 ... 0.87460564 0.87460564 0.87460564],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuKNNImputer_StandardScaler,0.11852407581448944,0.14300257872527963,0.31206390385780136,2.323228172584373,0.15396518642354584,0.6071470021119005,[0.77698667 0.76986269 0.76986269 ... 0.74604934 0.74624432 0.74624432],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuKNNImputer_StandardScaler,0.1603868309080407,0.16173935532662836,0.4475472441348778,0.6061215713741618,0.2246617371269067,0.20718846447987382,[0.52296676 0.52271801 0.52271801 ... 0.87981694 0.88552126 0.88552126],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuKNNImputer_StandardScaler,0.11868238808269801,0.17834004742285908,0.3146878686574131,1.0657997977901563,0.17018824085755266,0.49054309827844533,[0.81100048 0.80291388 0.80381017 ... 0.88645507 0.88694678 0.88694678],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuKNNImputer_StandardScaler,0.10395480763942076,0.09878880940782371,0.15649511724378629,0.2951358501995554,0.14645146051221544,0.5013300449761486,[0.72254318 0.72256224 0.72256224 ... 0.75670285 0.75582702 0.75582702],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuKNNImputer_StandardScaler,0.16122545026312174,0.09528914009231208,46449952751547.69,100.6058828234564,0.2148570773913624,0.26927446105968256,[0.63293502 0.62962144 0.62962144 ... 0.62972795 0.6302609  0.6302609 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
B18,combinatoric,gpuKNNImputer_StandardScaler,0.14778951824435055,0.11649414820895453,0.36222167750546586,0.45350119540762013,0.20921880139488103,0.2105499765020441,[0.63928301 0.62592894 0.62592894 ... 0.54757138 0.54283532 0.54283532],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]"
C5,combinatoric,gpuKNNImputer_StandardScaler,0.1069034165215982,0.12382793703961348,0.22998255420705152,0.4060031446423755,0.14614311362716614,0.5400805155895894,[0.61662867 0.62635126 0.63450976 ... 0.6619399  0.65325354 0.65325354],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]"
E.ce,combinatoric,gpuKNNImputer_StandardScaler,0.10478638910620577,0.13930181588751234,0.16731550848991358,0.5935014144955403,0.14324306163421816,0.4341506555220702,[0.87188865 0.76855875 0.76855875 ... 0.37456511 0.37456511 0.37456511],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]"
E.co,combinatoric,gpuKNNImputer_StandardScaler,0.17767178353223398,0.27651557611544203,0.5034838969390873,1.516021202358781,0.24090328366312555,0.2878217367716518,[0.9487939  0.9487939  0.94942037 ... 0.33302431 0.33581709 0.33283335],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]"
