Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.21993599257113147,0.1326529302525968,0.2853599437449633,0.17681671456811285,0.28621087210583657,-0.3813069586303537,[0.55852334 0.55852334 0.55852334 ... 0.72684685 0.73492632 0.73872131],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.15553967345575243,0.1745185423574063,0.5265163971997235,1.9495397481493355,0.21169309653534946,0.25663845586512957,[0.77047258 0.75229721 0.77047258 ... 0.78908269 0.79316146 0.79316146],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.14518450925475973,0.16465813596161816,0.8613018349123318,2.5312643116057187,0.21594155806010884,0.3726904186031704,[0.66911526 0.66517879 0.66911526 ... 0.71623183 0.72097348 0.72097348],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1214815749684179,0.1579136852846923,88834918268795.97,84.60041917549397,0.18900777394007787,0.4421474917417849,[0.51171235 0.51171235 0.51171235 ... 0.62569975 0.6332141  0.6332141 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.23563956209131687,0.16791296777880937,83476564740050.27,102.35023890300157,0.3445799815086767,-0.4804260515669996,[0.64176042 0.63740412 0.64176042 ... 0.50648162 0.52119476 0.51290182],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1403741394997932,0.10533602148452922,0.21924506851136055,0.27159239527693707,0.20126746966179979,0.2394077483454019,[0.64693637 0.64713621 0.65848467 ... 0.61430791 0.62017493 0.62017493],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.13145353381905286,0.1257653862092627,0.32260406065797514,0.34655772175228305,0.17993669907392035,0.38628815247216053,[0.56754778 0.56754778 0.56845136 ... 0.51101771 0.51156162 0.51156162],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.2181165418527912,0.2646921811404242,0.921542588798202,2.017070203521335,0.2889291108823431,-0.06409293551906092,[0.89691598 0.89691598 0.89691598 ... 0.61239424 0.60549059 0.60549059],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1080306679249082,0.09512213437038683,0.14239067086871016,0.29848632338183806,0.134046185538072,0.6401179662682137,[0.68296741 0.67866884 0.68296741 ... 0.80037815 0.80756377 0.80756377],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.11337076807537232,0.1845413461845916,0.15095425431166648,0.673539116080191,0.1541099658734018,0.453543045556314,[0.92524346 0.91873877 0.92524346 ... 0.81358904 0.81484149 0.81484149],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.14557966694657443,0.0918944980172784,0.22735322951935594,0.743722524225788,0.20546302601158747,-0.019293146100663572,[0.66868315 0.66868315 0.67210024 ... 0.88967737 0.88895699 0.89329769],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1132486999664478,0.14884640988634318,0.3080924898661413,2.3671950019540775,0.1501195011414634,0.6265269809668703,[0.78983487 0.78983487 0.80145094 ... 0.6988024  0.69937288 0.69937288],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1596576344748718,0.13212632001793737,0.45715211677756035,0.7211308071773952,0.22297496538008402,0.21904871168678974,[0.5929205  0.5929205  0.59222098 ... 0.84693388 0.84922101 0.84922101],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.11395683654644284,0.16933267141179534,0.3083609471020102,1.0294300837749708,0.16495283830817492,0.5214052424355384,[0.79072908 0.79072908 0.79072908 ... 0.84923183 0.85047385 0.85047385],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1043707626776308,0.1135677196387581,0.15588198549465188,0.3412076597307514,0.1491998811470251,0.4824375705456323,[0.76038773 0.76038773 0.76038773 ... 0.76373752 0.76116685 0.76116685],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.15864538216953994,0.0909209081605489,45983927155366.69,104.97612033539356,0.21163711206007485,0.29101244546749105,[0.66040588 0.66040588 0.66040588 ... 0.65693419 0.65640429 0.65640429],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
B18,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1491954146550835,0.11603650839631001,0.36665353300971565,0.43959377207225175,0.21005969428534368,0.20419130350036907,[0.62958718 0.62893288 0.62958718 ... 0.54686551 0.54791674 0.54624415],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]"
C5,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.12372556331572282,0.12495144564073579,0.2741234746305665,0.43115955458853605,0.16519489571443083,0.4123505348498915,[0.63505215 0.63505215 0.63979756 ... 0.76341447 0.74832086 0.74832086],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]"
E.ce,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.09726060483295694,0.14429757893202194,0.16086952827851572,0.6035803265011419,0.13464632943964044,0.5000314749339965,[0.88091693 0.88091693 0.88091693 ... 0.37834655 0.37834655 0.37834655],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]"
E.co,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.17884185480600082,0.2539239083841433,0.5080067122945814,1.4226628250938242,0.24236302304376064,0.2791647826399287,[0.90010946 0.90010946 0.90010946 ... 0.36067487 0.36232702 0.35856308],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]"
S.en,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.18243805850046937,0.15731900901489976,37957325055342.15,55.31520978329211,0.23923348666616528,0.14775885101643027,[0.44682726 0.43418783 0.44682726 ... 0.15732516 0.15841577 0.15732516],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]"
S.au,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.1264366808351376,0.1911382196190154,0.18307539660914737,0.5022587702667676,0.171314686346696,0.2976041823865333,[0.95911214 0.95836747 0.9593493  ... 0.46237754 0.50852326 0.50852326],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
1167_x_E.ce,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.08466478491765565,0.1277939342200801,0.11268633690942056,0.10450272402669143,0.10006791581547521,0.6098271384434879,[0.53865843 0.53865843 0.53865843 ... 0.86953756 0.86953756 0.86953756],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]"
1167_x_E.co,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.12391426395916033,0.2071907266055907,0.20385174814269608,0.1208445656960874,0.15470320082832975,0.7488110853587572,[0.42556753 0.42556753 0.42556753 ... 0.75515149 0.74513624 0.74513624],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]"
1167_x_S.en,combinatoric,gpuRandomForestImputer_MaxAbsScaler,0.2403257513455975,0.2079000043833558,0.28556260124089006,0.1526699184497021,0.2585287439196358,-0.13518401062820318,[0.39636694 0.39551611 0.38764803 ... 0.67766941 0.68621469 0.68591332],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]"
