Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.22611795132047705,0.12418725400182154,0.2930786272697734,0.18652962303402645,0.2936400537267352,-0.45394686508906545,[0.57353201 0.57353201 0.57726803 ... 0.7421676  0.76082037 0.76082037],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.15570119114334613,0.16161513206106984,0.5231464520041251,1.8689404592037462,0.20949758121505596,0.27197762800964875,[0.74235432 0.74235432 0.74235432 ... 0.81754269 0.83436271 0.81913091],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.1483142605158771,0.16613139700689095,0.8855396732190273,2.547300202346485,0.21998732321399206,0.348964350522856,[0.67281251 0.67281251 0.67281251 ... 0.72601594 0.71780142 0.72401364],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.12123251651482679,0.15830726766683081,87182806632370.11,83.9795172596513,0.1857556817482879,0.4611793037566726,[0.50795874 0.50795874 0.50795874 ... 0.64961725 0.6511882  0.6511882 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.23460604050521047,0.1656328869694551,84639335245583.16,100.94082618034822,0.34303715036177945,-0.4671987358817824,[0.63292043 0.62563646 0.63292043 ... 0.5280352  0.52532292 0.52532292],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.1375787635399201,0.12055470594792668,0.21816601176504358,0.2534771398965369,0.2018970790171913,0.23464170231386627,[0.62019755 0.62311331 0.62019755 ... 0.61736122 0.62283404 0.61750563],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.13020315276381453,0.12947812442082185,0.32074671388144665,0.3376249932543096,0.17898997229210908,0.39272918368057297,[0.55865139 0.55865139 0.55742364 ... 0.53258902 0.53512329 0.53512329],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.21968246926453283,0.2646222462632752,0.9375785453505755,2.016602182085526,0.2908529445581947,-0.07831063236551783,[0.89672867 0.89672867 0.89964322 ... 0.5967518  0.5967518  0.5967518 ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.10615977054534688,0.09326544286475627,0.14140009245890908,0.2838244731556414,0.13214050686714157,0.6502778153992897,[0.67182485 0.66713413 0.67055183 ... 0.81600162 0.82223425 0.82223425],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.11343735943623402,0.16356738111341265,0.1509429946374939,0.6232948375874546,0.15543063204089422,0.4441370411407646,[0.8822103  0.88300009 0.8860852  ... 0.81637124 0.81737566 0.81737566],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.15151400911672214,0.0979904994547411,0.23373637564684574,0.7932152821803432,0.21876145962232016,-0.15550909660238244,[0.69870464 0.69573295 0.69870464 ... 0.86185474 0.86235883 0.86669766],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.11081003323552481,0.16779356810421625,0.3028975064703277,2.4981840161192026,0.14436599823464316,0.6546059565286315,[0.82817927 0.82421475 0.82817927 ... 0.70853785 0.71334243 0.71334243],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.15474431325041332,0.13244577011965095,0.44825609839647823,0.718585688950261,0.22194522031671063,0.22624524870633955,[0.59149    0.59149    0.57599704 ... 0.84824227 0.85350892 0.85350892],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.11434146425258719,0.1704308803204591,0.30875830114634684,1.0336009733060483,0.16580502365228242,0.5164474015058131,[0.79300776 0.79300776 0.79398443 ... 0.80971098 0.8107276  0.8107276 ],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.10413840905449114,0.09419946450015095,0.15618053653626446,0.2748528638548258,0.14787331051437755,0.49160018957196594,[0.70559476 0.70559476 0.70559476 ... 0.77183359 0.77262914 0.77262914],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuRandomForestImputer_MinMaxScaler,0.15858148185254753,0.09690594446223644,46495332597911.53,99.55880045340021,0.2123834947840042,0.28600284027788525,[0.62635331 0.62635331 0.637437   ... 0.64356924 0.6548885  0.6548885 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
