Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
1167,combinatoric,KNNImputer_RobustScaler,0.2158762400266979,0.1335906956612725,0.2802098770115496,0.175958117745109,0.2782261375509666,-0.3053104027060864,[0.55693686 0.55490155 0.58533119 ... 0.68641064 0.68666161 0.68666161],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1202,combinatoric,KNNImputer_RobustScaler,0.1620406583294869,0.136152958700717,0.5430260641025875,1.5964205341101037,0.2145251039914227,0.2366161965087707,[0.6471557  0.63506102 0.63506102 ... 0.72387253 0.71200298 0.71200298],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
1218,combinatoric,KNNImputer_RobustScaler,0.1410285246687603,0.1644326238776346,0.8244843901594118,2.528741706100842,0.2054093281618772,0.4323903320970641,[0.66853343 0.66027205 0.66027205 ... 0.70365677 0.69599065 0.69599065],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
1219,combinatoric,KNNImputer_RobustScaler,0.126047482975982,0.1503595097728581,88842625609973.97,96.4803387857106,0.1930076426309329,0.4182865994824652,[0.58355623 0.58355623 0.58090369 ... 0.59697063 0.59638496 0.59343767],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
1234,combinatoric,KNNImputer_RobustScaler,0.2389791113010273,0.1759388400022715,86472960710463.9,106.139380544479,0.3495330761124519,-0.523292101909284,[0.6655263  0.64641388 0.67427702 ... 0.49115909 0.48194198 0.48194198],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
1273,combinatoric,KNNImputer_RobustScaler,0.1605238161425941,0.1207329770696121,0.2345766209121962,0.2531973269713395,0.2293746901334156,0.0121392885781698,[0.61981671 0.61981671 0.61981671 ... 0.65890189 0.66026129 0.66026129],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
1298,combinatoric,KNNImputer_RobustScaler,0.1324267506861332,0.118738023723224,0.3193803946797268,0.3637975448557519,0.1786761685198135,0.3948566416940825,[0.58460462 0.58272643 0.58272643 ... 0.48878807 0.49022467 0.49022467],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
1339,combinatoric,KNNImputer_RobustScaler,0.2096471172662065,0.2632813355564398,0.8678785216917079,2.007573826759613,0.2778314578023679,0.0160799896445615,[0.8931147  0.88647954 0.88647954 ... 0.62245201 0.6216373  0.6216373 ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
11285,combinatoric,KNNImputer_RobustScaler,0.111718641829371,0.1274522885446367,0.1464016201097224,0.4368806307853848,0.1410446179242562,0.6015587597043442,[0.79103836 0.78121864 0.78121864 ... 0.81968615 0.81988982 0.81988982],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
11457,combinatoric,KNNImputer_RobustScaler,0.1135563172151512,0.158923847910599,0.1507805340592928,0.6117009802889638,0.1505484134259003,0.4785089314008033,[0.87253137 0.85797732 0.85797732 ... 0.85541513 0.85621433 0.85621433],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
12001,combinatoric,KNNImputer_RobustScaler,0.160878721907506,0.0915546981268552,0.2464254150808926,0.7378536719973078,0.2325494164750811,-0.3057566674746208,[0.66506921 0.66005481 0.66005481 ... 0.88418432 0.88418432 0.87686858],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
12048,combinatoric,KNNImputer_RobustScaler,0.1145395403921315,0.1425421590310336,0.3158867947553498,2.320044822363133,0.1496048982781621,0.6290830895829691,[0.77606078 0.76868999 0.76868999 ... 0.74056493 0.74096344 0.73848792],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
12701,combinatoric,KNNImputer_RobustScaler,0.162628455754874,0.1264947164910569,0.4475691266709434,0.7870654128905985,0.2276926987423379,0.1856521678056886,[0.62965571 0.62842006 0.62842006 ... 0.89031576 0.89031576 0.89031576],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
12832,combinatoric,KNNImputer_RobustScaler,0.1128507363067806,0.1608281317766956,0.3085182078864118,0.9965222147584222,0.1627382553577652,0.5341697757603219,[0.77285731 0.77015433 0.77015433 ... 0.88244277 0.88487174 0.88487174],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
B1,combinatoric,KNNImputer_RobustScaler,0.1006649446203498,0.1363283683897071,0.1546387563444505,0.4005813103488819,0.1402850924216304,0.5424391757521289,[0.81176532 0.81176532 0.80849322 ... 0.80440124 0.78038764 0.78038764],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
B8,combinatoric,KNNImputer_RobustScaler,0.1537172298075615,0.0915430142534967,46350525025274.99,103.7452787760124,0.2065590432301698,0.3246274812097351,[0.65266895 0.64539832 0.64539832 ... 0.64616333 0.64745621 0.64745621],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
B18,combinatoric,KNNImputer_RobustScaler,0.134070979755626,0.1179333189247298,0.3260946425871085,0.4693848945684563,0.1889311524677287,0.3562305401872159,[0.65003897 0.64251081 0.64251081 ... 0.53665057 0.54592361 0.53623118],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
C5,combinatoric,KNNImputer_RobustScaler,0.1282262254430993,0.1250911464220773,0.2815426319636955,0.4257751235217981,0.1689557066677374,0.3852892228520406,[0.6307588  0.63331249 0.63331249 ... 0.79521746 0.7979736  0.79453813],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
E.ce,combinatoric,KNNImputer_RobustScaler,0.1014172875882142,0.1392403040600446,0.1661198485931911,0.5933767182155578,0.1391083714981909,0.4663455192879563,[0.87177725 0.79625199 0.79625199 ... 0.40455561 0.40974895 0.40455561],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
E.co,combinatoric,KNNImputer_RobustScaler,0.1774363381007456,0.2668777189465728,0.4954600750217214,1.4735137785422523,0.2388555828641472,0.2998774465426106,[0.92624301 0.92624301 0.92624301 ... 0.34045801 0.34404769 0.34064668],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
S.en,combinatoric,KNNImputer_RobustScaler,0.1814760104357971,0.162057456734105,37469192971257.55,53.028725130626526,0.2394184092605883,0.1464408118338199,[0.42837466 0.37723123 0.42837466 ... 0.14501496 0.1461196  0.14501496],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
S.au,combinatoric,KNNImputer_RobustScaler,0.1252079243189288,0.187729470669811,0.1823559826419523,0.4953557730784514,0.1695554865369854,0.311955669198885,[0.9513667  0.93879263 0.95276573 ... 0.46908024 0.49401482 0.49401482],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
1167_x_E.ce,combinatoric,KNNImputer_RobustScaler,0.1480353348971299,0.0929102904865967,0.1909048671724843,0.0993498645746204,0.1901562198343676,-0.4089267684502446,[0.65863562 0.66002183 0.56828385 ... 0.66923169 0.66788259 0.66923169],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
